id,name__fi,name__en,name,wikipedia__fi,gender,given_name,identifier__eduskunta,original_wikiname,name__ru,name__fr,name__sv,name__pl,name__nl,name__es,name__nb,name__da,name__nn,wikipedia__en,wikipedia__fr,wikipedia__pl,wikipedia__ru,wikipedia__sv,image,birth_date,identifier__freebase,name__it,name__de,name__et,wikipedia__et,name__sco,name__ja,wikipedia__commons,wikipedia__de,wikipedia__ja,website,identifier__EuroparlMEP,identifier__valtioneuvostosta,name__lt,name__ca,name__uk,name__id,wikipedia__ca,wikipedia__es,wikipedia__id,wikipedia__lt,wikipedia__uk,identifier__VIAF,name__tr,wikipedia__tr,wikipedia__fiwikiquote,identifier__kansallisbiografia,identifier__IMDB,identifier__MusicBrainz,identifier__discogs,family_name,twitter,wikipedia__sco,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__pt,name__eo,name__cs,name__fa,name__bg,name__zh,name__sk,wikipedia__bg,wikipedia__cs,wikipedia__da,wikipedia__enwikiquote,wikipedia__eo,wikipedia__fa,wikipedia__it,wikipedia__nn,wikipedia__no,wikipedia__pt,wikipedia__sk,wikipedia__zh,identifier__LCAuth,name__sr_el,name__sr_ec,name__sr,wikipedia__sr,identifier__IIAF,name__ro,name__gsw,wikipedia__ro,identifier__ISNI,identifier__SUDOC,identifier__BNF,name__lv,wikipedia__lv,wikipedia__nl,name__he,name__be,name__hy,name__sl,name__sh,name__az,name__hr,wikipedia__az,wikipedia__be,wikipedia__he,wikipedia__hr,wikipedia__hy,wikipedia__sh,wikipedia__sl,name__hu,name__sq,name__el,name__ga,name__be_tarask,name__mg,wikipedia__be_x_old,wikipedia__cswikiquote,wikipedia__el,wikipedia__ga,wikipedia__hu,wikipedia__mg,wikipedia__plwikiquote,wikipedia__sq,identifier__GND,identifier__Munzinger,identifier__GTAA,identifier__parlement,electoral_district,name__uz,name__ar,name__eu,name__lmo,name__la,name__de_ch,name__en_ca,name__en_gb,name__pt_br,name__io,name__lb,name__ie,wikipedia__ar,wikipedia__ie,wikipedia__io,wikipedia__itwikiquote,wikipedia__la,wikipedia__lb,wikipedia__simple,wikipedia__uz,identifier__SELIBR,identifier__NTA,identifier__BIBSYS,facebook,name__oc,name__ko,wikipedia__ko,instagram,name__arz,name__yo,name__ms,name__gl,name__vi,name__se,wikipedia__arz,wikipedia__gl,wikipedia__ms,wikipedia__oc,wikipedia__se,wikipedia__vi,wikipedia__yo,name__nan,wikipedia__zh_min_nan,name__so,wikipedia__so,name__cy,name__os,name__is,wikipedia__cy,wikipedia__is,wikipedia__lmo,wikipedia__os,identifier__AlloCine,identifier__allmovie,identifier__SFDb,name__sw,name__vep,name__nds,wikipedia__eu,wikipedia__nds,wikipedia__sw,wikipedia__vep,death_date,name__fo,name__fy,name__br,name__th,name__ilo,name__ka,name__mr,wikipedia__br,wikipedia__fo,wikipedia__ilo,wikipedia__ka,wikipedia__mr,wikipedia__th,wikipedia__ukwikiquote,wikipedia__fy,name__gd,name__ang,name__tl,name__kk,name__mn,name__vro,name__gv,name__nov,wikipedia__ang,wikipedia__fiu_vro,wikipedia__gd,wikipedia__gv,wikipedia__kk,wikipedia__mn,wikipedia__nov,wikipedia__ruwikinews,wikipedia__tl,identifier__NNDB,name__bs,wikipedia__bswikiquote,identifier__ULAN,name__ku_arab,name__ku_latn,name__ku,wikipedia__ku,identifier__OLID,identifier__FAST,identifier__Britannica,identifier__moviemeter,identifier__elonet,identifier__PORT,last_seen,noble_title,identifier__SCOPE,identifier__kinopoisk,identifier__CSFD,identifier__DNF,identifier__filmportal_de,identifier__senate_nl,wikipedia__svwikiquote,identifier__PACE,wikipedia__hsb,name__co,name__ty,name__hsb,identifier__wikitree,identifier__google_knowledge,linkedin,married_name,identifier__NKC,identifier__NUKAT,occupation,name__af,name__an,name__ast,name__bar,name__bm,name__de_at,name__frc,name__frp,name__fur,name__ia,name__jam,name__kab,name__kg,name__li,name__lij,name__min,name__nap,name__nds_nl,name__nrm,name__pap,name__pcd,name__pms,name__prg,name__rgn,name__rm,name__sc,name__scn,name__vec,name__vls,name__vmf,name__vo,name__wa,name__wo,name__zu,wikipedia__enwikinews,name__qu,wikipedia__qu,identifier__ne_se,name__tt,identifier__snac,pseudonym,wikipedia__srwikinews,name__ext,identifier__NLI,identifier__BNE,identifier__BAV,name__sje,name__sma,name__smj,identifier__ioc_athlete,wikipedia__ast,identifier__NDL,name__ace,identifier__N6I,identifier__LNB,identifier__NLP,wikipedia__tt,wikipedia__bewikiquote,name__kl,name__fit,name__lfn,identifier__GNC,identifier__youtube,name__bn,email,name__aa,name__ak,name__aln,name__arn,name__ay,name__bcl,name__bi,name__bjn,name__brh,name__cbk_zam,name__cdo,name__ceb,name__ch,name__cho,name__chr,name__chy,name__cr,name__crh_latn,name__csb,name__diq,name__dsb,name__dtp,name__ee,name__eml,name__ff,name__fj,name__frr,name__gag,name__gn,name__got,name__ha,name__hak,name__haw,name__hif_latn,name__ho,name__ht,name__hz,name__ig,name__ik,name__ike_latn,name__iu,name__jbo,name__jv,name__kaa,name__ki,name__kj,name__kk_latn,name__kk_tr,name__kr,name__krj,name__ksh,name__lad,name__lg,name__ln,name__loz,name__ltg,name__lus,name__lzz,name__map_bms,name__mi,name__mt,name__mus,name__mwl,name__na,name__nah,name__ng,name__nso,name__nv,name__ny,name__om,name__pag,name__pam,name__pdc,name__pdt,name__pfl,name__pih,name__qug,name__rif,name__rmy,name__rn,name__roa_tara,name__rup,name__ruq_latn,name__rw,name__sat,name__sdc,name__sei,name__sg,name__sgs,name__shi_latn,name__sli,name__sm,name__sn,name__srn,name__st,name__stq,name__szl,name__tet,name__tg_latn,name__tk,name__tn,name__to,name__tpi,name__tru,name__ts,name__tt_latn,name__tum,name__ug_latn,name__ve,name__vot,name__war,name__xh,name__za,name__zea,identifier__bigenc_ru,wikipedia__enwikisource,honorific_suffix,identifier__CONOR,identifier__CiNii,identifier__NLA,wikipedia__wuu,name__wuu
Q1038599,Carl Haglund,Carl Haglund,Carl Haglund,Carl Haglund,male,Carl,1217,Carl Haglund,"Хаглунд, Карл",Carl Haglund,Carl Haglund,Carl Haglund,Carl Haglund,Carl Haglund,Carl Haglund,Carl Haglund,Carl Haglund,Carl Haglund,Carl Haglund,Carl Haglund,"Хаглунд, Карл",Carl Haglund,https://upload.wikimedia.org/wikipedia/commons/3/3f/Carl_Haglund.jpg,1979-03-29,/m/064m5p_,,Carl Haglund,Carl Haglund,Carl Haglund,Carl Haglund,カール・ハグルンド,Category:Carl Haglund,Carl Haglund,カール・ハグルンド,http://www.callehaglund.fi,96683,580,,Carl Haglund,,,,,,,,,,,,,,,,Haglund,Calle_Haglund,,,,,,,,,,,,,,,,,,,,,,,Carl Haglund,,,,,,,,,,,,,,,,,,,,,,Carl Haglund,,,,,,,,,,,Carl Haglund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,carlhaglund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,Carl Haglund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q105068,Mari Kiviniemi,Mari Kiviniemi,Mari Kiviniemi,Mari Kiviniemi,female,Mari,465,Mari Kiviniemi,"Кивиниеми, Мари",Mari Kiviniemi,Mari Kiviniemi,Mari Kiviniemi,Mari Kiviniemi,Mari Kiviniemi,Mari Kiviniemi,Mari Kiviniemi,Mari Kiviniemi,Mari Kiviniemi,Mari Kiviniemi,Mari Kiviniemi,"Кивиниеми, Мари",Mari Kiviniemi,"https://upload.wikimedia.org/wikipedia/commons/0/03/Finlands_statsminister_Mari_Kiviniemi,_Nordiska_radets_session_201.jpg",1968-09-27,/m/064l516,Mari Kiviniemi,Mari Kiviniemi,Mari Kiviniemi,Mari Kiviniemi,Mari Kiviniemi,マリ・キビニエミ,Category:Mari Kiviniemi,Mari Kiviniemi,マリ・キビニエミ,http://www.marikiviniemi.net,,539,Mari Kiviniemi,Mari Kiviniemi,Марі Ківініемі,Mari Kiviniemi,Mari Kiviniemi,Mari Kiviniemi,Mari Kiviniemi,Mari Kiviniemi,Марі Ківініемі,,Mari Kiviniemi,Mari Kiviniemi,Mari Kiviniemi,9938,,,,Kiviniemi,marikiviniemi,Mari Kiviniemi,玛丽·基维涅米,瑪麗·基維涅米,瑪麗·基維涅米,玛丽·基维涅米,玛丽·基维涅米,瑪麗·基維涅米,Mari Kiviniemi,,Mari Kiviniemiová,ماری کیوینیمی,Мари Кивиниеми,玛丽·基维涅米,Mari Kiviniemiová,Мари Кивиниеми,Mari Kiviniemiová,Mari Kiviniemi,,,ماری کیوینیمی,Mari Kiviniemi,,Mari Kiviniemi,Mari Kiviniemi,Mari Kiviniemiová,玛丽·基维涅米,,Mari Kivinijemi,Мари Кивинијеми,Мари Кивинијеми,Мари Кивинијеми,,,,,,,,Mari Kiviniemi,Mari Kiviniemi,Mari Kiviniemi,מארי קיביניימי,Мары Ківініемі,,Mari Kiviniemi,Mari Kiviniemi,Mari Kiviniyemi,,Mari Kiviniyemi,Мары Ківініемі,מארי קיביניימי,,,Mari Kiviniemi,,Mari Kiviniemi,,,,,,,,,,Mari Kiviniemi,,Mari Kiviniemi,,,,,vigacce9c3xt,,,ماري كيفينييمي,Mari Kiviniemi,,,,,,,Mari Kiviniemi,Mari Kiviniemi,Mari Kiviniemi,ماري كيفينييمي,Mari Kiviniemi,Mari Kiviniemi,,,Mari Kiviniemi,,,,,,,Mari Kiviniemi,마리 키비니에미,마리 키비니에미,,,Mari Kiviniemi,Mari Kiviniemi,Mari Kiviniemi,Mari Kiviniemi,Mari Kiviniemi,,Mari Kiviniemi,Mari Kiviniemi,Mari Kiviniemi,Mari Kiviniemi,Mari Kiviniemi,Mari Kiviniemi,Mari Kiviniemi,Mari Kiviniemi,,,,,Mari Kiviniemi,,Mari Kiviniemi,,,,,,Mari Kiviniemi,Kiviniemi Mari,Mari Kiviniemi,Mari Kiviniemi,Mari Kiviniemi,Mari Kiviniemi,Kiviniemi Mari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,biography/Mari-Kiviniemi,,,,,,,,,,,,,,,,,,,,,,,,politician,,,Mari Kiviniemi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11122932,Elsi Hetemäki-Olander,Elsi Hetemäki-Olander,Elsi Hetemäki-Olander,Elsi Hetemäki-Olander,female,Elsi,126,Elsi Hetemäki-Olander,,Elsi Hetemäki-Olander,Elsi Hetemäki-Olander,,Elsi Hetemäki-Olander,,Elsi Hetemäki-Olander,,,Elsi Hetemäki-Olander,,,,,,1927-09-26,,,,Elsi Hetemäki-Olander,Elsi Hetemäki-Olander,,,,,,,,,,Elsi Hetemäki-Olander,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elsi Hetemäki-Olander,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,Elsi Hetemäki-Olander,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11129662,Ilkka-Christian Björklund,Ilkka-Christian Björklund,Ilkka-Christian Björklund,Ilkka-Christian Björklund,male,,140,Ilkka-Christian Björklund,,Ilkka-Christian Björklund,Ilkka-Christian Björklund,,Ilkka-Christian Björklund,,Ilkka-Christian Björklund,Ilkka-Christian Björklund,,,,,,Ilkka-Christian Björklund,,1947-01-27,,,,Ilkka-Christian Björklund,Ilkka-Christian Björklund,,,,,,,,,,Ilkka-Christian Björklund,,,,,,,,,,,,,,,,Björklund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ilkka-Christian Björklund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,Ilkka-Christian Björklund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11291967,Jouko Jääskeläinen,Jouko Jääskeläinen,Jouko Jääskeläinen,Jouko Jääskeläinen,male,Jouko,405,Jouko Jääskeläinen,Юко Яаскеляйнен,Jouko Jääskeläinen,,,Jouko Jääskeläinen,Jouko Jääskeläinen,,,,Jouko Jääskeläinen,,,,,https://upload.wikimedia.org/wikipedia/commons/f/f5/Jouko_Jääskeläinen.JPG,1952-03-18,,Jouko Jääskeläinen,Jouko Jääskeläinen,,,,,,,,,,,,Jouko Jääskeläinen,,,,,,,,,,,,,,,,Jääskeläinen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jouko Jääskeläinen,,,,,,,,,,,Jouko Jääskeläinen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,Jouko Jääskeläinen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q116090,Sylvi Saimo,Sylvi Saimo,Sylvi Saimo,Sylvi Saimo,female,Sylvi,910139,Sylvi Saimo,"Саймо, Сильви",Sylvi Saimo,Sylvi Saimo,Sylvi Saimo,Sylvi Saimo,Sylvi Saimo,Sylvi Saimo,,,Sylvi Saimo,Sylvi Saimo,Sylvi Saimo,"Саймо, Сильви",Sylvi Saimo,https://upload.wikimedia.org/wikipedia/commons/c/c9/Sylvi_Saimo.jpg,1914-11-12,/m/04n39nr,Sylvi Saimo,Sylvi Saimo,,,,,Category:Sylvi Saimo,Sylvi Saimo,,,,,,Sylvi Saimo,,,,Sylvi Saimo,,,,,,,,1913,,,,Saimo,,,,,,,,,Sylvi Saimo,,,,,,,,,,,,,Sylvi Saimo,,Sylvi Saimo,Sylvi Saimo,,,,,,Силви Сајмо,Силви Сајмо,,,,,,,,,,,,,,Sylvi Saimo,,,,,,,,,,,Sylvi Saimo,,,,,,,,,,,,,,,,,,,,سولفي سايمو,,,,,,,,,,,سولفي سايمو,,,,,,,,,,,,Sylvi Saimo,,,,,,,,,,,,,,,,,,,,,Sylvi Saimo,,,,,,,,,,,,,,,,,2004-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,Sylvi Saimo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1168762,Ville Itälä,Ville Itälä,Ville Itälä,Ville Itälä,male,Ville,457,Ville Itälä,,Ville Itälä,Ville Itälä,Ville Itälä,Ville Itälä,Ville Itälä,,,,Ville Itälä,Ville Itälä,Ville Itälä,,Ville Itälä,https://upload.wikimedia.org/wikipedia/commons/a/a8/Villeitala.jpg,1959-05-10,/m/040rd8,,Ville Itälä,Ville Itälä,Ville Itälä,Ville Itälä,ヴィッレ・イタラ,Category:Ville Itälä,Ville Itälä,,,28313,299,,Ville Itälä,,,,,,,,,,,Ville Itälä,,,,,Itälä,,,维勒·伊泰莱,維勒·伊泰萊,,维勒·伊泰莱,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ville Itälä,,Ville Itälä,,,,,,,,,,Ville Itälä,,,,,,,,,,,Ville Itälä,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,Ville Itälä,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11728909,Juha Korkeaoja,Juha Korkeaoja,Juha Korkeaoja,Juha Korkeaoja,male,Juha,403,Juha Korkeaoja,,Juha Korkeaoja,,Juha Korkeaoja,Juha Korkeaoja,Juha Korkeaoja,,,,Juha Korkeaoja,Juha Korkeaoja,Juha Korkeaoja,,,,1950-01-11,,,,,,,,,,,,,531,,Juha Korkeaoja,,,,,,,,,,,,,,,,Korkeaoja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Juha Korkeaoja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,Juha Korkeaoja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11849980,Ahti Vielma,Ahti Vielma,Ahti Vielma,Ahti Vielma,male,Ahti,810,Ahti Vielma,,Ahti Vielma,,,Ahti Vielma,Ahti Vielma,,,,,,,,,,1941-04-08,,Ahti Vielma,,,,,,,,,,,,,Ahti Vielma,,,,,,,,,,,,,,,,Vielma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ahti Vielma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,Ahti Vielma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11850070,Aila Paloniemi,Aila Paloniemi,Aila Paloniemi,Aila Paloniemi,female,Aila,811,Aila Paloniemi,,Aila Paloniemi,Aila Paloniemi,,Aila Paloniemi,Aila Paloniemi,,,,Aila Paloniemi,,,,Aila Paloniemi,https://upload.wikimedia.org/wikipedia/commons/c/c1/Aila_Paloniemi.jpg,1956-01-28,,Aila Paloniemi,Aila Paloniemi,,,,,Category:Aila Paloniemi,,,,,,,Aila Paloniemi,,,,,,,,,,,,,,,,Paloniemi,AilaPaloniemi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aila Paloniemi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,Aila Paloniemi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
