id,name__de,name__ja,name__pl,name__el,name__es,name__en,name__lt,name__nl,name__fr,name__hu,name__zh_hant,name__zh_cn,name,wikipedia__de,wikipedia__el,wikipedia__en,wikipedia__es,wikipedia__ja,wikipedia__lt,wikipedia__nl,wikipedia__pl,gender,birth_date,identifier__freebase,given_name,original_wikiname,name__ca,name__oc,wikipedia__commons,wikipedia__fr,name__it,death_date,name__zh,name__bs,name__yo,name__gl,name__et,name__id,name__br,name__ar,name__sv,name__pt,name__ru,name__tr,name__fi,name__uk,name__nb,name__ro,name__da,name__nn,name__vi,name__st,name__fa,wikipedia__ar,wikipedia__br,wikipedia__bs,wikipedia__et,wikipedia__fa,wikipedia__fi,wikipedia__gl,wikipedia__id,wikipedia__it,wikipedia__no,wikipedia__pt,wikipedia__ro,wikipedia__ru,wikipedia__st,wikipedia__sv,wikipedia__tr,wikipedia__uk,wikipedia__vi,wikipedia__yo,wikipedia__zh,image,identifier__ISNI,identifier__VIAF,identifier__LCAuth,identifier__Oxforddnb,identifier__Britannica,identifier__FAST,name__zh_hans,name__zh_hk,name__de_ch,name__en_ca,name__en_gb,wikipedia__da,identifier__GTAA,occupation,name__la,wikipedia__la
Q1347953,Leabua Jonathan,レアブア・ジョナサン,Leabua Jonathan,Λεαμπούα Τζόναθαν,Leabua Jonathan,Leabua Jonathan,,Joseph Leabua Jonathan,Joseph Leabua Jonathan,Leabua Jonathan,喬納森,里阿布亚·乔纳森,Leabua Jonathan,Leabua Jonathan,Λεαμπούα Τζόναθαν,Leabua Jonathan,,レアブア・ジョナサン,,Joseph Leabua Jonathan,Leabua Jonathan,male,1914-10-30,/m/03bfmh,Joseph,Leabua Jonathan,,,,Joseph Leabua Jonathan,Leabua Jonathan,1987-04-05,喬納森,,,,,,,,Leabua Jonathan,Leabua Jonathan,"Джонатан, Джозеф Леабуа",Leabua Jonathan,Leabua Jonathan,,Leabua Jonathan,,Leabua Jonathan,Leabua Jonathan,,,,,,,,,Leabua Jonathan,,,Leabua Jonathan,,Leabua Jonathan,,"Джонатан, Джозеф Леабуа",,Leabua Jonathan,Leabua Jonathan,,,,,https://upload.wikimedia.org/wikipedia/commons/4/4f/Minister-president_Jonathan_van_Lesotho_(1970).jpg,0000 0000 3512 1727,18702531,n86072902,101093394,,1757738,,,,,,,114093,politician,,
Q1397999,Justin Metsing Lekhanya,ジャスティン・レハンヤ,Justin Metsing Lekhanya,Τζάστιν Μετσίνγκ Λεχάνια,Metsing Lekhanya,Justin Lekhanya,Justin Metsing Lekhanya,Justin Metsing Lekanya,Justin Metsing Lekanya,Metsing Lekhanya,賈斯汀‧里克哈尼亞,贾斯汀‧里克哈尼亚,Justin Lekhanya,Justin Metsing Lekhanya,Τζάστιν Μετσίνγκ Λεχάνια,Justin Lekhanya,Metsing Lekhanya,ジャスティン・レハンヤ,Justin Metsing Lekhanya,Justin Metsing Lekanya,Justin Metsing Lekhanya,male,1938-04-07,/m/05wmh4,Justin,Justin Lekhanya,,,,Justin Lekhanya,,,,,,,,,,,,,,Justin Lekhanya,,,,,,,,,,,,,,,,,,,,,,,,,Justin Lekhanya,,,,,,,,,,,,,,,,,,,politician,,
Q16194214,Mophato Monyake,,,,,Mophato Monyake,,Mophato Monyake,Mophato Monyake,,,,Mophato Monyake,,,Mophato Monyake,,,,,,male,1961-04-29,,,Mophato Monyake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,
Q1738158,Kelebone Albert Maope,ケレボネ・マオペ,,,Kelebone Maope,Kelebone Maope,,Kelebone Maope,Kelebone Maope,Kelebone Maope,,,Kelebone Maope,Kelebone Albert Maope,,Kelebone Maope,,,,,,male,1945-09-15,/m/02rybz4,,Kelebone Maope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,
Q17781861,Mothetjoa Metsing,,,,,Mothetjoa Metsing,,Mothetjoa Metsing,Mothetjoa Metsing,,,,Mothetjoa Metsing,Mothetjoa Metsing,,Mothetjoa Metsing,,,,,,male,1967-02-02,,,Mothetjoa Metsing,,,,Mothetjoa Metsing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://upload.wikimedia.org/wikipedia/commons/2/2e/H.E._Mr._Mothetjoa_Metsing,_Deputy_Prime_Minister,_Kingdom_of_Lesotho_(8008839925)_(cropped).jpg",,,,,,,,,,,,,,politician,,
Q1946582,Monyane Moleleki,,,,Monyane Moleleki,Monyane Moleleki,,Monyane Moleleki,Monyane Moleleki,Monyane Moleleki,,,Monyane Moleleki,Monyane Moleleki,,Monyane Moleleki,,,,,,male,1951-01-05,/m/04g1b8,,Monyane Moleleki,,,,Monyane Moleleki,,,蒙莫尼亞內·莫萊萊基,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalist,,
Q27449430,,,,,,'Makabelo Mosothoane,,'Makabelo Mosothoane,,,,,'Makabelo Mosothoane,,,'Makabelo Mosothoane,,,,,,female,,,,'Makabelo Mosothoane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q278544,Ntsu Mokhehle,ヌツ・モヘレ,,Ντσου Μοχέλε,Ntsu Mokhehle,Ntsu Mokhehle,Ntsu Mokhehle,Ntsu Mokhehle,Ntsu Mokhehle,Ntsu Mokhehle,,,Ntsu Mokhehle,Ntsu Mokhehle,Ντσου Μοχέλε,Ntsu Mokhehle,Ntsu Mokhehle,ヌツ・モヘレ,Ntsu Mokhehle,Ntsu Mokhehle,,male,1918-12-26,/m/0bz8f4,,Ntsu Mokhehle,,,,Ntsu Mokhehle,,1999-01-06,恩祖‧莫赫勒,,,,,,,,Ntsu Mokhehle,Ntsu Mokhehle,,,Ntsu Mokhehle,,Ntsu Mokhehle,,Ntsu Mokhehle,Ntsu Mokhehle,,,,,,,,,Ntsu Mokhehle,,,,,Ntsu Mokhehle,,,,,,,,,,,0000 0000 4550 1379,14370728,no97008634,101098196,biography/Ntsu-Mokhehle,387287,,,,,,,,politician,,
Q5290605,Dominic Motikoe,,,,,Dominic Motikoe,,Dominic Motikoe,,,,,Dominic Motikoe,,,Dominic Motikoe,,,,,,male,,,Dominic,Dominic Motikoe,,,,,,2009-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,
Q57732,Bethuel Pakalitha Mosisili,パカリタ・モシシリ,Bethuel Pakalitha Mosisili,Πακαλίτα Μοσιζίλι,Pakalitha Mosisili,Pakalitha Mosisili,Pakalita Mosisili,Pakalitha Mosisili,Pakalitha Mosisili,Pakalitha Mosisili,,,Pakalitha Mosisili,Bethuel Pakalitha Mosisili,Πακαλίτα Μοσισίλι,Pakalitha Mosisili,Pakalitha Mosisili,パカリタ・モシシリ,Pakalita Mosisili,Pakalitha Mosisili,Bethuel Pakalitha Mosisili,male,1945-03-14,/m/0235gg,,Pakalitha Mosisili,Pakalitha Mosisili,Pakalitha Mosisili,,Pakalitha Mosisili,Pakalitha Mosisili,,帕卡利塔·莫西西里,Bethuel Pakalitha Mosisili,Pakalitha Mosisili,Pakalitha Mosisili,Pakalitha Mosisili,Pakalitha Mosisili,Pakalitha Mosisili,باكبليتا موسيسيلي,Pakalitha Mosisili,Pakalitha Mosisili,"Мосисили, Пакалита",Pakalitha Mosisili,Pakalitha Mosisili,Бетуель Пакаліта Мосісілі,Pakalitha Mosisili,Pakalitha Mosisili,Pakalitha Mosisili,Pakalitha Mosisili,Pakalitha Mosisili,Pakalitha Mosisili,پاکالیتا موسیسیلی,باكبليتا موسيسيلي,Pakalitha Mosisili,Bethuel Pakalitha Mosisili,Pakalitha Mosisili,پاکالیتا موسیسیلی,Pakalitha Mosisili,Pakalitha Mosisili,Pakalitha Mosisili,Pakalitha Mosisili,Pakalitha Mosisili,Pakalitha Mosisili,Pakalitha Mosisili,"Мосисили, Пакалита",Pakalitha Mosisili,Pakalitha Mosisili,Pakalitha Mosisili,Бетуель Пакаліта Мосісілі,Pakalitha Mosisili,Pakalitha Mosisili,帕卡利塔·莫西西里,https://upload.wikimedia.org/wikipedia/commons/9/92/Pakalitha_Mosisili_with_Obamas_cropped.jpg,0000 0000 3911 599X,63537257,nb2007022165,,,,,,,,,,,politician,Pakalitha Mosisili,Pakalitha Mosisili
