id,name__fr,name__gl,name__en,name,wikipedia__en,wikipedia__fr,wikipedia__gl,gender,birth_date,death_date,given_name,original_wikiname,name__de,name__it,name__nl,name__ja,name__pl,name__el,name__ru,name__tr,name__lt,name__es,name__pt,name__vi,wikipedia__de,wikipedia__el,wikipedia__ja,wikipedia__lt,wikipedia__pl,wikipedia__ru,wikipedia__tr,wikipedia__vi,image,identifier__freebase,name__ms,name__fi,name__id,name__sv,name__da,name__nb,wikipedia__da,wikipedia__es,wikipedia__fi,wikipedia__id,wikipedia__it,wikipedia__ms,wikipedia__no,wikipedia__pt,wikipedia__sv,family_name,name__cy,wikipedia__cy,name__nn,name__hu
Q2831468,Albert Peto Nicholas,Albert Nicholas,Albert (Peto) Nicholas,Albert (Peto) Nicholas,Albert (Peto) Nicholas,Albert Peto Nicholas,Albert Nicholas,male,1951-05-09,2012-08-15,Albert,Albert (Peto) Nicholas,,,Albert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3391394,Tereapii Piho,Tereapii Piho,Apii Piho,Apii Piho,Apii Piho,Tereapii Piho,Tereapii Piho,male,1960-08-25,,,Apii Piho,Apii Piho,,Apii Piho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4812881,Atatoa Herman,,Atatoa Herman,Atatoa Herman,Atatoa Herman,,,male,1959-12-02,,,Atatoa Herman,Atatoa Herman,Atatoa Herman,Atatoa Herman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2362855,Cassey Tereapii Eggelton,Cassey Eggelton,Cassey Eggelton,Cassey Eggelton,Cassey Eggelton,Cassey Tereapii Eggelton,Cassey Eggelton,female,1952-02-26,,,Cassey Eggelton,Cassey Eggelton,,Cassey Eggelton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5536264,George Angene,,George Angene,George Angene,George Angene,,,male,,,George,George Angene,George Angene,George Angene,George Angene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2569345,Henry Puna,,Henry Puna,Henry Puna,Henry Puna,Henry Puna,,male,1949-07-29,,Henry,Henry Puna,Henry Puna,,Henry Puna,ヘンリー・プナ,Henry Puna,Χένρι Πούνα,"Пуна, Генри",Henry Puna,Henry Puna,Henry Puna,Henry Puna,Henry Puna,Henry Puna,Χένρι Πούνα,ヘンリー・プナ,Henry Puna,Henry Puna,"Пуна, Генри",Henry Puna,Henry Puna,https://upload.wikimedia.org/wikipedia/commons/7/7a/HenryPuna.jpg,/m/09v4vnv,,,,,,,,Henry Puna,,,,,,,,,,,,Henry Puna
Q381810,Jim Marurai,Jim Marurai,Jim Marurai,Jim Marurai,Jim Marurai,Jim Marurai,Jim Marurai,male,1947-07-09,,Jim,Jim Marurai,Jim Marurai,Jim Marurai,Jim Marurai,,Jim Marurai,Τζιμ Μαρουράι,"Марураи, Джим",,,Jim Marurai,Jim Marurai,,Jim Marurai,Τζιμ Μαρουράι,,,Jim Marurai,"Марураи, Джим",,,,/m/04qh2m,Jim Marurai,Jim Marurai,Jim Marurai,Jim Marurai,Jim Marurai,Jim Marurai,Jim Marurai,Jim Marurai,Jim Marurai,Jim Marurai,Jim Marurai,Jim Marurai,Jim Marurai,Jim Marurai,Jim Marurai,,,,,Jim Marurai
Q3182561,John Tangi,John Tangi,John Tangi,John Tangi,John Tangi,John Tangi,John Tangi,male,1950-11-13,,John,John Tangi,John Tangi,,John Tangi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3195600,Kete Ioane,Kete Ioane,Kete Ioane,Kete Ioane,Kete Ioane,Kete Ioane,Kete Ioane,male,1950-10-30,2015-02-13,,Kete Ioane,Kete Ioane,,Kete Ioane,,,,,,,Kete Ioane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kete Ioane,,,Kete Ioane
Q6415093,,,Kiriau Turepu,Kiriau Turepu,Kiriau Turepu,,,male,,,,Kiriau Turepu,Kiriau Turepu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3287254,Mapu Taia,Mapu Taia,Mapu Taia,Mapu Taia,Mapu Taia,Mapu Taia,Mapu Taia,male,1939-04-28,,,Mapu Taia,Mapu Taia,,Mapu Taia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6766871,,,Mark Brown,Mark Brown,Mark Brown (Cook Islands),,,male,,,Mark,Mark Brown (Cook Islands),Mark Brown,,Mark Brown,,,,Марк Браун,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brown,,,,
Q1647074,Miimama Parima,Mii Parima,Mii Parima,Mii Parima,Mii Parima,Miimama Parima,Mii Parima,male,1954-01-16,2008-12-06,,Mii Parima,Mii Parima,Mii Parima,Mii Parima,,,,,,,Mii Parima,,,,,,,,,,,,/m/05q4j5q,,,,,,,,,,,Mii Parima,,,,,,Mii Parima,,,Mii Parima
Q6886399,Moana Ioane,,Moana Ioane,Moana Ioane,Moana Ioane,,,male,1961-06-20,,Moana,Moana Ioane,Moana Ioane,Moana Ioane,Moana Ioane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
