honorific_suffix,honorific_prefix,end_date,name,start_date,role,id,term,side,wikipedia_name,wikipedia,group,family_name,given_name,sort_name,death_date,name__en,wikipedia__en,gender,birth_date,identifier__freebase,image,identifier__viaf,identifier__lcauth,identifier__bnf,identifier__gnc,identifier__isni,identifier__gnd,identifier__nla,identifier__nta,identifier__oxforddnb
"",Major,"",R J Peliza,"",Chief Minister,1,1,Government,,,,,,,,,,,,,,,,,,,,,,
"",,"",M Xiberras,"",Minister for Labour and Social Security,2,1,Government,,,,,,,,,,,,,,,,,,,,,,
"",Major,"",A J Gache,"","Minister for Information, Port Trade & Industry",3,1,Government,,,,,,,,,,,,,,,,,,,,,,
"",,"",J Caruana,"",Minister for Medical and Health Services,4,1,Government,,,,,,,,,,,,,,,,,,,,,,
"",,"",W M Isola,"",Minister for Tourism and Municipal Services,5,1,Government,,,,,,,,,,,,,,,,,,,,,,
"",Miss,"",C Anes,"",Minister for Public Works and Housing,6,1,Government,,,,,,,,,,,,,,,,,,,,,,
"",,"",L Devincenzi,"",Minister for Education and Recreation,7,1,Government,,,,,,,,,,,,,,,,,,,,,,
CBE QC,,"",C B O’Beirne,"",Attorney General,8,1,Government,,,,,,,,,,,,,,,,,,,,,,
CMG OBE,,"",E H Davies,"",Financial & Development Secretary,9,1,Government,,,,,,,,,,,,,,,,,,,,,,
OBE,,"",P J Isola,"",,10,1,Government,,,,,,,,,,,,,,,,,,,,,,
CBE MVO QC JP,Sir,"",Joshua Hassan,"",Leader of the Opposition,11,1,Opposition,,,,,,,,,,,,,,,,,,,,,,
OBE JP,,"",A W Serfaty,"",,12,1,Opposition,,,,,,,,,,,,,,,,,,,,,,
OBE,,"",A P Montegriffo,"",,13,1,Opposition,,,,,,,,,,,,,,,,,,,,,,
OBE JP,,"",E J Alvarez,"",,14,1,Opposition,,,,,,,,,,,,,,,,,,,,,,
"",,"",M K Featherstone,"",,15,1,Opposition,,,,,,,,,,,,,,,,,,,,,,
"",,"",I Abecasis,"",,16,1,Opposition,,,,,,,,,,,,,,,,,,,,,,
"",Lt. Col.,"",J L Hoare,"",,17,1,Opposition,,,,,,,,,,,,,,,,,,,,,,
CBE MVO QC JP,Sir,"",Joshua Hassan,"",Chief Minister,11,2,Government,,,,,,,,,,,,,,,,,,,,,,
OBE JP,,"",A W Serfaty,"","Minister for Tourism, Trade & Economic Development",12,2,Government,,,,,,,,,,,,,,,,,,,,,,
OBE,,"",A P Montegriffo,"",Minister for Medical and Health Services,13,2,Government,,,,,,,,,,,,,,,,,,,,,,
"",,"",M K Featherstone,"",Minister for Education,15,2,Government,,,,,,,,,,,,,,,,,,,,,,
"",,"",A J Canepa,"",Minister for Labour and Social Security,18,2,Government,,,,,,,,,,,,,,,,,,,,,,
"",,"",I Abecasis,"",Minister for Housing,16,2,Government,,,,,,,,,,,,,,,,,,,,,,
"",Lt. Col.,"",J L Hoare,"",Minister for Public Works and Municipal Services,17,2,Government,,,,,,,,,,,,,,,,,,,,,,
"",,"",H J Zammitt,"",Minister for Information and Sport,19,2,Government,,,,,,,,,,,,,,,,,,,,,,
CMG QC,,"",R H Hickling,"",Attorney General,20,2,Government,,,,,,,,,,,,,,,,,,,,,,
