name,image,party,email,term
Jonathan Motzfeldt,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Siumut,jomo@gh.gl,1979-05-01
Hendrik Nielsen,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Siumut,"",1979-05-01
Aage Hammeken,http://en.inatsisartut.gl/media/2316307/INAT-dukke-lys.jpg,Siumut,"",1979-05-01
Anders Andreassen,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Siumut,"",1979-05-01
Anguteraq Davidsen,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Atassut,"",1979-05-01
Bent Frederiksen,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Siumut,"",1979-05-01
Frederik Rosback,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Siumut,"",1979-05-01
Jakob Sivertsen,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Atassut,"",1979-05-01
Konrad Steenholdt,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Atassut,"",1979-05-01
Lars Godtfredsen,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Atassut,"",1979-05-01
Lars Chemnitz,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Atassut,"",1979-05-01
Lars-Emil Johansen,http://en.inatsisartut.gl/media/753863/Lars-Emil%20Johansen%20-%2007533.jpg,Siumut,larsemil@inatsisartut.gl,1979-05-01
Moses Olsen,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Siumut,"",1979-05-01
Niels Nielsen,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Siumut,"",1979-05-01
Niels Carlo Heilmann,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Atassut,"",1979-05-01
Otto Steenholdt,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Atassut,"",1979-05-01
Pavia Nielsen,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Siumut,"",1979-05-01
Peter Ostermann,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Atassut,"",1979-05-01
Preben Lange,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Siumut,"",1979-05-01
Sofus Joelsen,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Siumut,"",1979-05-01
Thue Christiansen,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Siumut,"",1979-05-01
Jonathan Motzfeldt,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Siumut,jomo@gh.gl,1983-04-12
Hendrik Nielsen,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Siumut,"",1983-04-12
Aage Hammeken,http://en.inatsisartut.gl/media/2316307/INAT-dukke-lys.jpg,Siumut,"",1983-04-12
Allan Idd Jensen,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Atassut,"",1983-04-12
Anguteraq Davidsen,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Atassut,"",1983-04-12
Aqqaluk Lynge,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Inuit_Ataqatigiit,"",1983-04-12
Bent Frederiksen,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Siumut,"",1983-04-12
Hans Iversen,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Siumut,"",1983-04-12
Hans Pvia Rosing,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Siumut,"",1983-04-12
Holger Sivertsen,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Atassut,"",1983-04-12
Ingvar Høegh,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Atassut,"",1983-04-12
Isak Lund,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Siumut,"",1983-04-12
Jakob Sivertsen,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Atassut,"",1983-04-12
Konrad Steenholdt,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Atassut,"",1983-04-12
Lars Chemnitz,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Atassut,"",1983-04-12
Lars-Emil Johansen,http://en.inatsisartut.gl/media/753863/Lars-Emil%20Johansen%20-%2007533.jpg,Siumut,larsemil@inatsisartut.gl,1983-04-12
Moses Olsen,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Siumut,"",1983-04-12
Niels Carlo Heilmann,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Atassut,"",1983-04-12
Otto Steenholdt,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Atassut,"",1983-04-12
Pavia Nielsen,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Siumut,"",1983-04-12
Peter Ostermann,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Atassut,"",1983-04-12
Preben Lange,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Siumut,"",1983-04-12
Sofus Joelsen,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Siumut,"",1983-04-12
Bent Frederiksen,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Siumut,"",1984-06-06
Hans Iversen,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Siumut,"",1984-06-06
Andreas Sanimuinnaq,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Atassut,"",1984-06-06
Aqqaluk Lynge,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Inuit_Ataqatigiit,"",1984-06-06
Emilie Lennert,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Atassut,"",1984-06-06
Hendrik Nielsen,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Siumut,"",1984-06-06
Henriette Rasmussen,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Inuit_Ataqatigiit,"",1984-06-06
Holger Sivertsen,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Atassut,"",1984-06-06
Ingvar Høegh,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Atassut,"",1984-06-06
Isak Lund,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Siumut,"",1984-06-06
Jakob Sivertsen,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Atassut,"",1984-06-06
Jan Str. Christophersen,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Atassut,"",1984-06-06
Jens Lyberth,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Siumut,"",1984-06-06
Jens Geisler,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Inuit_Ataqatigiit,"",1984-06-06
Jonathan Motzfeldt,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Siumut,jomo@gh.gl,1984-06-06
Knud Sørensen,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Atassut,"",1984-06-06
Konrad Steenholdt,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Atassut,"",1984-06-06
Lars-Emil Johansen,http://en.inatsisartut.gl/media/753863/Lars-Emil%20Johansen%20-%2007533.jpg,Siumut,larsemil@inatsisartut.gl,1984-06-06
Moses Olsen,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Siumut,"",1984-06-06
Niels Carlo Heilmann,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Atassut,"",1984-06-06
Otto Steenholdt,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Atassut,"",1984-06-06
Pavia Nielsen,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Siumut,"",1984-06-06
Peter Ostermann,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Atassut,"",1984-06-06
Preben Lange,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Siumut,"",1984-06-06
Uusaqqak Qujaukitsoq,http://en.inatsisartut.gl/media/2316160/INAT-dukke-lys.jpg,Siumut,"",1984-06-06
Jonathan Motzfeldt,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Siumut,jomo@gh.gl,1987-05-26
Hendrik Nielsen,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Siumut,"",1987-05-26
Aqqaluk Lynge,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Inuit_Ataqatigiit,"",1987-05-26
Bent Frederiksen,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Siumut,"",1987-05-26
Godmand Jensen,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Atassut,"",1987-05-26
Hans Iversen,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Siumut,"",1987-05-26
Henriette Rasmussen,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Inuit_Ataqatigiit,"",1987-05-26
Holger Sivertsen,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Atassut,"",1987-05-26
Jakob Sivertsen,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Atassut,"",1987-05-26
Jens Geisler,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Inuit_Ataqatigiit,"",1987-05-26
Jens Lyberth,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Siumut,"",1987-05-26
Jonas Danielsen,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Siumut,"",1987-05-26
Josef Motzfeldt,http://en.inatsisartut.gl/media/234511/2010.09.17%20Start%20EM%202010%2000881.jpg,Inuit_Ataqatigiit,tuusi@inatsisartut.gl,1987-05-26
Knud Sørensen,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Atassut,"",1987-05-26
Konrad Steenholdt,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Atassut,"",1987-05-26
Lars Chemnitz,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Atassut,"",1987-05-26
Lars-Emil Johansen,http://en.inatsisartut.gl/media/753863/Lars-Emil%20Johansen%20-%2007533.jpg,Siumut,larsemil@inatsisartut.gl,1987-05-26
Mikael Petersen,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Siumut,"",1987-05-26
Moses Olsen,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Siumut,"",1987-05-26
Niels Carlo Heilmann,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Atassut,"",1987-05-26
Nikolaj Heinrich,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Issittup_Partiia,"",1987-05-26
Otto Steenholdt,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Atassut,"",1987-05-26
Peter Ostermann,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Atassut,"",1987-05-26
Preben Lange,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Siumut,"",1987-05-26
Torben Emil Lynge,http://en.inatsisartut.gl/media/2316111/INAT-dukke-lys.jpg,Atassut,"",1987-05-26
Uusaqqak Qujaukitsoq,http://en.inatsisartut.gl/media/2316160/INAT-dukke-lys.jpg,Siumut,"",1987-05-26
Bent Frederiksen,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Siumut,"",1991-03-05
Ane Sofie Hammeken,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Siumut,"",1991-03-05
Agnethe Nielsen,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Atassut,"",1991-03-05
Aqqaluk Lynge,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Inuit_Ataqatigiit,"",1991-03-05
Bjarne Kreutzmann,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Akulliit_Partiiat,"",1991-03-05
Emil Abelsen,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Siumut,"",1991-03-05
Emilie Lennert,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Atassut,"",1991-03-05
Hans Iversen,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Siumut,"",1991-03-05
Hans Pavia Egede,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Akulliit_Partiiat,"",1991-03-05
Henriette Rasmussen,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Inuit_Ataqatigiit,"",1991-03-05
Jakob Sivertsen,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Atassut,"",1991-03-05
"Johan Lund Olsen, Inuit Ataqatigiit",http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Inuit_Ataqatigiit,johan@gh.gl,1991-03-05
Jonathan Motzfeldt,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Siumut,jomo@gh.gl,1991-03-05
Josef Motzfeldt,http://en.inatsisartut.gl/media/234511/2010.09.17%20Start%20EM%202010%2000881.jpg,Inuit_Ataqatigiit,tuusi@inatsisartut.gl,1991-03-05
Kaj Egede,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Siumut,"",1991-03-05
Knud Sørensen,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Atassut,"",1991-03-05
Konrad Steenholdt,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Atassut,"",1991-03-05
Lars Chemnitz,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Atassut,"",1991-03-05
Lars-Emil Johansen,http://en.inatsisartut.gl/media/753863/Lars-Emil%20Johansen%20-%2007533.jpg,Siumut,larsemil@inatsisartut.gl,1991-03-05
Nikolaj Heinrich,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Issittup_Partiia,"",1991-03-05
Ole Lynge,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Inuit_Ataqatigiit,"",1991-03-05
Otto Steenholdt,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Atassut,"",1991-03-05
Ove Rosing-Olsen,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Siumut,"",1991-03-05
Pavia Nielsen,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Siumut,"",1991-03-05
Peter Ostermann,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Atassut,"",1991-03-05
Peter G. Samuelsen,http://en.inatsisartut.gl/css/images/INAT-dukke-lys.jpg,Siumut,"",1991-03-05
