id,name__es,name__nl,name__en,name__fr,name__hu,name,wikipedia__es,gender,occupation,birth_date,given_name,original_wikiname,name__ru,name__de,name__cy,wikipedia__en,wikipedia__ru,death_date,name__diq,name__yo,name__pl,name__nb,name__da,name__nn,name__sv,name__ja,wikipedia__de,wikipedia__fr,wikipedia__pl,wikipedia__yo,image,identifier__freebase,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__eu,name__he,name__ko,name__ms,name__it,name__id,name__bn,name__vi,name__ar,name__pt,name__eo,name__sr_el,name__sr_ec,name__tr,name__ca,name__fi,name__uk,name__be_tarask,name__cs,name__bg,name__fa,name__io,name__mr,name__ka,name__hr,name__lt,name__be,name__kk,name__sr,name__zh,name__is,name__az,name__lv,name__sco,name__ro,wikipedia__ar,wikipedia__az,wikipedia__be_x_old,wikipedia__be,wikipedia__bg,wikipedia__bn,wikipedia__ca,wikipedia__cs,wikipedia__da,wikipedia__eo,wikipedia__eu,wikipedia__fa,wikipedia__fi,wikipedia__he,wikipedia__hr,wikipedia__id,wikipedia__io,wikipedia__is,wikipedia__it,wikipedia__ja,wikipedia__ka,wikipedia__kk,wikipedia__ko,wikipedia__lt,wikipedia__lv,wikipedia__mr,wikipedia__ms,wikipedia__nl,wikipedia__nn,wikipedia__no,wikipedia__plwikiquote,wikipedia__pt,wikipedia__ro,wikipedia__sco,wikipedia__simple,wikipedia__sr,wikipedia__sv,wikipedia__tr,wikipedia__uk,wikipedia__vi,wikipedia__zh,identifier__ISNI,identifier__VIAF,identifier__GND,identifier__LCAuth,identifier__BNF,identifier__SUDOC,identifier__NDL,identifier__NNDB,identifier__GTAA,identifier__FAST,wikipedia__eswikisource,identifier__OLID,identifier__nlg,name__mg,wikipedia__mg,name__ml,name__se,name__el,name__et,name__oc,name__lb,name__la,wikipedia__commons,wikipedia__el,wikipedia__et,wikipedia__la,wikipedia__lb,wikipedia__ml,wikipedia__oc,wikipedia__se,website,twitter,facebook,identifier__quora,name__nds,identifier__GNC,identifier__snac,name__gl,name__af,name__an,name__ast,name__bar,name__bm,name__br,name__co,name__de_at,name__de_ch,name__en_ca,name__en_gb,name__frc,name__frp,name__fur,name__ga,name__gd,name__gsw,name__ia,name__ie,name__jam,name__kab,name__kg,name__li,name__lij,name__min,name__nap,name__nds_nl,name__nrm,name__pap,name__pcd,name__pms,name__prg,name__pt_br,name__rgn,name__rm,name__sc,name__scn,name__sk,name__sw,name__vec,name__vls,name__vmf,name__vo,name__wa,name__wo,name__zu,wikipedia__eswikiquote,identifier__BNE,second_surname,family_name,wikipedia__gd,name__sl,wikipedia__gl,wikipedia__sl,identifier__Britannica,name__qu,wikipedia__qu,identifier__IMDB,identifier__MusicBrainz,identifier__NKC,identifier__AlloCine,identifier__CANTIC,identifier__discogs,identifier__allmovie,identifier__SFDb,identifier__PORT,identifier__SCOPE,identifier__kinopoisk,identifier__CSFD,identifier__DNF,wikipedia__an,identifier__bigenc_ru,name__ay,wikipedia__ay,wikipedia__ruwikinews,name__hy,wikipedia__cy,wikipedia__hy,wikipedia__ku,wikipedia__sh,identifier__Munzinger,wikipedia__zh_min_nan,name__ku,name__sh,name__nan,wikipedia__sq,name__sq
Q1134096,Juan Carlos Varela,Juan Carlos Varela,Juan Carlos Varela,Juan Carlos Varela,,Juan Carlos Varela,Juan Carlos Varela,male,entrepreneur,1963-12-12,Juan,Juan Carlos Varela,"Варела, Хуан Карлос",Juan Carlos Varela,,Juan Carlos Varela,"Варела, Хуан Карлос",,,,Juan Carlos Varela,Juan Carlos Varela,Juan Carlos Varela,,,フアン・カルロス・バレーラ,Juan Carlos Varela,Juan Carlos Varela,Juan Carlos Varela,,https://upload.wikimedia.org/wikipedia/commons/d/da/Juan_Carlos_Varela_(2014).jpg,/m/06zmv9x,,,,,,,,חואן קרלוס ורלה,후안 카를로스 바렐라,,Juan Carlos Varela,Juan Carlos Varela,,,خوان كارلوس فاريلا,Juan Carlos Varela,Juan Carlos Varela,,,Juan Carlos Varela,Juan Carlos Varela,Juan Carlos Varela,Хуан Карлос Варела,,,Хуан Карлос Варела,,Juan Carlos Varela,,ხუან კარლოს ვარელა,,,,,,胡安·卡洛斯·瓦雷拉,,,Huans Karloss Varela,,,خوان كارلوس فاريلا,,,,Хуан Карлос Варела,,Juan Carlos Varela,,Juan Carlos Varela,Juan Carlos Varela,,,Juan Carlos Varela,,,Juan Carlos Varela,Juan Carlos Varela,,Juan Carlos Varela,フアン・カルロス・バレーラ,ხუან კარლოს ვარელა,,후안 카를로스 바렐라,,Huans Karloss Varela,,,Juan Carlos Varela,,Juan Carlos Varela,Juan Carlos Varela,Juan Carlos Varela,,,Juan Carlos Varela,,,Juan Carlos Varela,Хуан Карлос Варела,,胡安·卡洛斯·瓦雷拉,,133303386,142682292,,,,,,,,,,,,,യുവാൻ കാർലോസ് വരേല,Juan Carlos Varela,Χουάν Κάρλος Βαρέλα,Juan Carlos Varela,Juan Carlos Varela,Juan Carlos Varela,Ioannes Carolus Varela,Category:Juan Carlos Varela,Χουάν Κάρλος Βαρέλα,Juan Carlos Varela,Ioannes Carolus Varela,Juan Carlos Varela,യുവാൻ കാർലോസ് വരേല,Juan Carlos Varela,Juan Carlos Varela,http://www.juancarlosvarela.com,jc_varela,ValeraJC,Juan-Carlos-Varela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Категория:Хуан Карлос Варела,,,,,,,,,,,,
Q15149762,José Domingo Arias,José Domingo Arias,José Domingo Arias,José Domingo Arias,,José Domingo Arias,José Domingo Arias,male,,1963-10-26,José,José Domingo Arias,,José Domingo Arias,,José Domingo Arias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,José Domingo Arias,,,,,,,,,,,,,,,,,,,,何塞·多明哥·阿斯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15919322,Harmodio Arias Cerjack,Harmodio Arias Cerjack,Harmodio Arias Cerjack,Harmodio Arias Cerjack,Harmodio Arias Cerjack,Harmodio Arias Cerjack,,male,politician,1956-03-01,Harmodio,Harmodio Arias Cerjack,"Ариас Херьяк, Армодио",Harmodio Arias Cerjack,Harmodio Arias Cerjack,Harmodio Arias Cerjack,"Ариас Херьяк, Армодио",2014-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16106559,,José Isabel Blandón Castillo,José Isabel Blandón Castillo,José Isabel Blandón Castillo,,José Isabel Blandón Castillo,,male,diplomat,,José,José Isabel Blandón Castillo,,José Isabel Blandón Castillo,,José Isabel Blandón Castillo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16147358,,Marco Ameglio,Marco Ameglio,Marco Ameglio,,Marco Ameglio,,male,politician,,Marco,Marco Ameglio,,Marco Ameglio,,Marco Ameglio,,,,,,,,,,,,,,,,,,,,,,,,,,,Marco Ameglio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16196838,José Isabel Blandón,José Isabel Blandón Figueroa,José Isabel Blandón Figueroa,José Isabel Blandón Figueroa,José Isabel Blandón,José Isabel Blandón Figueroa,José Isabel Blandón,male,politician,1967-07-07,José,José Isabel Blandón,,José Isabel Blandón Figueroa,,José Isabel Blandón Figueroa,,,,,,,,,,ホセ・イザベル・ブランドン・フィゲロア,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16490270,Carlos de Icaza Arosemena,Carlos de Icaza Arosemena,Carlos de Icaza Arosemena,Carlos de Icaza Arosemena,,Carlos de Icaza Arosemena,Carlos de Icaza Arosemena,male,lawyer,1790-10-30,Carlos,Carlos de Icaza Arosemena,,,,,,1865-10-28,,,,,,,,,,,,,,,,,,,,,,,,,Carlos de Icaza Arosemena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16584864,Juan Jované,,Juan Jované,Juan Jované,,Juan Jované,Juan Jované,male,,1945-05-24,Juan,Juan Jované,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16585789,Julio Palacios Sambrano,,Julio Palacios Sambrano,Julio Palacios Sambrano,,Julio Palacios Sambrano,Julio Palacios Sambrano,male,,1965-07-21,Julio,Julio Palacios Sambrano,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/9/98/Julio_palacios_s.jpg,,,,,,,,,,,,,,,,,,,,,,Julio Palacios Sambrano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Julio Palacios Sambrano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16731624,Genaro López,Genaro López,Genaro López,Genaro López,,Genaro López,Genaro López,male,trade unionist,1954-07-26,Genaro,Genaro López,,Genaro López,,Genaro López,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16913059,Lorena Castillo de Varela,Lorena Castillo de Varela,Lorena Castillo de Varela,Lorena Castillo de Varela,,Lorena Castillo de Varela,Lorena Castillo,female,journalist,1968-07-31,Lorena,Lorena Castillo,,,,Lorena Castillo,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/d/d0/Lorena_Castillo.jpg,,,,,,,,,,,,Lorena Castillo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q18719759,Gustavo García de Paredes,Gustavo García de Paredes,Gustavo García de Paredes,Gustavo García de Paredes,Gustavo García de Paredes,Gustavo García de Paredes,Gustavo García de Paredes,male,politician,1938-09-23,Gustavo,Gustavo García de Paredes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q192667,Manuel Antonio Noriega,Manuel Noriega,Manuel Noriega,Manuel Noriega,Manuel Antonio Noriega,Manuel Noriega,Manuel Antonio Noriega,male,politician,1934-02-11,Manuel,Manuel Noriega,"Норьега, Мануэль",Manuel Noriega,Manuel Noriega,Manuel Noriega,"Норьега, Мануэль",2017-05-29,,,Manuel Noriega,Manuel Noriega,Manuel Noriega,Manuel Noriega,Manuel Noriega,マヌエル・ノリエガ,Manuel Noriega,Manuel Noriega,Manuel Noriega,,https://upload.wikimedia.org/wikipedia/commons/5/59/Manuel_Noriega_mugshot_cropped.jpg,/m/0jdjj,曼纽尔·诺列加,曼紐爾·諾列加,曼紐爾·諾列加,曼纽尔·诺列加,曼纽尔·诺列加,曼紐爾·諾列加,Manuel Antonio Noriega,מנואל נורייגה,마누엘 노리에가,Manuel Noriega,Manuel Noriega,Manuel Noriega,মানুয়েল নরিয়েগা,Manuel Noriega,مانويل نورييغا,Manuel Noriega,Manuel Noriega,Manuel Norijega,Мануел Норијега,Manuel Noriega,Manuel Antonio Noriega Moreno,Manuel Noriega,Мануель Нор'єга,Мануэль Нар’ега,Manuel Antonio Noriega Moreno,Мануел Нориега,مانوئل نوریگا,Manuel Noriega,मनुएल नोरिगा,მანუელ ნორიეგა,Manuel Noriega,Manuel Noriega,Мануэль Нар'ега,Мануэль Норьега,Мануел Норијега,曼纽尔·诺列加,Manuel Noriega,Manuel Noryeqa,Manuels Norjega,Manuel Noriega,Manuel Noriega,مانويل نورييغا,Manuel Noryeqa,Мануэль Нар’ега,Мануэль Нар'ега,Мануел Нориега,মানুয়েল নরিয়েগা,Manuel Antonio Noriega Moreno,Manuel Noriega,Manuel Noriega,Manuel Noriega,Manuel Antonio Noriega,مانوئل نوریگا,Manuel Noriega,מנואל נורייגה,Manuel Noriega,Manuel Noriega,Manuel Noriega,Manuel Noriega,Manuel Noriega,マヌエル・ノリエガ,მანუელ ნორიეგა,Мануэль Норьега,마누엘 노리에가,Manuel Noriega,Manuels Norjega,मनुएल नोरीगा,Manuel Noriega,Manuel Noriega,Manuel Noriega,Manuel Noriega,Manuel Noriega,Manuel Noriega,Manuel Noriega,Manuel Noriega,Manuel Noriega,Мануел Норијега,Manuel Noriega,Manuel Noriega,Мануель Нор'єга,Manuel Noriega,曼纽尔·诺列加,0000 0000 8438 1808,33536677,118947001,n88014308,12161867k,030143837,00621219,019/000023947,,,,,,,,,,,,,Manuel Noriega,,Category:Manuel Noriega,,,,Manuel Noriega,,,,,,,,,,,,,,,,,,,Manuel Noriega,Manuel Noriega,Manuel Noriega,Manuel Noriega,,,,,,,,,,,,,,,,,,,,,,,,,,,Manuel Noriega,,,,,,,,,,,,,,,,,,,,nm0635342,,js20101025002,,,,,,,,,,,,,,,Категория:Мануэль Норьега,Մանուել Նորյեգա,Manuel Noriega,Մանուել Նորյեգա,Manuel Noriega,Manuel Noriega,00000018556,Manuel Noriega,Manuel Noriega,Manuel Noriega,Manuel Noriega,,
Q19501020,Susana Richa de Torrijos,Susana Richa de Torrijos,Susana Richa de Torrijos,Susana Richa de Torrijos,Susana Richa de Torrijos,Susana Richa de Torrijos,Susana Richa de Torrijos,female,politician,1924-10-22,Susana,Susana Richa de Torrijos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q19602934,Enriqueta Morales,Enriqueta Morales,Enriqueta Morales,Enriqueta Morales,,Enriqueta Morales,Enriqueta Morales,female,,1891-03-29,,Enriqueta Morales,,,,,,1986-11-10,,,,,,,,,,,,,,,,,,,,,,,,,Enriqueta Morales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2040215,Roberto Arias,Roberto Arias,Roberto Arias,Roberto Arias,,Roberto Arias,Roberto Arias,male,journalist,1918,Roberto,Roberto Arias,Роберто Ариас,Roberto Arias,,Roberto Arias,"Ариас, Роберто",1989-11-22,,,Roberto Arias,,,,,,,,Roberto Arias,,,/m/047mj_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q21451566,Silvia Carrera,Silvia Carrera,Silvia Carrera,Silvia Carrera,,Silvia Carrera,,female,Cacique,1970,Silvia,Silvia Carrera,,,,Silvia Carrera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q22280279,,Rubén De León Sánchez,Rubén De León Sánchez,,,Rubén De León Sánchez,,male,,,,Rubén De León Sánchez,,,,Rubén De León Sánchez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q231946,Mireya Moscoso,Mireya Moscoso,Mireya Moscoso,Mireya Moscoso,Mireya Moscoso,Mireya Moscoso,Mireya Moscoso,female,politician,1946-07-01,Mireya,Mireya Moscoso,Мирейя Москосо,Mireya Moscoso,,Mireya Moscoso,,,Mireya Moscoso,Mireya Moscoso,Mireya Moscoso,Mireya Moscoso,Mireya Moscoso,Mireya Moscoso,Mireya Elisa Moscoso,ミレヤ・モスコソ,Mireya Moscoso,Mireya Moscoso,Mireya Moscoso,Mireya Moscoso,https://upload.wikimedia.org/wikipedia/commons/b/b7/Mireya_Moscoso.jpg,/m/022v9_,米雷娅·莫斯科索,米雷婭·莫斯科索,米雷婭·莫斯科索,米雷娅·莫斯科索,米雷娅·莫斯科索,米雷婭·莫斯科索,Mireya Moscoso,מירייה מוסקוסו,미레야 모스코소,,Mireya Moscoso,Mireya Moscoso,,,ميريا موسكوسو,Mireya Moscoso,Mireya Moscoso,,,,Mireya Moscoso,Mireya Moscoso,,,,,,Mireya Moscoso,मिरेया मॉस्कोसो,მირეია მოსკოსო,,,,,,米雷娅·莫斯科索,,,,,,ميريا موسكوسو,,,,,,Mireya Moscoso,,Mireya Moscoso,Mireya Moscoso,Mireya Moscoso,,Mireya Moscoso,,,Mireya Moscoso,Mireya Moscoso,,Mireya Moscoso,,მირეია მოსკოსო,,미레야 모스코소,,,मिरेया मॉस्कोसो,,Mireya Moscoso,,,,Mireya Moscoso,,,,,Mireya Elisa Moscoso,,,,米雷娅·莫斯科索,,36268204,1057603104,n2001105621,,,,936/000210306,,467307,,,,,,,,,,Mireya Moscoso,,,,,,,,,Mireya Moscoso,,,,,,,,,Mireya Moscoso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mireya Moscoso,Mireya Moscoso,Mireya Moscoso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q24255960,Carmen Gisela Vergara,Carmen Gisela Vergara,Carmen Gisela Vergara,,,Carmen Gisela Vergara,Carmen Gisela Vergara,female,lawyer,,,Carmen Gisela Vergara,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/6/65/Carmen_Gisela_Vergara.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q28122455,Laurentino Cortizo,Laurentino cortizo,Laurentino Cortizo,,,Laurentino Cortizo,Laurentino Cortizo,male,,,,Laurentino Cortizo,,,,Laurentino Cortizo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q28151596,Bosco Vallarino,,Bosco Vallarino,,,Bosco Vallarino,Bosco Vallarino,,,,,Bosco Vallarino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q28503586,Gerardo Ortega,,Gerardo Ortega,,,Gerardo Ortega,Gerardo Ortega,male,,,,Gerardo Ortega,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2919155,Max Delvalle,Max Delvalle,Max Delvalle,Max Delvalle,Max Delvalle,Max Delvalle,Max Delvalle,male,politician,1911-02-27,Max,Max Delvalle,,Max Delvalle,,Max Delvalle,,1979-12-20,,Max Delvalle,,,,,,,,,,Max Delvalle,,/m/051vww3,,,,,,,,מקס דל ואיה,,,,,,,,Max Delvalle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,מקס דל ואיה,,,,,,,,,,,,,,,,,,Max Delvalle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
