id,name__en,name__km,name__es,name__nl,name__de,name__fr,name,wikipedia__en,wikipedia__km,gender,birth_date,original_wikiname,name__it,given_name,name__zh,name__th,name__vi,name__fi,name__ja,wikipedia__de,wikipedia__fi,wikipedia__fr,wikipedia__it,wikipedia__ja,wikipedia__simple,wikipedia__th,wikipedia__vi,wikipedia__zh,image,identifier__VIAF,identifier__LCAuth,death_date,identifier__freebase,name__pt,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__pl,name__he,name__ru,name__ko,name__sv,name__nb,name__fa,name__be,name__tr,wikipedia__be,wikipedia__es,wikipedia__fa,wikipedia__he,wikipedia__ko,wikipedia__no,wikipedia__pl,wikipedia__pt,wikipedia__ru,wikipedia__sv,wikipedia__tr,name__ca,name__oc,name__qu,name__yo,name__ms,name__gl,name__id,name__br,name__el,name__sh,name__is,name__sr,name__sco,name__da,name__eu,name__et,name__ar,name__la,wikipedia__ar,wikipedia__br,wikipedia__da,wikipedia__el,wikipedia__et,wikipedia__eu,wikipedia__gl,wikipedia__id,wikipedia__is,wikipedia__la,wikipedia__ms,wikipedia__nl,wikipedia__oc,wikipedia__qu,wikipedia__sco,wikipedia__sh,wikipedia__sr,wikipedia__yo,identifier__ISNI,identifier__GND,identifier__SUDOC,identifier__NNDB,identifier__Munzinger,wikipedia__commons,wikipedia__bn,wikipedia__tl,name__bn,name__tl,name__cy,website,identifier__FAST,name__hu,last_seen,wikipedia__plwikiquote,wikipedia__cs,name__cs,facebook,identifier__Britannica,family_name,occupation,name__bar,identifier__snac,identifier__quora,name__uk,wikipedia__uk,wikipedia__mn,name__mn,identifier__bigenc_ru,name__ka,wikipedia__ka,wikipedia__war,identifier__NTA,name__pt_br,name__war,identifier__GTAA,wikipedia__wuu,name__hi,wikipedia__hi,wikipedia__mzn,identifier__BNF,name__fo,name__kl,name__nn,wikipedia__ca,name__mzn,name__wuu,wikipedia__ast,wikipedia__ceb,name__ast,name__ceb,name__en_ca,name__en_gb,name__ur,wikipedia__ur,name__sl,identifier__NKC
Q1068666,Chea Sim,ជា ស៊ីម,Chea Sim,Chea Sim,Chea Sim,Chea Sim,Chea Sim,Chea Sim,ជា ស៊ីម,male,1932-11-15,,Chea Sim,,谢辛,สมเด็จอัครมหาธรรมโพธิศาล เจีย ซีม,Chea Sim,Chea Sim,チア・シム,Chea Sim,Chea Sim,Chea Sim,Chea Sim,チア・シム,Chea Sim,สมเด็จอัครมหาธรรมโพธิศาล เจีย ซีม,Chea Sim,谢辛,https://upload.wikimedia.org/wikipedia/commons/3/39/Chea_Sim.jpg,71231245,nr00030257,2015-06-08,/m/041m6q,,,,,,,,,,Чеа Сим,,,,,,,,Chea Sim,,,,,,,"Сим, Чеа",,,,,,,,,Chea Sim,,,,,,,,,,,,,,,,,,,Chea Sim,,,,,,,,,,,,,,,,,,,,,Chea Sim,,453833,Chea Sim,,,,,,,,politician,,,,Чеа Сім,Чеа Сім,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1385794,Sok An,សុខ អាន,Sok An,Sok An,Sok An,Sok An,Sok An,Sok An,សុខ អាន,male,1950-04-16,Sok An,,,索安,สก อาน,Sok An,,ソック・アン,,,Sok An,,,Sok An,สมเด็จวิบุลปัญญา สก อาน,Sok An,宋安,"https://upload.wikimedia.org/wikipedia/commons/d/d3/Sok_An,_July_2010.jpg",,,2017-03-15,,,,索安,,,,,,,,소크 안,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Sok An,,,,,,,,,,,,,,,Song,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q14939366,Pa Socheatvong,ប៉ា សុជាតិវង្ស,,Pa Socheatvong,Pa Socheatvong,Pa Socheatvong,Pa Socheatvong,Pa Socheatvong,ប៉ា សុជាតិវង្ស,male,1957-07-01,Pa Socheatvong,,,巴速傑德旺,,,,,,,,,,,,,巴速傑德旺,https://upload.wikimedia.org/wikipedia/commons/1/1c/Pa_Socheatvong.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pa Socheatvong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1539074,Mu Sochua,,Mu Sochua,Mu Sochua,Mu Sochua,Mu Sochua,Mu Sochua,Mu Sochua,,female,1954-05-15,Mu Sochua,,,,,Mu Sochua,,,Mu Sochua,,,,,,,Mu Sochua,,https://upload.wikimedia.org/wikipedia/commons/e/e3/Mu_Sochua_With_the_Eleanor_Roosevelt_Ward.jpg,,,,/m/05zq_vq,,,,,,,,,מו סוצ'ואה,"Сочуа, Му",,,,,,,,Mu Sochua,,,,,,,"Сочуа, Му",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,human rights activist,,,,,,,,,მუ სოჩუა,მუ სოჩუა,,,,,,,,,,,,,,,,,Mu Sochua,,Mu Sochua,,,,,,,
Q16104907,Lu Laysreng,,,Lu Laysreng,Lu Laysreng,Lu Laysreng,Lu Laysreng,Lu Laysreng,,male,1938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16150274,Sar Kheng,ស ខេង,,Sar Kheng,Sar Kheng,Sar Kheng,Sar Kheng,Sar Kheng,ស ខេង,male,1951-01-15,Sar Kheng,Sar Kheng,,蘇慶,,,,サー・ケン,,,,Sar Kheng,,,,,蘇慶,https://upload.wikimedia.org/wikipedia/commons/6/68/Sar_Kheng_interview.jpg,,,,,,,,,,,,,,Сар Кенг,사르 켕,,,,,,,,,,,,,,Сар Кенг,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16190556,Ho Non,,,Ho Non,Ho Non,Ho Non,Ho Non,Ho Non,,female,1947-01-05,Ho Non,Ho Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16190599,Ith Prang,,,Ith Prang,Ith Prang,Ith Prang,Ith Prang,Ith Prang,,male,,,Ith Prang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16190676,Kong Sam Ol,,,,Kong Sam Ol,Kong Sam Ol,Kong Sam Ol,Kong Sam Ol,,male,1936-11-01,Kong Sam Ol,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/7/73/Kong_Sam_Ol.jpg,,,,,,,,,,,,,,Конг Самол,,,,,,,,,,,,,,,Конг Самол,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16190835,Min Sean,,,Min Sean,Min Sean,Min Sean,Min Sean,Min Sean,,male,,,Min Sean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
