id,name,area,img,faction,gender,source,twitter,facebook,term
230,Nelson Alcides Serrano Reyes,Pichincha,http://www.asambleanacional.gob.ec/es/system/files/styles/asambleista/private/pictures/picture-230-1432232765.jpg?itok=U14L8XmL,Alianza PAIS,male,http://www.asambleanacional.gob.ec/es/blogs/nelsonserrano,http://twitter.com/@NelsonSerranoR,https://www.facebook.com/nelsonserranoasambleista?fref=ts,2013
250,Raúl Leonardo Patiño Aroca,Guayas,http://www.asambleanacional.gob.ec/sites/default/files/styles/asambleista/public/pictures/picture-250-1394803355.png?itok=l5CXpocp,Alianza PAIS,male,http://www.asambleanacional.gob.ec/es/blogs/raulpatino,http://twitter.com/@raulpatinoaroca,https://www.facebook.com/RaulPatinoAroca,2013
170,Alex Fabián Solano Moreno,Bolívar,http://www.asambleanacional.gob.ec/sites/default/files/styles/asambleista/public/pictures/picture-170-1394148345.png?itok=lfdfPjQZ,Alianza PAIS,male,http://www.asambleanacional.gob.ec/es/blogs/alexsolano,,,2013
128,Adriana Miosotti De La Cruz Gaspar,Guayas,http://www.asambleanacional.gob.ec/sites/default/files/styles/asambleista/public/pictures/picture-128-1394568464.png?itok=2p9AbyH7,Alianza PAIS,female,http://www.asambleanacional.gob.ec/es/blogs/adrianadelacruz,http://twitter.com/@AdrianaMiosotty,,2013
129,Agustín Javier Delgado Chala,Imbabura,http://www.asambleanacional.gob.ec/sites/default/files/styles/asambleista/public/pictures/picture-129-1394568756.png?itok=VctU6QiJ,Alianza PAIS,male,http://www.asambleanacional.gob.ec/es/blogs/agustindelgado,http://twitter.com/@TinDelgado35,,2013
131,Alberto Jesús Arias Ramírez,Guayas,http://www.asambleanacional.gob.ec/sites/default/files/styles/asambleista/public/pictures/picture-131-1394568914.png?itok=R3fxi9JO,Alianza PAIS,male,http://www.asambleanacional.gob.ec/es/blogs/albertoarias,,https://www.facebook.com/alberto.ariasramirez.3?fref=ts,2013
130,Alberto Alexander Zambrano Chacha,Orellana,http://www.asambleanacional.gob.ec/sites/default/files/styles/asambleista/public/pictures/picture-130-1394569072.png?itok=hHyL2Rkt,Alianza PAIS,male,http://www.asambleanacional.gob.ec/es/blogs/albertozambrano,http://twitter.com/@AlbertoZambra20,https://www.facebook.com/alberto.asambleistapororellana,2013
132,Alex Francisco Guamán Castro,EEUU - Canadá,http://www.asambleanacional.gob.ec/sites/default/files/styles/asambleista/public/pictures/picture-132-1394803175.png?itok=dJCE6Y86,Alianza PAIS,male,http://www.asambleanacional.gob.ec/es/blogs/alexguaman,http://twitter.com/alexguaman_usa,https://www.facebook.com/pages/Asamble%C3%ADsta-Alex-Guam%C3%A1n-Castro/218561161672350?fref=ts,2013
221,María Alexandra Ocles Padilla,Asambleísta Nacional,http://www.asambleanacional.gob.ec/sites/default/files/styles/asambleista/public/pictures/picture-221-1394719836.png?itok=cjIf-cV3,Alianza PAIS,female,http://www.asambleanacional.gob.ec/es/blogs/alexandraocles,http://twitter.com/@alexocles,https://www.facebook.com/niaocles?ref=ts&fref=ts,2013
135,Andrés Tarquino Páez Benalcázar,Pichincha,http://www.asambleanacional.gob.ec/sites/default/files/styles/asambleista/public/pictures/picture-135-1394571336.png?itok=QIj2lYzO,Movimiento CREO,male,http://www.asambleanacional.gob.ec/es/blogs/andrespaez,http://twitter.com/@andrespaezid,https://www.facebook.com/andres.paez.3114?fref=ts,2013
