id,name__en,name__fr,name__ru,name__de,name__cy,name__nl,name,wikipedia__en,wikipedia__fr,wikipedia__ru,gender,birth_date,death_date,given_name,original_wikiname,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__bi,name__pl,name__es,name__yo,name__fi,name__it,name__et,name__id,name__cs,name__vi,name__el,name__sh,name__da,name__zh,name__uk,name__nb,name__io,name__nn,name__sv,name__ko,name__hu,wikipedia__bi,wikipedia__commons,wikipedia__cs,wikipedia__da,wikipedia__de,wikipedia__el,wikipedia__es,wikipedia__et,wikipedia__fi,wikipedia__id,wikipedia__io,wikipedia__it,wikipedia__ko,wikipedia__no,wikipedia__pl,wikipedia__sh,wikipedia__simple,wikipedia__uk,wikipedia__vi,wikipedia__yo,wikipedia__zh,image,identifier__freebase,name__pt,wikipedia__pt,name__ka,wikipedia__ka,name__eo,wikipedia__eo,wikipedia__sv,identifier__Britannica,name__tr,name__hr,name__lt,wikipedia__hr,wikipedia__lt,wikipedia__tr,identifier__VIAF,identifier__LCAuth,name__sr_el,name__sr_ec,name__gl,name__tpi,name__sr,wikipedia__gl,wikipedia__sr,wikipedia__tpi,name__ca,name__oc,name__de_ch,name__en_ca,name__en_gb,name__na,wikipedia__na,wikipedia__oc,wikipedia__ar,name__ar,name__ja,name__eu,occupation
Q1096208,Donald Kalpokas,Donald Kalpokas,"Калпокас, Дональд",Donald Kalpokas,,Donald Kalpokas,Donald Kalpokas,Donald Kalpokas,Donald Kalpokas,"Калпокас, Дональд",male,1943-08-23,,Donald,Donald Kalpokas,,,,,,,,Donald Kalpokas,Donald Kalpokas,,Donald Kalpokas,,,,,,Ντόναλντ Καλπόκας,Donald Kapolkas,,,Дональд Калпокас,,,,,,Donald Kalpokas,,,,,Donald Kalpokas,Ντόναλντ Καλπόκας,,,Donald Kalpokas,,,,,,Donald Kalpokas,Donald Kapolkas,,Дональд Калпокас,,,,,/m/0c8dd3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ドナルド・カルポカス,,politician
Q15427527,Patrick Crowby,Patrick Crowby,Патрик Кроуби,Patrick Crowby,Patrick Crowby,Patrick Crowby,Patrick Crowby,Patrick Crowby,Patrick Crowby,"Кроуби, Патрик",male,1958-07-06,2013-12-27,Patrick,Patrick Crowby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician
Q15459326,Antoine Wright,Antoine Wright,,,,Antoine Wright,Antoine Wright,Antoine Wright (politician),Antoine Wright,,male,1960-03-04,,Antoine,Antoine Wright (politician),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician
Q16190741,Bob Loughman,Bob Loughman,,Bob Loughman,,,Bob Loughman,Bob Loughman,,,male,1961,,Bob,Bob Loughman,,,,,,,,,,,,Bob Loughman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16191275,Maki Simelum,,,Maki Simelum,,,Maki Simelum,Maki Simelum,,,male,1972-03-03,,,Maki Simelum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16231327,Pascal Iauko,,,Pascal Iauko,,,Pascal Iauko,Pascal Iauko,,,male,1986-05-16,,Pascal,Pascal Iauko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16731174,Thomas Laken,Thomas Laken,,Thomas Laken,,,Thomas Laken,Thomas Laken,,,male,1972-03-03,,Thomas,Thomas Laken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16886429,James Wango,James Wango,,James Wango,,,James Wango,James Wango,,,male,,,James,James Wango,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician
Q17019552,Robert Bohn Sikol,Robert Bohn Sikol,,Robert Bohn Sikol,,,Robert Bohn Sikol,Robert Bohn Sikol,,,male,,,Robert,Robert Bohn Sikol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician
Q17059118,David Tosul,David Tosul,,David Tosul,,,David Tosul,David Tosul,,,male,,,David,David Tosul,,,,,,,,,,,,David Tosul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
