id,label,type
Q12361541,Minister of the Environment,cabinet
Q16402880,Minister of Agriculture,cabinet
Q16402881,Minister of Social Affairs,cabinet
Q16402952,Minister of Culture,cabinet
Q16403845,Minister of Economic Affairs and Infrastructure,cabinet
Q16405106,Minister of Agriculture,cabinet
Q1760777,Minister of Foreign Affairs,cabinet
Q20528230,Minister of Justice,cabinet
Q20528404,Minister of Public Administration,cabinet
Q20933474,Minister of Entrepreneurship,cabinet
Q21103025,Minister of Finance,cabinet
Q21121665,Minister of Economic Affairs and Communications,cabinet
Q23268238,Minister of Regional Affairs,cabinet
Q23725838,Minister of Culture and Education,cabinet
Q24058803,Minister of Foreign Trade and Entrepreneurship,cabinet
Q24060082,Minister of Health and Labour,cabinet
Q24060088,Minister of Social Protection,cabinet
Q24060239,Minister of Rural Affairs,cabinet
Q24061775,Minister of Population and Ethnic Affairs,cabinet
Q24067751,minister without portfolio,cabinet
Q24254211,Minister of European Integration,cabinet
Q3741249,Minister of Defence,cabinet
Q6866110,Minister of Education and Research,cabinet
Q6866431,Minister of the Interior,cabinet
Q737115,Prime Minister of Estonia,cabinet
