id,name,birth_date,email,group,group_id,area,term,start_date,start_reason,end_date,end_reason,image,phone,source,gender,given_name,identifier__imdb,identifier__musicbrainz,identifier__europarlmep,identifier__viaf,identifier__lcauth,identifier__gnd,identifier__discogs,name__et,name__en,identifier__freebase,wikipedia__et,wikipedia__en,identifier__isni,twitter
8f01f37d-be79-47d2-b818-c51878a00628,Rein Ratas,1938-05-09,Rein.Ratas@riigikogu.ee,Eesti Keskerakonna fraktsioon,KESK,Tallinna Mustamäe ja Nõmme linnaosa,13,,,,,http://www.riigikogu.ee/wpcms/wp-content/uploads/ems/temp/634f252d-c77c-4dae-9ece-46c1435a930d.jpg,6316685,http://www.riigikogu.ee/riigikogu/koosseis/riigikogu-liikmed/saadik/8f01f37d-be79-47d2-b818-c51878a00628/Rein-Ratas,male,Rein,,,,,,,,Rein Ratas,,,Rein Ratas,"",,
f70a1d6a-aa98-4a6b-9ffb-ff2f45f9739c,Ivi Eenmaa,1943-06-02,Ivi.Eenmaa@riigikogu.ee,Eesti Reformierakonna fraktsioon,RE,"Tallinna Kesklinna, Lasnamäe ja Pirita linnaosa",13,2015-04-09,Substitute member for Keit Pentus-Rosimannus,2015-07-15,Person she was substituting for resumed as an MP,"https://upload.wikimedia.org/wikipedia/commons/b/b2/Eenmaa,_Ivi.IMG_0385.JPG",,,female,,,,,30871246,,,,Ivi Eenmaa,Ivi Eenmaa,,Ivi Eenmaa,Ivi Eenmaa,,
e0767645-54aa-4084-9dd3-ed196172dabb,Vladimir Velman,1945-09-25,Vladimir.Velman@riigikogu.ee,Eesti Keskerakonna fraktsioon,KESK,Harju- ja Raplamaa,13,,,,,http://www.riigikogu.ee/wpcms/wp-content/uploads/ems/temp/3c7d52ed-11cc-48db-b7df-18e410eb303d.jpg,6316669,http://www.riigikogu.ee/riigikogu/koosseis/riigikogu-liikmed/saadik/e0767645-54aa-4084-9dd3-ed196172dabb/Vladimir-Velman,male,Vladimir,,,,308734512,,,,Vladimir Velman,,,Vladimir Velman,"",,
afddc160-d868-4f2e-b3a6-3da9da83104e,Mark Soosaar,1946-01-12,Mark.Soosaar@riigikogu.ee,Sotsiaaldemokraatliku Erakonna fraktsioon,SDE,Pärnumaa,13,2015-04-09,Substitute member for Indrek Saar,,,http://www.riigikogu.ee/wpcms/wp-content/uploads/ems/temp/b00183bb-0d7c-4afb-b9e1-9429725278c4.jpg,6316674,http://www.riigikogu.ee/riigikogu/koosseis/riigikogu-liikmed/saadik/afddc160-d868-4f2e-b3a6-3da9da83104e/Mark-Soosaar,male,Mark,nm0814600,,,,,,,Mark Soosaar,,,Mark Soosaar,"",,
07132cc4-5afc-4edb-9537-7c721ec39b2d,Enn Eesmaa,1946-06-07,Enn.Eesmaa@riigikogu.ee,Eesti Keskerakonna fraktsioon,KESK,"Hiiu-, Lääne- ja Saaremaa ",13,,,,,http://www.riigikogu.ee/wpcms/wp-content/uploads/ems/temp/bb3a9ee8-c3b8-47da-890e-eb7a35044337.jpg,6316679,http://www.riigikogu.ee/riigikogu/koosseis/riigikogu-liikmed/saadik/07132cc4-5afc-4edb-9537-7c721ec39b2d/Enn-Eesmaa,male,Enn,,,,,,,,Enn Eesmaa,,,Enn Eesmaa,"",,
40766949-940e-4530-9377-1532bc22501b,Heimar Lenk,1946-09-17,Heimar.Lenk@riigikogu.ee,Eesti Keskerakonna fraktsioon,KESK,"Võru-, Valga- ja Põlvamaa ",13,,,,,http://www.riigikogu.ee/wpcms/wp-content/uploads/ems/temp/8b9092d5-777a-4541-bddf-b198b433d059.jpg,6316498,http://www.riigikogu.ee/riigikogu/koosseis/riigikogu-liikmed/saadik/40766949-940e-4530-9377-1532bc22501b/Heimar-Lenk,male,,,,,,,,,Heimar Lenk,Heimar Lenk,,Heimar Lenk,Heimar Lenk,,
d43974f1-4b85-4e61-b9f6-67535e1bf19f,Arno Sild,1947-04-26,Arno.Sild@riigikogu.ee,Eesti Konservatiivse Rahvaerakonna fraktsioon,EKRE,"Võru-, Valga- ja Põlvamaa ",13,,,,,http://www.riigikogu.ee/wpcms/wp-content/uploads/ems/temp/446ff8ba-96bf-44ef-8357-2d7cf4827b8e.jpg,6316558,http://www.riigikogu.ee/riigikogu/koosseis/riigikogu-liikmed/saadik/d43974f1-4b85-4e61-b9f6-67535e1bf19f/Arno-Sild,,,,,,,,,,Arno Sild,,,Arno Sild,"",,
764a05b8-221d-4b65-b87b-a9b1f8b569fa,Jüri Adams,1947-11-22,Jyri.Adams@riigikogu.ee,Eesti Vabaerakonna fraktsioon,EVA,Tartu linn,13,,,,,http://www.riigikogu.ee/wpcms/wp-content/uploads/ems/temp/12c3bbdb-e8fb-48df-8447-d7be99d248be.jpg,6316663,http://www.riigikogu.ee/riigikogu/koosseis/riigikogu-liikmed/saadik/764a05b8-221d-4b65-b87b-a9b1f8b569fa/J%C3%BCri-Adams,male,Jüri,,,,,,,,Jüri Adams,,,Jüri Adams,"",,
103bdae6-c980-4bd4-8e57-e8af4df13f4b,Ants Laaneots,1948-01-16,Ants.Laaneots@riigikogu.ee,Eesti Reformierakonna fraktsioon,RE,Tartu linn,13,,,,,http://www.riigikogu.ee/wpcms/wp-content/uploads/ems/temp/9919f729-84f3-4ab3-9211-b1c3a50cf36a.jpg,6316624,http://www.riigikogu.ee/riigikogu/koosseis/riigikogu-liikmed/saadik/103bdae6-c980-4bd4-8e57-e8af4df13f4b/Ants-Laaneots,male,,,,,,,,,Ants Laaneots,Ants Laaneots,/m/02r4ctk,Ants Laaneots,Ants Laaneots,,
2240eda3-3fe9-457a-ab4f-2c52a4382c3c,Kalev Kallo,1948-12-06,Kalev.Kallo@riigikogu.ee,Eesti Keskerakonna fraktsioon,KESK,"Tallinna Haabersti, Põhja-Tallinna ja Kristiine linnaosa ",13,,,2015-04-23,Became The Chairman of Tallinn City Council and resigned as an MP,,,,male,,,,,,,,,Kalev Kallo,,,Kalev Kallo,"",,
4b96f3e5-af5e-41ce-86c9-3fdee3ce51da,Mart Helme,1949-10-31,Mart.Helme@riigikogu.ee,Eesti Konservatiivse Rahvaerakonna fraktsioon,EKRE,Pärnumaa,13,,,,,http://www.riigikogu.ee/wpcms/wp-content/uploads/ems/temp/4da8d09f-a1b0-497d-8bdd-55865e48c78b.jpg,6316655,http://www.riigikogu.ee/riigikogu/koosseis/riigikogu-liikmed/saadik/4b96f3e5-af5e-41ce-86c9-3fdee3ce51da/Mart-Helme,male,Mart,,24cb60d6-438a-4d1b-be06-3526d901b519,,229181471,n2003108109,130337617,2182214,Mart Helme,Mart Helme,,Mart Helme,Mart Helme,,
