id,name__en,name,wikipedia__en,gender,original_wikiname,name__de,name__nl,name__fr,name__es,name__hu,wikipedia__de,image,birth_date,given_name,name__nb,name__da,name__nn,name__sv,name__sco,wikipedia__sco,name__fa,name__ru,family_name,identifier__ISNI,identifier__VIAF,name__zh_hant,name__zh_cn,name__ja,wikipedia__es,identifier__GND,identifier__LCAuth,identifier__SUDOC,identifier__hansard,wikipedia__commons,name__ro,wikipedia__fr,wikipedia__gd,identifier__freebase,identifier__FAST,name__pl,name__gd,name__cy,name__zh,name__id,name__br,name__he,name__la,name__mk,name__el,name__ca,name__eu,name__az,name__oc,name__fi,name__uk,name__ie,name__is,name__it,name__pt,name__yue,name__bar,name__fy,name__ko,name__eo,name__tr,name__ka,wikipedia__az,wikipedia__bar,wikipedia__br,wikipedia__ca,wikipedia__cy,wikipedia__da,wikipedia__el,wikipedia__eo,wikipedia__eu,wikipedia__fa,wikipedia__fi,wikipedia__fy,wikipedia__he,wikipedia__hu,wikipedia__id,wikipedia__ie,wikipedia__is,wikipedia__it,wikipedia__ja,wikipedia__ka,wikipedia__ko,wikipedia__la,wikipedia__nl,wikipedia__no,wikipedia__oc,wikipedia__pl,wikipedia__plwikiquote,wikipedia__pt,wikipedia__ru,wikipedia__simple,wikipedia__sv,wikipedia__tr,wikipedia__uk,wikipedia__zh_yue,wikipedia__zh,twitter,identifier__parliamentDOTuk,identifier__publicwhip,identifier__TWFY,identifier__bbc_democracy_live,facebook,death_date,name__fo,name__kl,website,identifier__IIAF,noble_title,name__en_gb,name__af,name__an,name__cs,name__gl,name__sh,name__bg,name__be,name__be_tarask,name__vi,name__ar,name__mg,wikipedia__af,wikipedia__an,wikipedia__ar,wikipedia__be_x_old,wikipedia__be,wikipedia__bg,wikipedia__cawikiquote,wikipedia__cs,wikipedia__enwikiquote,wikipedia__eowikinews,wikipedia__gl,wikipedia__mg,wikipedia__sh,wikipedia__vi,identifier__Munzinger,identifier__GNC,identifier__GTAA,name__ga,wikipedia__ga,name__nds,name__en_ca,name__de_ch,identifier__current_hansard,identifier__EuroparlMEP,wikipedia__ro,identifier__BNF,identifier__NTA,identifier__Oxforddnb,identifier__NPG,identifier__CANTIC,identifier__N6I,name__io,name__qu,wikipedia__io,wikipedia__qu,identifier__Britannica,identifier__NLA,identifier__SELIBR,identifier__NUKAT,identifier__journalisted,name__sr_el,name__sr_ec,name__sr,wikipedia__sr,wikipedia__et,name__et,name__ast,name__bm,name__co,name__de_at,name__frc,name__frp,name__fur,name__gsw,name__hr,name__ia,name__jam,name__kab,name__kg,name__lb,name__li,name__lij,name__lt,name__lv,name__min,name__ms,name__nap,name__nds_nl,name__nrm,name__pap,name__pcd,name__pms,name__prg,name__pt_br,name__rgn,name__rm,name__sc,name__scn,name__sk,name__sw,name__vec,name__vls,name__vmf,name__vo,name__wa,name__wo,name__zu,name__zh_hk,identifier__NNDB,name__zh_hans,name__zh_mo,name__zh_my,name__zh_sg,name__zh_tw,identifier__guardian_topic,wikipedia__enwikinews,occupation,identifier__wikitree,identifier__ne_se,name__ty,identifier__quora,identifier__snac,wikipedia__eml,name__eml,identifier__BBC_things,name__or,name__ext,identifier__google_knowledge,identifier__PACE,wikipedia__bewikiquote,name__sl,name__hy,identifier__BIBSYS,identifier__national_archives,honorific_prefix,wikipedia__nlwikinews,wikipedia__ms,identifier__LNB,wikipedia__enwikisource,wikipedia__te,identifier__rush,wikipedia__azb,name__te,name__kn,honorific_suffix,identifier__CONOR,identifier__BNE,name__azb,identifier__NLI,identifier__NLAtrove,wikipedia__ast,name__bn,identifier__NKC,identifier__parliamentid,identifier__ukparliamentid,identifier__democracyclub,wikipedia__ruwikinews
Q1051152,Cathy Peattie,Cathy Peattie,Cathy Peattie,female,Cathy Peattie,Cathy Peattie,Cathy Peattie,Cathy Peattie,Cathy Peattie,Cathy Peattie,Cathy Peattie,,1951-11-24,Cathy,,,,,,,,,,,,,,,,,,,,,,,,/m/0bkkyy,,,,,,,,,,,,Cathy Peattie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cathy Peattie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,Cathy Peattie,,,F79713,,,,,,,,,,,,,,,,,,,,,,,
Q10652,Alex Salmond,Alex Salmond,Alex Salmond,male,Alex Salmond,Alex Salmond,Alex Salmond,Alex Salmond,Alex Salmond,Alex Salmond,Alex Salmond,https://upload.wikimedia.org/wikipedia/commons/0/0f/Alex_Salmond_(crop).JPG,1954-12-31,Alex,Alex Salmond,Alex Salmond,Alex Salmond,Alex Salmond,Alex Salmond,Alex Salmond,الکس ساموند,Алекс Салмонд,Salmond,0000 0004 3245 2060,217086908,,,アレックス・サモンド,Alex Salmond,1011950936,,,mr-alex-salmond,Category:Alex Salmond,,Alex Salmond,Ailig Salmond,/m/01k0jf,,Alex Salmond,Ailig Salmond,Alex Salmond,亚历克斯·萨尔蒙德,Alex Salmond,Alex Salmond,אלכס סלמונד,Alexander Salmond,Алекс Салмонд,Άλεξ Σάλμοντ,Alex Salmond,Alex Salmond,Aleks Salmond,Alex Salmond,Alex Salmond,Алекс Салмонд,Alex Salmond,Alex Salmond,Alex Salmond,Alex Salmond,,Alex Salmond,Alex Salmond,앨릭스 새먼드,Alex Salmond,Alex Salmond,,Aleks Salmond,Alex Salmond,Alex Salmond,Alex Salmond,Alex Salmond,Alex Salmond,Άλεξ Σάλμοντ,,Alex Salmond,الکس سموند,Alex Salmond,Alex Salmond,אלכס סלמונד,Alex Salmond,Alex Salmond,Alex Salmond,Alex Salmond,Alex Salmond,アレックス・サモンド,,앨릭스 새먼드,Alexander Salmond,Alex Salmond,Alex Salmond,Alex Salmond,Alex Salmond,Alex Salmond,Alex Salmond,"Салмонд, Алекс",Alex Salmond,Alex Salmond,Alex Salmond,Алекс Салмонд,,亚历克斯·萨尔蒙德,AlexSalmond,commons/alex-salmond/577,,,,AlexSalmond,,,,http://www.alexsalmond.scot/,,,Alex Salmond,Alex Salmond,Alex Salmond,Alex Salmond,Alex Salmond,Alex Salmond,Алекс Салмънд,Алекс Салманд,Алекс Сэлманд,Alex Salmond,أليكس ساموند,Alex Salmond,Alex Salmond,Alex Salmond,أليكس ساموند,Алекс Сэлманд,Алекс Салманд,Алекс Салмънд,Alex Salmond,Alex Salmond,Alex Salmond,Kategorio:Alex SALMOND,Alex Salmond,Alex Salmond,Alex Salmond,Alex Salmond,,,239002,Alex Salmond,Alex Salmond,,,Alex Salmond,,,,,380672545,,,,,,,,,biography/Alex-Salmond,,,,,,,,,,,Alex Salmond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Alex Salmond,economist,Salmond-56,,,Alex-Salmond,,,,,,Alex Salmond,,7457,Алекс Салманд,Alex Salmond,,,,,,,,,,596,,,,,,,,,,,,,,QlMua7Je,4911,
Q1083222,Christina McKelvie,Christina McKelvie,Christina McKelvie,female,Christina McKelvie,Christina McKelvie,Christina McKelvie,Christina McKelvie,Christina McKelvie,Christina McKelvie,Christina McKelvie,https://upload.wikimedia.org/wikipedia/commons/e/e3/ChristinaMcKelvieMSP20110510.JPG,1968-03-04,Christina,,,,,Christina McKelvie,Christina McKelvie,,,McKelvie,,,,,,,,,,,,,,Christina McKelvie,/m/02r4x0q,,,Christina McKelvie,,克莉絲緹娜·麥克爾維,,,,,,,Christina McKelvie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChristinaSNP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Christina McKelvie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,Christina McKelvie,,,,,,,,,,,,,,,,,,,,,,,,,7512,
Q1097337,Claudia Beamish,Claudia Beamish,Claudia Beamish,female,Claudia Beamish,Claudia Beamish,Claudia Beamish,Claudia Beamish,Claudia Beamish,Claudia Beamish,Claudia Beamish,https://upload.wikimedia.org/wikipedia/commons/5/53/ClaudiaBeamishMSPPortrait.jpg,1952-08-09,Claudia,,,,,Claudia Beamish,Claudia Beamish,,,,,,,,,,,,,,Category:Claudia Beamish,,,Claudia Beamish,/m/0gtvgfz,,,Claudia Beamish,,,,,,,,,Claudia Beamish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,claudiabeamish,,,,,,,,,,,,,,,,,,,,,,كلوديا بيمش,,,,كلوديا بيمش,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Claudia Beamish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,Claudia Beamish,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1108343,Colin Beattie,Colin Beattie,Colin Beattie,male,Colin Beattie,Colin Beattie,Colin Beattie,Colin Beattie,Colin Beattie,Colin Beattie,Colin Beattie,https://upload.wikimedia.org/wikipedia/commons/2/2f/Colin_Beattie.JPG,1951-10-17,Colin,,,,,Colin Beattie,Colin Beattie,,,Beattie,,,,,,,,,,,Category:Colin Beattie,,,Colin Beattie,/m/0gmfxm8,,,Colin Beattie,,,,,,,,,Colin Beattie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uartlach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Colin Beattie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,Colin Beattie,,,,,,,,,,,,,,,,,,,,,,,,,3560,
Q1108388,Colin Campbell,Colin Campbell,Colin Campbell (Scottish politician),male,Colin Campbell (Scottish politician),Colin Campbell,Colin Campbell,Colin Campbell,Colin Campbell,Colin Campbell,"Colin Campbell (Politiker, 1938)",,1938-08-31,Colin,Colin Campbell,Colin Campbell,Colin Campbell,Colin Campbell,,,کالین کمپل,Колин Кэмпбелл,Campbell,0000 0000 3964 1439,78302786,,,,,1049809297,nb2006018691,,,,,,,/m/0blg6f,,,,,,,,,,,,Colin Campbell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,كولن كامبل,,,,كولن كامبل (سياسي),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Colin Campbell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,Colin Campbell,,,,,,,,,,,,,,,,,,,,,কলিন ক্যাম্পবেল,,,,,
Q1168523,Dorothy-Grace Elder,Dorothy-Grace Elder,Dorothy-Grace Elder,female,Dorothy-Grace Elder,Dorothy-Grace Elder,Dorothy-Grace Elder,Dorothy-Grace Elder,Dorothy-Grace Elder,Dorothy-Grace Elder,Dorothy-Grace Elder,,1942-08-11,,,,,,,,,,Elder,,,,,,,,,,,,,,,/m/02cds5,,,,,,,,,,,,Dorothy-Grace Elder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dorothy-Grace Elder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,Dorothy-Grace Elder,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1174169,David Davidson,David Davidson,David Davidson (Scottish politician),male,David Davidson (Scottish politician),David Davidson,David Davidson,David Davidson,David Davidson,David Davidson,David Davidson (Politiker),,1943-01-25,David,,,,,,,,,Davidson,0000 0001 1438 7080,16716006,,,,,138018154,nb98001142,,,,,,,/m/0b11c3,,,,,,,,,,,,David Davidson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,067599362,,,,,,,,,,,,,,,,,,,,David Davidson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,David Davidson,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1175613,David McLetchie,David McLetchie,David McLetchie,male,David McLetchie,David McLetchie,David McLetchie,David McLetchie,David McLetchie,David McLetchie,David McLetchie,https://upload.wikimedia.org/wikipedia/commons/a/a3/DavidMcLetchieMSP20110509.JPG,1952-08-06,David,,,,,,,,,,0000 0000 4488 7337,73599788,大衛·麥克萊切,大卫·麦克莱切,デビッド・マクレチー,David McLetchie,,no2006008811,,,,,,,/m/02lb29,1898613,,,David McLetchie,戴維·麥克萊特,,,,,,,David McLetchie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108468,,,,,,,,,,,,,,,,,,,David McLetchie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,大卫·麦克莱切,,,,,,,politician,,,,,,,,,,,,,,David McLetchie,,,F72643,,,,,,,,,,,,,,,,,,,,,,,
Q1176741,David Stewart,David Stewart,David Stewart (Scottish politician),male,David Stewart (Scottish politician),David Stewart,David Stewart,David Stewart,David Stewart,David Stewart,"David Stewart (Politiker, 1956)",https://upload.wikimedia.org/wikipedia/commons/6/65/DaveStewartMSPPortrait.jpg,1956-05-05,David,,,,David Stewart,,,دیوید استوارت,Дэвид Стюарт,Stewart,,51177321,,,,,,nb90482479,,mr-david-stewart,,,,David Stewart,/m/029y_c,,,David Stewart,,,,,,,,,David Stewart,,,,,,,,David Stewart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Davidstewartmsp,,,,,,,,,http://www.davidstewart.org.uk,,,,,,,,,,,,,ديفيد ستيوارت,,,,ديفيد ستيوارت (سياسي),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,David Stewart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,David Stewart,,,,,,,,,,638,,,,,,,,,,,,,,,8416,
