id,image,name,email,identifier__scotparl
1882,"",Adam Ingram,,1882
5783,http://scottishparliament.thirdlight.com/file/35781655804,Adam Tomkins,Adam.Tomkins.msp@parliament.scot,5783
3775,http://scottishparliament.thirdlight.com/file/35960260104,Aileen Campbell,Aileen.Campbell.msp@parliament.scot,3775
2487,"",Aileen McLeod,,2487
2641,http://scottishparliament.thirdlight.com/file/35800892437,Alasdair Allan,Alasdair.Allan.msp@parliament.scot,2641
1888,"",Alasdair Morgan,,1888
1889,"",Alasdair Morrison,,1889
5815,http://scottishparliament.thirdlight.com/file/35781571595,Alex Cole-Hamilton,Alex.Cole-Hamilton.msp@parliament.scot,5815
1892,"",Alex Fergusson,,1892
1893,"",Alex Johnstone,,1893
1894,http://scottishparliament.thirdlight.com/file/35820937596,Alex Neil,Alex.Neil.msp@parliament.scot,1894
5119,http://scottishparliament.thirdlight.com/file/35786781393,Alex Rowley,Alex.Rowley.msp@parliament.scot,5119
1895,"",Alex Salmond,,1895
5665,http://scottishparliament.thirdlight.com/file/35783688483,Alexander Burnett,Alexander.Burnett.msp@parliament.scot,5665
5866,http://scottishparliament.thirdlight.com/file/35781571135,Alexander Stewart,Alexander.Stewart.msp@parliament.scot,5866
5781,http://scottishparliament.thirdlight.com/file/35783690200,Alison Harris,Alison.Harris.msp@parliament.scot,5781
4934,http://scottishparliament.thirdlight.com/file/35818497919,Alison Johnstone,Alison.Johnstone.msp@parliament.scot,4934
4080,"",Alison McInnes,,4080
1901,"",Allan Wilson,,1901
5586,http://scottishparliament.thirdlight.com/file/35783690447,Anas Sarwar,Anas.Sarwar.msp@parliament.scot,5586
2247,"",Andrew Arbuckle,,2247
1906,"",Andrew Welsh,,1906
1907,"",Andrew Wilson,,1907
1908,"",Andy Kerr,,1908
5695,http://scottishparliament.thirdlight.com/file/35781571691,Andy Wightman,Andy.Wightman.msp@parliament.scot,5695
1735,http://scottishparliament.thirdlight.com/file/35820129812,Angela Constance,Angela.Constance.msp@parliament.scot,1735
4939,http://scottishparliament.thirdlight.com/file/35855660763,Angus MacDonald,Angus.MacDonald.msp@parliament.scot,4939
1911,"",Angus MacKay,,1911
1741,"",Annabel Goldie,,1741
1742,http://scottishparliament.thirdlight.com/file/35960261933,Annabelle Ewing,Annabelle.Ewing.msp@parliament.scot,1742
2963,"",Anne McLaughlin,,2963
5047,"",Anne McTaggart,,5047
5788,http://scottishparliament.thirdlight.com/file/35783686421,Annie Wells,Annie.Wells.msp@parliament.scot,5788
5605,http://scottishparliament.thirdlight.com/file/48760196846,Ash Denham,Ash.Denham.msp@parliament.scot,5605
1915,"",Bashir Ahmad,,1915
5608,http://scottishparliament.thirdlight.com/file/35783686780,Ben Macpherson,Ben.Macpherson.msp@parliament.scot,5608
1916,"",Ben Wallace,,1916
2234,"",Bill Aitken,,2234
6090,http://scottishparliament.thirdlight.com/file/39689732792,Bill Bowman,Bill.Bowman.msp@parliament.scot,6090
2364,"",Bill Butler,,2364
3129,http://scottishparliament.thirdlight.com/file/35799134774,Bill Kidd,Bill.Kidd.msp@parliament.scot,3129
5078,"",Bill Walker,,5078
1921,"",Bill Wilson,,1921
3771,http://scottishparliament.thirdlight.com/file/35820939764,Bob Doris,Bob.Doris.msp@parliament.scot,3771
1926,"",Brian Adam,,1926
1928,"",Brian Fitzpatrick,,1928
1930,"",Brian Monteith,,1930
5793,http://scottishparliament.thirdlight.com/file/35783688325,Brian Whittle,Brian.Whittle.msp@parliament.scot,5793
1931,"",Bristow Muldoon,,1931
1932,http://scottishparliament.thirdlight.com/file/35818634739,Bruce Crawford,Bruce.Crawford.msp@parliament.scot,1932
2947,"",Bruce McFee,,2947
4984,"",Cameron Buchanan,,4984
3103,"",Campbell Martin,,3103
5556,"",Cara Hilton,,5556
2902,"",Carolyn Leckie,,2902
1751,"",Cathie Craigie,,1751
1752,"",Cathy Jamieson,,1752
1754,"",Cathy Peattie,,1754
3538,"",Charlie Gordon,,3538
1943,"",Chic Brodie,,1943
1944,"",Chris Ballance,,1944
4965,"",Christian Allard,,4965
3759,http://scottishparliament.thirdlight.com/file/35960260890,Christina McKelvie,Christina.McKelvie.msp@parliament.scot,3759
1756,http://scottishparliament.thirdlight.com/file/35819883370,Christine Grahame,Christine.Grahame.msp@parliament.scot,1756
2877,"",Christine May,,2877
3746,"",Christopher Harvie,,3746
2633,http://scottishparliament.thirdlight.com/file/49246913874,Claire Baker,Claire.Baker.msp@parliament.scot,2633
4940,http://scottishparliament.thirdlight.com/file/35820938229,Clare Adamson,Clare.Adamson.msp@parliament.scot,4940
5618,http://scottishparliament.thirdlight.com/file/35783687418,Clare Haughey,Clare.Haughey.msp@parliament.scot,5618
1759,http://scottishparliament.thirdlight.com/file/35820937650,Claudia Beamish,Claudia.Beamish.msp@parliament.scot,1759
3751,http://scottishparliament.thirdlight.com/file/38395638303,Colin Beattie,Colin.Beattie.msp@parliament.scot,3751
1950,"",Colin Campbell,,1950
3004,"",Colin Fox,,3004
4956,"",Colin Keir,,4956
5638,http://scottishparliament.thirdlight.com/file/35783688355,Colin Smyth,Colin.Smyth.msp@parliament.scot,5638
5604,http://scottishparliament.thirdlight.com/file/35820937956,Daniel Johnson,Daniel.Johnson.msp@parliament.scot,5604
1963,"",Dave Petrie,,1963
2674,"",Dave Thompson,,2674
1956,"",David Davidson,,1956
1961,"",David McLetchie,,1961
1962,"",David Mundell,,1962
3806,http://scottishparliament.thirdlight.com/file/35942002372,David Stewart,David.Stewart.msp@parliament.scot,3806
5075,http://scottishparliament.thirdlight.com/file/35800414488,David Torrance,David.Torrance.msp@parliament.scot,5075
4074,"",David Whitton,,4074
5809,http://scottishparliament.thirdlight.com/file/35783688782,Dean Lockhart,Dean.Lockhart.msp@parliament.scot,5809
1968,"",Dennis Canavan,,1968
3745,"",Dennis Robertson,,3745
2596,"",Derek Brownlee,,2596
4966,http://scottishparliament.thirdlight.com/file/35855660444,Derek Mackay,Derek.Mackay.msp@parliament.scot,4966
1970,"",Des McNulty,,1970
5677,http://scottishparliament.thirdlight.com/file/35786761150,Donald Cameron,Donald.Cameron.msp@parliament.scot,5677
1972,"",Donald Dewar,,1972
1973,"",Donald Gorrie,,1973
1762,"",Dorothy-Grace Elder,,1762
4981,http://scottishparliament.thirdlight.com/file/35783687368,Douglas Ross,,4981
5079,"",Drew Smith,,5079
1985,"",Duncan Hamilton,,1985
1986,"",Duncan McNeil,,1986
4982,http://scottishparliament.thirdlight.com/file/46587430194,Edward Mountain,Edward.Mountain.msp@parliament.scot,4982
1768,"",Elaine Murray,,1768
1769,http://scottishparliament.thirdlight.com/file/35817927427,Elaine Smith,Elaine.Smith.msp@parliament.scot,1769
1770,"",Elaine Thomson,,1770
1771,"",Eleanor Scott,,1771
5771,http://scottishparliament.thirdlight.com/file/35818497399,Emma Harper,Emma.Harper.msp@parliament.scot,5771
1990,"",Euan Robson,,1990
1994,http://scottishparliament.thirdlight.com/file/35943512647,Fergus Ewing,Fergus.Ewing.msp@parliament.scot,1994
5782,http://scottishparliament.thirdlight.com/file/40400707229,Finlay Carson,Finlay.Carson.msp@parliament.scot,5782
1773,http://scottishparliament.thirdlight.com/file/35855660228,Fiona Hyslop,Fiona.Hyslop.msp@parliament.scot,1773
1775,"",Fiona McLeod,,1775
2767,"",Frances Curran,,2767
1996,"",Frank McAveety,,1996
5596,http://scottishparliament.thirdlight.com/file/35783689308,Fulton MacGregor,Fulton.MacGregor.msp@parliament.scot,5596
5591,http://scottishparliament.thirdlight.com/file/35855660525,Gail Ross,Gail.Ross.msp@parliament.scot,5591
2595,"",Gavin Brown,,2595
2615,http://scottishparliament.thirdlight.com/file/35820937738,George Adam,George.Adam.msp@parliament.scot,2615
3811,"",George Foulkes,,3811
2003,"",George Lyon,,2003
2005,"",George Reid,,2005
2010,http://scottishparliament.thirdlight.com/file/35855484744,Gil Paterson,Gil.Paterson.msp@parliament.scot,2010
5578,http://scottishparliament.thirdlight.com/file/44304964199,Gillian Martin,Gillian.Martin.msp@parliament.scot,5578
2013,"",Gordon Jackson,,2013
2015,http://scottishparliament.thirdlight.com/file/40397712848,Gordon Lindhurst,Gordon.Lindhurst.msp@parliament.scot,2015
5074,http://scottishparliament.thirdlight.com/file/35817741458,Gordon MacDonald,Gordon.MacDonald.msp@parliament.scot,5074
5107,http://scottishparliament.thirdlight.com/file/35802798381,Graeme Dey,Graeme.Dey.msp@parliament.scot,5107
5057,"",Graeme Pearson,,5057
3994,http://scottishparliament.thirdlight.com/file/35783686696,Graham Simpson,Graham.Simpson.msp@parliament.scot,3994
3101,"",Hanzala Malik,,3101
1778,"",Helen Eadie,,1778
2028,"",Henry McLeish,,2028
2029,"",Hugh Henry,,2029
2030,"",Hugh O'Donnell,,2030
4941,http://scottishparliament.thirdlight.com/file/35922512428 ,Humza Yousaf,Humza.Yousaf.msp@parliament.scot,4941
2033,http://scottishparliament.thirdlight.com/file/35817741283,Iain Gray,Iain.Gray.msp@parliament.scot,2033
2038,"",Iain Smith,,2038
2044,"",Ian Jenkins,,2044
2049,"",Ian McKee,,2049
2051,"",Ian Welsh,,2051
1781,"",Irene McGugan,,1781
1782,"",Irene Oldfather,,1782
5612,http://scottishparliament.thirdlight.com/file/35783688223,Ivan McKee,Ivan.McKee.msp@parliament.scot,5612
2052,"",Jack McConnell,,2052
1783,http://scottishparliament.thirdlight.com/file/35855660953,Jackie Baillie,Jackie.Baillie.msp@parliament.scot,1783
2678,http://scottishparliament.thirdlight.com/file/35799295215,Jackson Carlaw,Jackson.Carlaw.msp@parliament.scot,2678
2826,http://scottishparliament.thirdlight.com/file/35942003780,James Dornan,James.Dornan.msp@parliament.scot,2826
2056,"",James Douglas-Hamilton,,2056
2059,http://scottishparliament.thirdlight.com/file/35783690470,James Kelly,James.Kelly.msp@parliament.scot,2059
5698,http://scottishparliament.thirdlight.com/file/35681770981,Jamie Greene,Jamie.Greene.msp@parliament.scot,5698
5800,http://scottishparliament.thirdlight.com/file/44183378552,Jamie Halcro Johnston,Jamie.HalcroJohnston.msp@parliament.scot,5800
3758,http://scottishparliament.thirdlight.com/file/35820938486 ,Jamie Hepburn,Jamie.Hepburn.msp@parliament.scot,3758
2066,"",Jamie McGrigor,,2066
2068,"",Jamie Stone,,2068
1791,"",Janis Hughes,,1791
5038,"",Jayne Baxter,,5038
2390,"",Jean Turner,,2390
1793,"",Jean Urquhart,,1793
5592,http://scottishparliament.thirdlight.com/file/35783688795,Jeane Freeman,Jeane.Freeman.msp@parliament.scot,5592
5613,https://scottishparliament.thirdlight.com/file/37911815221,Jenny Gilruth,Jenny.Gilruth.msp@parliament.scot,5613
5034,http://scottishparliament.thirdlight.com/file/9853514522,Jenny Marra,Jenny.Marra.msp@parliament.scot,5034
5877,http://scottishparliament.thirdlight.com/file/35783688260,Jeremy Balfour,Jeremy.Balfour.msp@parliament.scot,5877
2866,"",Jeremy Purvis,,2866
4955,"",Jim Eadie,,4955
4086,"",Jim Hume,,4086
2074,"",Jim Mather,,2074
2651,"",Jim Tolson,,2651
2077,"",Jim Wallace,,2077
4951,http://scottishparliament.thirdlight.com/file/45981598392,Joan McAlpine,Joan.McAlpine.msp@parliament.scot,4951
3901,http://scottishparliament.thirdlight.com/file/35800493586,Joe FitzPatrick,Joe.Fitzpatrick.msp@parliament.scot,3901
