id,name,state,area,area_id,wikipedia,wikipedia__en,group_id,group,term,source,coalition,coalition_id,name__en,image,gender,identifier__isni,identifier__viaf,identifier__gnd,identifier__lcauth,identifier__sudoc,birth_date,death_date,identifier__freebase,given_name,identifier__nta,identifier__oxforddnb,identifier__munzinger,family_name,identifier__musicbrainz,identifier__nla,identifier__nndb,identifier__npg,identifier__cantic,identifier__fifa,website,identifier__bnf
othman_abdullah,Othman Abdullah,Perlis,"Perlis Utara, Perlis",P001-1,,,UMNO,United Malays National Organisation,1,,Alliance Party,Alliance,,,,,,,,,,,,,,,,,,,,,,,,
mokhtar_ismail,Mokhtar Ismail,Perlis,"Perlis Selatan, Perlis",P002-1,,,UMNO,United Malays National Organisation,1,,Alliance Party,Alliance,,,,,,,,,,,,,,,,,,,,,,,,
fatimah_hashim,Fatimah Hashim,Kedah,"Jitra-Padang Terap, Kedah",P003-1,http://en.wikipedia.org/wiki/Fatimah_Hashim,Fatimah Hashim,UMNO,United Malays National Organisation,1,,Alliance Party,Alliance,Fatimah Hashim,,female,,53840705,1018184392,,,1924-12-25,2010-01-09,/m/02z17xs,,,,,,,,,,,,,
azahari_ibrahim,Azahari Ibrahim,Kedah,"Kubang Pasu Barat, Kedah",P004-1,,,UMNO,United Malays National Organisation,1,,Alliance Party,Alliance,,,,,,,,,,,,,,,,,,,,,,,,
abdul_khalid_awang_osman,Abdul Khalid Awang Osman,Kedah,"Kota Star Utara, Kedah",P005-1,,,UMNO,United Malays National Organisation,1,,Alliance Party,Alliance,,,,,,,,,,,,,,,,,,,,,,,,
lim_joo_kong,Lim Joo Kong,Kedah,"Alor Star, Kedah",P006-1,,,MCA,Malayan Chinese Association,1,,Alliance Party,Alliance,,,,,,,,,,,,,,,,,,,,,,,,
tunku_abdul_rahman,"Tunku Abdul Rahman
Sultan Abdul Hamid Halim Shah",Kedah,"Kuala Kedah, Kedah",P007-1,http://en.wikipedia.org/wiki/Tunku_Abdul_Rahman,Tunku Abdul Rahman,UMNO,United Malays National Organisation,1,,Alliance Party,Alliance,Tunku Abdul Rahman,https://upload.wikimedia.org/wikipedia/commons/5/5a/Tunku_abd_rahman.jpg,male,0000 0000 8363 1019,20929510,118787705,n50034818,138970831,1903-02-08,1990-12-06,/m/01_t7m,Abdul,,101039072,,,,,271/000174746,mp141027,,,,
wan_sulaiman_wan_tam,Wan Sulaiman Wan Tam,Kedah,"Kota Star Selatan, Kedah",P008-1,,,UMNO,United Malays National Organisation,1,,Alliance Party,Alliance,,,,,,,,,,,,,,,,,,,,,,,,
khir_johari,Khir Johari,Kedah,"Kedah Tengah, Kedah",P009-1,http://en.wikipedia.org/wiki/Khir_Johari,Khir Johari,UMNO,United Malays National Organisation,1,,Alliance Party,Alliance,Khir Johari,,male,,,,,,1923-01-29,2006-11-19,,Mohamed,,,,,,,,,,,,
mohamed_ismail_mohd_yusof,Mohamed Ismail Mohd Yusof,Kedah,"Jerai, Kedah",P010-1,,,UMNO,United Malays National Organisation,1,,Alliance Party,Alliance,,,,,,,,,,,,,,,,,,,,,,,,
harun_abdullah,Harun Abdullah,Kedah,"Baling, Kedah",P011-1,,,UMNO,United Malays National Organisation,1,,Alliance Party,Alliance,,,,,,,,,,,,,,,,,,,,,,,,
abdul_samad_osman,Abdul Samad Osman,Kedah,"Sungei Patani, Kedah",P012-1,,,UMNO,United Malays National Organisation,1,,Alliance Party,Alliance,,,,,,,,,,,,,,,,,,,,,,,,
hanafi_mohd_yunus,Hanafi Mohd Yunus,Kedah,"Kulim Utara, Kedah",P013-1,,,UMNO,United Malays National Organisation,1,,Alliance Party,Alliance,,,,,,,,,,,,,,,,,,,,,,,,
tan_tye_chek,Tan Tye Chek,Kedah,"Kulim-Bandar Bahru, Kedah",P014-1,,,MCA,Malayan Chinese Association,1,,Alliance Party,Alliance,,,,,,,,,,,,,,,,,,,,,,,,
hassan_ahmad,Hassan Ahmad,Kelantan,"Tumpat, Kelantan",P015-1,http://en.wikipedia.org/wiki/Hassan_Ahmad,Hassan Ahmad,PMIP,Pan-Malayan Islamic Party,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
wan_mustapha_ali,Wan Mustapha Ali,Kelantan,"Kelantan Hilir, Kelantan",P016-1,,,PMIP,Pan-Malayan Islamic Party,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
nik_man_nik_mohamed,Nik Man Nik Mohamed,Kelantan,"Pasir Mas Hilir, Kelantan",P017-1,,,PMIP,Pan-Malayan Islamic Party,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
ahmad_abdullah,Ahmad Abdullah,Kelantan,"Kota Bharu Hilir, Kelantan",P018-1,http://en.wikipedia.org/wiki/Ahmad_Abdullah,Ahmad Abdullah,PMIP,Pan-Malayan Islamic Party,1,,,,Ahmad Abdullah,,male,,118195357,,,,1941-02-28,2005-09-28,,Ahmad,,,,,,,,,,,,
