id,name__en,name__es,name__de,name__nl,name__fr,name__hu,name,wikipedia__en,gender,occupation,original_wikiname,name__et,name__ru,name__ca,name__oc,name__nb,name__da,name__nn,name__sv,name__it,name__cy,name__zh_hant,name__zh_cn,name__ja,wikipedia__de,wikipedia__et,wikipedia__fr,wikipedia__it,wikipedia__oc,wikipedia__ru,birth_date,death_date,identifier__freebase,identifier__ISNI,identifier__VIAF,identifier__BNF,identifier__SUDOC,family_name,given_name,name__el,name__en_ca,name__en_gb,name__pl,name__tr,name__fi,wikipedia__el,wikipedia__es,wikipedia__pl,wikipedia__tr,image,website,wikipedia__ja,wikipedia__nl,wikipedia__sv,identifier__LCAuth,identifier__IMDB,identifier__AlloCine,identifier__moviemeter,identifier__FAST,identifier__elonet,identifier__PORT,identifier__kinopoisk,identifier__CSFD,identifier__filmportal_de,name__fa,name__id,name__ka,name__ms,name__pt,wikipedia__fa,wikipedia__id,wikipedia__ka,wikipedia__ms,wikipedia__pt,name__gl,wikipedia__fi,wikipedia__gl,identifier__GND,identifier__NTA,name__eo,name__ml,name__vi,name__ko,name__ar,name__io,name__de_ch,name__lb,name__an,name__la,name__zh,name__be,name__eu,name__cs,wikipedia__an,wikipedia__ar,wikipedia__be,wikipedia__ca,wikipedia__cs,wikipedia__enwikinews,wikipedia__eo,wikipedia__eu,wikipedia__io,wikipedia__ko,wikipedia__la,wikipedia__lb,wikipedia__ml,wikipedia__vi,wikipedia__zh,identifier__Munzinger,identifier__Britannica,identifier__senatDOTfr,name__zh_hans,name__zh_hk,name__zh_sg,name__zh_tw,name__is,name__yo,name__mg,wikipedia__is,wikipedia__mg,wikipedia__yo,name__af,name__ast,name__bar,name__bm,name__br,name__co,name__de_at,name__frc,name__frp,name__fur,name__ga,name__gd,name__gsw,name__hr,name__ia,name__ie,name__jam,name__kab,name__kg,name__li,name__lij,name__lt,name__min,name__nap,name__nds,name__nds_nl,name__nrm,name__pap,name__pcd,name__pms,name__prg,name__pt_br,name__rgn,name__rm,name__ro,name__sc,name__scn,name__sco,name__sk,name__sr_el,name__sw,name__vec,name__vls,name__vmf,name__vo,name__wa,name__wo,name__zu,identifier__sycomore,name__rw,name__sr_ec,name__be_tarask,name__sr,name__arz,wikipedia__arz,wikipedia__be_x_old,wikipedia__bm,wikipedia__br,wikipedia__commons,wikipedia__no,wikipedia__plwikiquote,wikipedia__rw,wikipedia__sr,identifier__snac,name__he,name__uk,wikipedia__uk,wikipedia__he,wikipedia__hr,wikipedia__nn,identifier__NNDB,wikipedia__ruwikinews,identifier__GTAA,identifier__allmovie,wikipedia__cawikiquote,identifier__bigenc_ru
Q1169518,Aminata Traoré,Aminata Traoré,Aminata Traoré,Aminata Traoré,Aminata Dramane Traoré,Aminata Traoré,Aminata Traoré,Aminata Traoré,female,politician,Aminata Traoré,,,Aminata Dramane Traoré,,Aminata Dramane Traoré,Aminata Dramane Traoré,Aminata Dramane Traoré,Aminata Dramane Traoré,Aminata Dramane Traoré,,,,,,,Aminata Dramane Traoré,Aminata Dramane Traoré,,,1947,,/m/06l9rh,0000 0001 1655 5228,61705590,13526566m,050367749,Traoré,Aminata,,,,,,,,Aminata Traoré,,,https://upload.wikimedia.org/wikipedia/commons/e/e0/Aminata_Traore_IMG_0245.jpg,,,Aminata Traoré,,n85259584,nm2936742,438410,,,,,1559885,145192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aminata Dramane Traoré,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p477591,Aminata Dramane Traoré,
Q13553808,Dramane Dembélé,Dramane Dembélé,Dramane Dembélé,Dramane Dembélé,Dramane Dembélé,Dramane Dembélé,Dramane Dembélé,Dramane Dembélé,male,politician,Dramane Dembélé,,,,,,,,Dramane Dembélé,,,,,,,,Dramane Dembélé,,,,1967-04-08,,/m/0swlrhc,,,,,,Dramane,,,,,,,,Dramane Dembélé,,,,,,,Dramane Dembélé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1362358,Younoussi Touré,Younoussi Touré,Younoussi Touré,Younoussi Touré,Younoussi Touré,Younoussi Touré,Younoussi Touré,Younoussi Touré,male,politician,Younoussi Touré,,,,,,,,,,,尤努西·杜爾,尤努西·杜尔,,Younoussi Touré,,Younoussi Touré,,,,1941-01-01,,/m/02qqzhj,,48444597,,,,,,,,,,,,,,,,,,,,n93096043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q14832856,Oumar Tatam Ly,Oumar Tatam Ly,Oumar Tatam Ly,Oumar Tatam Ly,Oumar Tatam Ly,,Oumar Tatam Ly,Oumar Tatam Ly,male,banker,Oumar Tatam Ly,Oumar Tatam Ly,"Ли, Умар",,,,,,,Oumar Tatam Ly,,,,,Oumar Tatam Ly,Oumar Tatam Ly,Oumar Tatam Ly,Oumar Tatam Ly,,"Ли, Умар",1963-11-28,,/m/0wzf2jm,,,,,,Oumar,Ουμάρ Τατάμ Λι,Oumar Tatam Ly,Oumar Tatam Ly,Oumar Tatam Ly,Oumar Tatam Ly,,Ουμάρ Τατάμ Λι,Oumar Ly Tatam,Oumar Tatam Ly,Oumar Tatam Ly,,,,,,,,,,,,,,,,,Oumar Tatam Ly,,,,,Oumar Tatam Ly,,,,,,,,,,,,,,,Oumar Tatam Ly,,,,奥马尔·塔特姆·利,,,,,,,,,,,,,,,,,,奥马尔·塔特姆·利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1545644,Ibrahima N'Diaye,,Ibrahima N’Diaye,Ibrahima N'Diaye,Ibrahima N'Diaye,,Ibrahima N'Diaye,Ibrahima N'Diaye,male,politician,Ibrahima N'Diaye,,,,,,,,,,,,,,Ibrahima N’Diaye,,Ibrahima N'Diaye (homme politique malien),,,,1948-05-02,,/m/05zkhrb,,16005405,,150646011,,Ibrahima,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16269353,Sangaré Niamoto Ba,,,Sangaré Niamoto Ba,Sangaré Niamoto Ba,,Sangaré Niamoto Ba,Sangaré Niamoto Ba,female,politician,Sangaré Niamoto Ba,,,,,,,,,,,,,,,,Sangaré Niamoto Ba,,,,1955-04-22,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/4/48/Sangaré_Niamoto_Ba_2011.jpg,,,,,,,,,,,,,,,,,,Sangaré Niamoto Ba,,,,,Sangaré Niamoto Ba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16647851,Sy Kadiatou Sow,,,Kadiatou Sow,Sy Kadiatou Sow,,Sy Kadiatou Sow,Sy Kadiatou Sow,female,politician,Sy Kadiatou Sow,,,,,,,,,,,,,,,,Sy Kadiatou Sow,,,,1955-03-07,,,,,,,,Kadiatou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16732728,Achérif Ag Mohamed,,Achérif Ag Mohamed,Achérif Ag Mohamed,Achérif Ag Mohamed,,Achérif Ag Mohamed,Achérif Ag Mohamed,male,politician,Achérif Ag Mohamed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16915860,Cheick Bougadary Traoré,,Cheick Bougadary Traoré,,Cheick Bougadary Traoré,,Cheick Bougadary Traoré,Cheick Bougadary Traoré,male,,Cheick Bougadary Traoré,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16919145,Jamille Bittar,,,,Jamille Bittar,,Jamille Bittar,Jamille Bittar,male,,Jamille Bittar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
