id,position,label,description,start_date,term,end_date,replaced_by,replaces
Q12152396,Q18390049,member of the Parliament of Moldova,"","",,,,
Q12736771,Q18390049,member of the Parliament of Moldova,"","",,,,
Q12743647,Q18390049,member of the Parliament of Moldova,"","",,,,
Q13257824,Q18390049,member of the Parliament of Moldova,"","",,,,
Q15715802,Q1769526,Prime Minister of Moldova,"",2015-10-30,,2016-01-20,Pavel Filip,Valeriu Streleț
Q15715802,Q18390049,member of the Parliament of Moldova,"","",,,,
Q16215199,Q18390049,member of the Parliament of Moldova,"","",,,,
Q16215199,Q24576259,Minister of the Economy of Moldova,Economy minister of Moldova,2014-07-03,,2015-01-23,Stephane Christophe Bride,Valeriu Lazăr
Q17336477,Q18390049,member of the Parliament of Moldova,"","",,,,
Q18076592,Q18390049,member of the Parliament of Moldova,"",2014,,,,
Q18537388,Q18390049,member of the Parliament of Moldova,"","",,,,
Q18539959,Q18390049,member of the Parliament of Moldova,"","",,,,
Q18541933,Q18390049,member of the Parliament of Moldova,"","",,,,
Q18544109,Q18390049,member of the Parliament of Moldova,"","",,,,
Q18549566,Q18390049,member of the Parliament of Moldova,"","",,,,
Q189435,Q18390049,member of the Parliament of Moldova,"","",,,,
Q189435,Q312271,President of Moldova,the head of state of Moldova,2001-04-07,,2009-09-11,Mihai Ghimpu,Petru Lucinschi
Q189435,Q4376680,President of the Moldovan Parliament,"",2009-05-12,,2009-08-28,Mihai Ghimpu,Ivan Calin
Q19916913,Q18390049,member of the Parliament of Moldova,"","",,,,
Q19918170,Q18390049,member of the Parliament of Moldova,"","",,,,
Q19918374,Q18390049,member of the Parliament of Moldova,"","",,,,
Q20429648,Q18390049,member of the Parliament of Moldova,"","",,,,
Q20430935,Q18390049,member of the Parliament of Moldova,"","",,,,
Q20431298,Q18390049,member of the Parliament of Moldova,"","",,,,
Q20431743,Q18390049,member of the Parliament of Moldova,"","",,,,
Q20432903,Q18390049,member of the Parliament of Moldova,"","",,,,
Q20813693,Q18390049,member of the Parliament of Moldova,"","",,,,
Q20821018,Q18390049,member of the Parliament of Moldova,"","",,,,
Q20821030,Q18390049,member of the Parliament of Moldova,"","",,,,
Q20821033,Q18390049,member of the Parliament of Moldova,"","",,,,
Q20828398,Q18390049,member of the Parliament of Moldova,"","",,,,
Q20891267,Q18390049,member of the Parliament of Moldova,"","",,,,
Q20891855,Q18390049,member of the Parliament of Moldova,"","",,,,
Q20891868,Q18390049,member of the Parliament of Moldova,"","",,,,
Q21469785,Q18390049,member of the Parliament of Moldova,"","",,,,
Q21746689,Q18390049,member of the Parliament of Moldova,"","",,,,
Q21746702,Q18390049,member of the Parliament of Moldova,"","",,,,
Q21746710,Q18390049,member of the Parliament of Moldova,"","",,,,
Q21746717,Q18390049,member of the Parliament of Moldova,"","",,,,
Q21746725,Q18390049,member of the Parliament of Moldova,"","",,,,
Q21746735,Q18390049,member of the Parliament of Moldova,"","",,,,
Q21746752,Q18390049,member of the Parliament of Moldova,"","",,,,
Q21746905,Q18390049,member of the Parliament of Moldova,"","",,,,
Q21746908,Q18390049,member of the Parliament of Moldova,"","",,,,
Q21746909,Q18390049,member of the Parliament of Moldova,"","",,,,
Q21746910,Q18390049,member of the Parliament of Moldova,"","",,,,
Q21746911,Q18390049,member of the Parliament of Moldova,"","",,,,
Q21746912,Q18390049,member of the Parliament of Moldova,"","",,,,
