id,name,sort_name,position,party,party_id,image,term,source,email
10,Mihai Ghimpu,Ghimpu Mihai,"",Fracțiunea Partidului Liberal,10,http://www.parlament.md/LinkClick.aspx?fileticket=zt2iojlVhkk%3d&tabid=87&mid=476&language=en-US,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/10/language/en-US/Default.aspx,Mihai.Ghimpu@parlament.md
102,Vladimir Ţurcan,Ţurcan Vladimir,"",Fracțiunea Partidului Socialiștilor din Republica Moldova,12,http://www.parlament.md/LinkClick.aspx?fileticket=MDJHauII1tA%3d&tabid=87&mid=476&language=en-US,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/102/language/en-US/Default.aspx,
103,Vladimir Vitiuc,Vitiuc Vladimir,Deputy Chairman of the Parliament,Fracțiunea Partidului Democrat din Moldova,9,http://www.parlament.md/LinkClick.aspx?fileticket=RsgE%2fxIb8tw%3d&tabid=87&mid=476&language=en-US,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/103/language/en-US/Default.aspx,Vladimir.Vitiuc@parlament.md
104,Vladimir Voronin,Voronin Vladimir,"",Fracțiunea Partidului Comuniștilor din Republica Moldova,8,http://www.parlament.md/LinkClick.aspx?fileticket=mS2Q8%2fKWWic%3d&tabid=87&mid=476&language=en-US,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/104/language/en-US/Default.aspx,Vladimir.Voronin@parlament.md
106,Zinaida Greceanîi,Greceanîi Zinaida,"",Fracțiunea Partidului Socialiștilor din Republica Moldova,12,http://www.parlament.md/LinkClick.aspx?fileticket=1%2b%2fTTX6xueA%3d&tabid=87&mid=476&language=en-US,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/106/language/en-US/Default.aspx,Zinaida.Greceanii@parlament.md
15,Anatolie Zagorodnîi,Zagorodnîi Anatolie,"",Fracțiunea Partidului Democrat din Moldova,9,http://www.parlament.md/LinkClick.aspx?fileticket=qiFaZVblok8%3d&tabid=87&mid=476&language=en-US,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/15/language/en-US/Default.aspx,Anatolie.Zagorodnii@parlament.md
23,Dumitru Diacov,Diacov Dumitru,"",Fracțiunea Partidului Democrat din Moldova,9,http://www.parlament.md/LinkClick.aspx?fileticket=R4NMyBMNncA%3d&tabid=87&mid=476&language=en-US,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/23/language/en-US/Default.aspx,Dumitru.Diacov@parlament.md
25,Elena Bodnarenco,Bodnarenco Elena,"",Fracțiunea Partidului Comuniștilor din Republica Moldova,8,http://www.parlament.md/LinkClick.aspx?fileticket=HA6Ey%2bLqMZE%3d&tabid=87&mid=476&language=en-US,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/25/language/en-US/Default.aspx,
27,Galina Balmoş,Balmoş Galina,"",Fracțiunea Partidului Democrat din Moldova,9,http://www.parlament.md/LinkClick.aspx?fileticket=Pq8Gg3bgbhI%3d&tabid=87&mid=476&language=en-US,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/27/language/en-US/Default.aspx,Galina.Balmos@parlament.md
277,Grigore Cobzac,Cobzac Grigore,"",Fracțiunea Partidului Liberal Democrat din Moldova,11,http://www.parlament.md/LinkClick.aspx?fileticket=7DyK2DqQoeM%3d&tabid=87&mid=476&language=en-US,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/277/language/en-US/Default.aspx,
292,Maria Postoico,Postoico Maria,"",Fracțiunea Partidului Comuniștilor din Republica Moldova,8,http://www.parlament.md/LinkClick.aspx?fileticket=jtYFX3nzivs%3d&tabid=87&mid=476&language=en-US,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/292/language/en-US/Default.aspx,Vasile.Esanu@parlament.md
294,Angel Agache,Agache Angel,"",Free fraction deputies,-1,http://www.parlament.md/LinkClick.aspx?fileticket=W3fwGNmQZQY%3d&tabid=87&mid=476&language=en-US,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/294/language/en-US/Default.aspx,Angel.Agache@parlament.md
297,Raisa Apolschii,Apolschii Raisa,"",Fracțiunea Partidului Democrat din Moldova,9,http://www.parlament.md/LinkClick.aspx?fileticket=MbZBprSfdGE%3d&tabid=87&mid=476&language=en-US,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/297/language/en-US/Default.aspx,Cristina.Ciolac@parlament.md
298,Alexandr Bannicov,Bannicov Alexandr,"",Fracțiunea Partidului Democrat din Moldova,9,http://www.parlament.md/LinkClick.aspx?fileticket=u%2fg3wD9WwmI%3d&tabid=87&mid=476&language=en-US,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/298/language/en-US/Default.aspx,Alexandr.Bannicov@parlament.md
304,Andrian Candu,Candu Andrian,President of the Parliament,Fracțiunea Partidului Democrat din Moldova,9,http://www.parlament.md/LinkClick.aspx?fileticket=JpGIXDd%2figA%3d&tabid=87&mid=476&language=en-US,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/304/language/en-US/Default.aspx,Luminita.Bolohan@parlament.md
305,Maria Ciobanu,Ciobanu Maria,"",Fracțiunea Partidului Liberal Democrat din Moldova,11,http://www.parlament.md/LinkClick.aspx?fileticket=8inQBaGsrR4%3d&tabid=87&mid=476&language=en-US,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/305/language/en-US/Default.aspx,Maria.Ciobanu@parlament.md
310,Anatolie Gorilă,Gorilă Anatolie,"",Fracțiunea Partidului Democrat din Moldova,9,http://www.parlament.md/LinkClick.aspx?fileticket=CcW1r01Ce8o%3d&tabid=87&mid=476&language=en-US,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/310/language/en-US/Default.aspx,Anatolie.Gorila@parlament.md
311,Nicolae Juravschi,Juravschi Nicolae,"",Free fraction deputies,-1,http://www.parlament.md/LinkClick.aspx?fileticket=%2b8H0mXLh6lU%3d&tabid=87&mid=476&language=en-US,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/311/language/en-US/Default.aspx,Nicolae.Juravschi@parlament.md
312,Chiril Lucinschi,Lucinschi Chiril,"",Free fraction deputies,-1,http://www.parlament.md/LinkClick.aspx?fileticket=k85hR0MtIC4%3d&tabid=87&mid=476&language=en-US,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/312/language/en-US/Default.aspx,Valeriu.Bodiu@parlament.md
314,Gheorghe Mocanu,Mocanu Gheorghe,"",Free fraction deputies,-1,http://www.parlament.md/LinkClick.aspx?fileticket=DmMP89n04xs%3d&tabid=87&mid=476&language=en-US,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/314/language/en-US/Default.aspx,Gheorghe.Mocanu@parlament.md
315,Vasilii Panciuc,Panciuc Vasilii,"",Fracțiunea Partidului Comuniștilor din Republica Moldova,8,http://www.parlament.md/LinkClick.aspx?fileticket=j8wrg9%2fDYmo%3d&tabid=87&mid=476&language=en-US,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/315/language/en-US/Default.aspx,
318,Nae-Simion Pleşca,Pleşca Nae-Simion,"",Free fraction deputies,-1,http://www.parlament.md/LinkClick.aspx?fileticket=M0pyNFvYQmo%3d&tabid=87&mid=476&language=en-US,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/318/language/en-US/Default.aspx,Nae-Simion.Plesca@parlament.md
322,Artur Reşetnicov,Reşetnicov Artur,"",Fracțiunea Partidului Democrat din Moldova,9,http://www.parlament.md/LinkClick.aspx?fileticket=hp6gte%2bULQ0%3d&tabid=87&mid=476&language=en-US,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/322/language/en-US/Default.aspx,Artur.Resetnicov@parlament.md
323,Serghei Sîrbu,Sîrbu Serghei,"",Fracțiunea Partidului Democrat din Moldova,9,http://www.parlament.md/LinkClick.aspx?fileticket=8hBuWiakeHk%3d&tabid=87&mid=476&language=en-US,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/323/language/en-US/Default.aspx,Serghei.Sirbu@parlament.md
325,Sergiu Stati,Stati Sergiu,"",Fracțiunea Partidului Democrat din Moldova,9,http://www.parlament.md/LinkClick.aspx?fileticket=1vFVfmRYKbY%3d&tabid=87&mid=476&language=en-US,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/325/language/en-US/Default.aspx,Sergiu.Stati@parlament.md
326,Petru Ştirbate,Ştirbate Petru,"",Free fraction deputies,-1,http://www.parlament.md/LinkClick.aspx?fileticket=J487P5fpqJo%3d&tabid=87&mid=476&language=en-US,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/326/language/en-US/Default.aspx,Petru.Stirbate@parlament.md
330,Valentina Buliga,Buliga Valentina,"",Fracțiunea Partidului Democrat din Moldova,9,http://www.parlament.md/LinkClick.aspx?fileticket=xeGo2qLII3M%3d&tabid=87&mid=476&language=en-US,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/330/language/en-US/Default.aspx,
331,Vladimir Filat,Filat Vladimir,"",Fracțiunea Partidului Liberal Democrat din Moldova,11,http://www.parlament.md/LinkClick.aspx?fileticket=ExWKbJ7%2btt0%3d&tabid=87&mid=476&language=en-US,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/331/language/en-US/Default.aspx,
332,Vladimir Hotineanu,Hotineanu Vladimir,"",Free fraction deputies,-1,http://www.parlament.md/LinkClick.aspx?fileticket=ouBnNrmhyc0%3d&tabid=87&mid=476&language=en-US,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/332/language/en-US/Default.aspx,
334,Iurie Leancă,Leancă Iurie,"",Free fraction deputies,-1,http://www.parlament.md/LinkClick.aspx?fileticket=5cMIcmZ%2birI%3d&tabid=87&mid=476&language=en-US,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/334/language/en-US/Default.aspx,
335,Marcel Răducan,Răducan Marcel,"",Fracțiunea Partidului Democrat din Moldova,9,http://www.parlament.md/LinkClick.aspx?fileticket=UixYBywuBJk%3d&tabid=87&mid=476&language=en-US,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/335/language/en-US/Default.aspx,
34,Igor Dodon,Dodon Igor,"",Fracțiunea Partidului Socialiștilor din Republica Moldova,12,http://www.parlament.md/LinkClick.aspx?fileticket=j0jn5%2fflyLs%3d&tabid=87&mid=476&language=en-US,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/34/language/en-US/Default.aspx,Igor.Dodon@parlament.md
341,Simion Grişciuc,Grişciuc Simion,"",Free fraction deputies,-1,http://www.parlament.md/LinkClick.aspx?fileticket=dq%2fxm2MjEyk%3d&tabid=87&mid=476&language=en-US,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/341/language/en-US/Default.aspx,
35,Igor Vremea,Vremea Igor,"",Fracțiunea Partidului Democrat din Moldova,9,http://www.parlament.md/LinkClick.aspx?fileticket=%2bAwq8G%2bnKy0%3d&tabid=87&mid=476&language=en-US,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/35/language/en-US/Default.aspx,Igor.Vremea@parlament.md
36,Inna Şupac,Şupac Inna,"",Fracțiunea Partidului Comuniștilor din Republica Moldova,8,http://www.parlament.md/LinkClick.aspx?fileticket=7OVlFYnWjZo%3d&tabid=87&mid=476&language=en-US,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/36/language/en-US/Default.aspx,Inna.Supac@parlament.md
37,Ion Apostol,Apostol Ion,"",Fracțiunea Partidului Liberal,10,http://www.parlament.md/LinkClick.aspx?fileticket=gux%2f74ngwgo%3d&tabid=87&mid=476&language=en-US,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/37/language/en-US/Default.aspx,
38,Ion Balan,Balan Ion,"",Free fraction deputies,-1,http://www.parlament.md/LinkClick.aspx?fileticket=AyTcXDc%2bPR8%3d&tabid=87&mid=476&language=en-US,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/38/language/en-US/Default.aspx,Ion.Balan@parlament.md
46,Iurie Ţap,Ţap Iurie,"",Fracțiunea Partidului Liberal Democrat din Moldova,11,http://www.parlament.md/LinkClick.aspx?fileticket=ZEq6u99riTA%3d&tabid=87&mid=476&language=en-US,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/46/language/en-US/Default.aspx,Iurie.Tap@parlament.md
49,Liliana Palihovici,Palihovici Liliana,Deputy Chairman of the Parliament,Fracțiunea Partidului Liberal Democrat din Moldova,11,http://www.parlament.md/LinkClick.aspx?fileticket=gF8mlpQTCVs%3d&tabid=87&mid=476&language=en-US,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/49/language/en-US/Default.aspx,Alina.Bulgac@parlament.md
52,Marian Lupu,Lupu Marian,"",Fracțiunea Partidului Democrat din Moldova,9,http://www.parlament.md/LinkClick.aspx?fileticket=onyrioVN3TI%3d&tabid=87&mid=476&language=en-US,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/52/language/en-US/Default.aspx,Natalia.Rosca@parlament.md
535,Vlad Batrîncea,Batrîncea Vlad,"",Fracțiunea Partidului Socialiștilor din Republica Moldova,12,http://www.parlament.md/LinkClick.aspx?fileticket=7vyrW7aZXnM%3d&tabid=87&mid=476&language=en-US,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/535/language/en-US/Default.aspx,
537,Vasile Bolea,Bolea Vasile,"",Fracțiunea Partidului Socialiștilor din Republica Moldova,12,http://www.parlament.md/LinkClick.aspx?fileticket=9dUNU6fkzNM%3d&tabid=87&mid=476&language=en-US,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/537/language/en-US/Default.aspx,
538,Constantin Botnari,Botnari Constantin,"",Fracțiunea Partidului Democrat din Moldova,9,http://www.parlament.md/LinkClick.aspx?fileticket=Oq1RJVpOPus%3d&tabid=87&mid=476&language=en-US,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/538/language/en-US/Default.aspx,
539,Demian Caraseni,Caraseni Demian,"",Fracțiunea Partidului Democrat din Moldova,9,http://www.parlament.md/LinkClick.aspx?fileticket=sljbt4vhHTU%3d&tabid=87&mid=476&language=en-US,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/539/language/en-US/Default.aspx,
540,Lilian Carp,Carp Lilian,"",Fracțiunea Partidului Liberal,10,http://www.parlament.md/LinkClick.aspx?fileticket=P6KZDMxbMnA%3d&tabid=87&mid=476&language=en-US,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/540/language/en-US/Default.aspx,
541,Eugen Carpov,Carpov Eugen,"",Free fraction deputies,-1,http://www.parlament.md/LinkClick.aspx?fileticket=5d56vG4chZY%3d&tabid=87&mid=476&language=en-US,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/541/language/en-US/Default.aspx,Eugen.Carpov@parlament.md
544,Ştefan Creangă,Creangă Ştefan,"",Free fraction deputies,-1,http://www.parlament.md/LinkClick.aspx?fileticket=d2HNeXR3vUo%3d&tabid=87&mid=476&language=en-US,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/544/language/en-US/Default.aspx,
545,Iurie Dîrda,Dîrda Iurie,"",Fracțiunea Partidului Liberal,10,http://www.parlament.md/LinkClick.aspx?fileticket=IHpBjJvQm6A%3d&tabid=87&mid=476&language=en-US,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/545/language/en-US/Default.aspx,
546,Alla Dolinţă,Dolinţă Alla,"",Fracțiunea Partidului Socialiștilor din Republica Moldova,12,http://www.parlament.md/LinkClick.aspx?fileticket=C7xHvImmtkU%3d&tabid=87&mid=476&language=en-US,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/546/language/en-US/Default.aspx,
547,Nicolai Dudoglo,Dudoglo Nicolai,"",Fracțiunea Partidului Democrat din Moldova,9,http://www.parlament.md/LinkClick.aspx?fileticket=AFztv5b0C%2bM%3d&tabid=87&mid=476&language=en-US,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/547/language/en-US/Default.aspx,
548,Corneliu Furculiţă,Furculiţă Corneliu,"",Fracțiunea Partidului Socialiștilor din Republica Moldova,12,http://www.parlament.md/LinkClick.aspx?fileticket=E1HgncAVuP4%3d&tabid=87&mid=476&language=en-US,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/548/language/en-US/Default.aspx,
549,Fiodor Gagauz,Gagauz Fiodor,"",Fracțiunea Partidului Socialiștilor din Republica Moldova,12,http://www.parlament.md/LinkClick.aspx?fileticket=VvumSfxe%2fCY%3d&tabid=87&mid=476&language=en-US,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/549/language/en-US/Default.aspx,
551,Vladimir Golovatiuc,Golovatiuc Vladimir,"",Fracțiunea Partidului Socialiștilor din Republica Moldova,12,http://www.parlament.md/LinkClick.aspx?fileticket=na1K36uDhpY%3d&tabid=87&mid=476&language=en-US,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/551/language/en-US/Default.aspx,
552,Boris Golovin,Golovin Boris,"",Fracțiunea Partidului Democrat din Moldova,9,http://www.parlament.md/LinkClick.aspx?fileticket=ChGydPGyRLY%3d&tabid=87&mid=476&language=en-US,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/552/language/en-US/Default.aspx,
554,Elena Hrenova,Hrenova Elena,"",Fracțiunea Partidului Socialiștilor din Republica Moldova,12,http://www.parlament.md/LinkClick.aspx?fileticket=4xubjHFRmW0%3d&tabid=87&mid=476&language=en-US,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/554/language/en-US/Default.aspx,
555,Anatolie Labuneţ,Labuneţ Anatolie,"",Fracțiunea Partidului Socialiștilor din Republica Moldova,12,http://www.parlament.md/LinkClick.aspx?fileticket=c0eVRlrb8cI%3d&tabid=87&mid=476&language=en-US,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/555/language/en-US/Default.aspx,
556,Oleg Lipskii,Lipskii Oleg,"",Fracțiunea Partidului Socialiștilor din Republica Moldova,12,http://www.parlament.md/LinkClick.aspx?fileticket=owqY%2ftRUX7s%3d&tabid=87&mid=476&language=en-US,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/556/language/en-US/Default.aspx,
557,Lidia Lupu,Lupu Lidia,"",Fracțiunea Partidului Democrat din Moldova,9,http://www.parlament.md/LinkClick.aspx?fileticket=%2b7W0ennPdh0%3d&tabid=87&mid=476&language=en-US,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/557/language/en-US/Default.aspx,
558,Corneliu Mihalache,Mihalache Corneliu,"",Fracțiunea Partidului Democrat din Moldova,9,http://www.parlament.md/LinkClick.aspx?fileticket=zNJseVII7fo%3d&tabid=87&mid=476&language=en-US,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/558/language/en-US/Default.aspx,
