id,name__fr,name__en,name__ro,name,wikipedia__ro,gender,birth_date,given_name,name__nl,name__de,name__it,wikipedia__en,name__ru,name__mo,wikipedia__ru,wikipedia__commons,name__es,name__uk,wikipedia__fr,wikipedia__uk,death_date,name__pl,wikipedia__pl,image,identifier__freebase,name__az,name__tr,wikipedia__az,wikipedia__de,wikipedia__nl,wikipedia__tr,name__et,name__sv,name__cs,name__lmo,name__de_ch,name__en_ca,name__en_gb,name__lb,name__oc,name__ca,name__hu,name__fi,name__he,name__sr,name__la,name__sk,name__nb,name__da,name__nn,name__zh,name__mk,wikipedia__cs,wikipedia__da,wikipedia__es,wikipedia__et,wikipedia__fi,wikipedia__he,wikipedia__hu,wikipedia__it,wikipedia__la,wikipedia__lb,wikipedia__lmo,wikipedia__sr,wikipedia__sv,wikipedia__zh,name__el,wikipedia__el,identifier__ISNI,identifier__VIAF,identifier__NTA,name__pt,wikipedia__pt,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__gd,name__be,name__ko,name__gl,name__id,name__ja,name__sh,name__eo,name__sr_el,name__sr_ec,name__be_tarask,name__cy,name__bg,name__io,name__ka,name__lt,name__jv,name__eu,name__ar,name__lv,name__sco,wikipedia__ar,wikipedia__be_x_old,wikipedia__be,wikipedia__bg,wikipedia__ca,wikipedia__cy,wikipedia__eo,wikipedia__eu,wikipedia__gd,wikipedia__gl,wikipedia__id,wikipedia__io,wikipedia__ja,wikipedia__jv,wikipedia__ka,wikipedia__ko,wikipedia__lt,wikipedia__lv,wikipedia__mo,wikipedia__nn,wikipedia__no,wikipedia__oc,wikipedia__sco,wikipedia__sh,identifier__GND,identifier__LCAuth,identifier__SUDOC,name__pt_br,name__yo,name__vi,name__is,wikipedia__is,wikipedia__plwikiquote,wikipedia__vi,wikipedia__yo,identifier__BNF,wikipedia__nds,name__nds,original_wikiname,wikipedia__fa,name__fa,identifier__Britannica,name__ady,identifier__FAST,last_seen,wikipedia__hy,name__hy,facebook,identifier__PACE,name__af,name__an,name__ast,name__bar,name__bm,name__br,name__co,name__de_at,name__frc,name__frp,name__fur,name__ga,name__gsw,name__hr,name__ia,name__ie,name__jam,name__kab,name__kg,name__li,name__lij,name__mg,name__min,name__ms,name__nap,name__nds_nl,name__nrm,name__pap,name__pcd,name__pms,name__prg,name__rgn,name__rm,name__sc,name__scn,name__sw,name__vec,name__vls,name__vmf,name__vo,name__wa,name__wo,name__zu,occupation,wikipedia__gag,name__gag,name__xmf,wikipedia__ruwikinews,wikipedia__xmf,name__tt,wikipedia__tt,website,name__sl,name__ceb,wikipedia__uz,twitter,name__uz
Q1110215,Dorin Chirtoacă,Dorin Chirtoacă,Dorin Chirtoacă,Dorin Chirtoacă,Dorin Chirtoacă,male,1978-08-09,Dorin,Dorin Chirtoacă,Dorin Chirtoacă,,Dorin Chirtoacă,"Киртоакэ, Дорин",,"Киртоакэ, Дорин",,Dorin Chirtoacă,Дорін Кіртоаке,Dorin Chirtoacă,Дорін Кіртоаке,,Dorin Chirtoacă,Dorin Chirtoacă,https://upload.wikimedia.org/wikipedia/commons/b/b5/Dorin_Chirtoacă_elections_2009.jpg,/m/03grf_c,,,,Dorin Chirtoacă,,,,,,,,,,,,Dorin Chirtoacă,,,דורין קירטואקה,,,,,,,,,,,,,,,,,,,,,,,Ντορίν Τσιρτοακά,,,,,,,,,,,,,,,,,,ドリン・キルトアカ,,,,,,,,,,,,,,,,,,,,Dorin Chirtoacă,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dorin Chirtoacă,,,,Дорин Киртоакэ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,
Q11242850,Eugen Carpov,Eugen Carpov,Eugen Carpov,Eugen Carpov,Eugen Carpov,male,1966-04-22,Eugen,Eugen Carpov,,,Eugen Carpov,,,,,Eugen Carpov,Еуджен Карпов,Eugen Carpov,Еуджен Карпов,,,,https://upload.wikimedia.org/wikipedia/commons/a/ac/Eugen_Carpov_(2015-06-02).png,,,,,,,,,,,,,,,,,,Eugen Carpov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eugen Carpov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,diplomat,,,,,,,,,,,,,
Q12152396,,,Sergiu Stati,Sergiu Stati,Sergiu Stati,male,1961-09-07,,,,,,,,,,,Сержіу Статі,,Сержіу Статі,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sergiu Stati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12728784,,Galina Balmoș,Galina Balmoș,Galina Balmoș,Galina Balmoș,female,1961-02-24,Galina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Galina Balmoș,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12731069,Irina Vlah,Irina Vlah,Irina Vlah,Irina Vlah,Irina Vlah,female,1974-02-26,Irina,Irina Vlah,Irina Vlah,,Irina Vlah,Ирина Фёдоровна Влах,,"Влах, Ирина Фёдоровна",Category:Irina Vlah,,Ірина Влах,,Ірина Влах,,Irina Vlah,Irina Vlah,https://upload.wikimedia.org/wikipedia/commons/c/c8/Irina_Vlah_(2015-03-23).png,,İrina Vlax,İrina Vlah,İrina Vlax,Irina Vlah,Irina Vlah,İrina Vlah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,イリナ・ブラ,,,,,,,,,ირინა ვლახი,,,,,,,,,,,,,,,,,,,,,ირინა ვლახი,,,,,,,,,,,,,,,,,,,,,,,,Irina Vlah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,İrina Vlah,Irina Vlah,,,,,,,,,,,
Q12736771,,,Nicolai Dudoglo,Nicolai Dudoglo,Nicolai Dudoglo,male,1966-03-13,,,,Nicolai Dudoglo,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/7/71/Nicolai_Dudoglo_(2013-07-01)-02.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nicolai Dudoglo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,
Q12743647,,Vladimir Vitiuc,Vladimir Vitiuc,Vladimir Vitiuc,Vladimir Vitiuc,male,1972-07-18,Vladimir,,,Vladimir Vitiuc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vladimir Vitiuc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,
Q13257824,,Maria Postoico,Maria Postoico,Maria Postoico,Maria Postoico,female,1950-04-04,Maria,,,,,"Постойко, Мария",,"Постойко, Мария",,,Марія Постойко,,Марія Постойко,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maria Postoico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13428691,Vasile Botnari,Vasile Botnari,Vasile Botnari,Vasile Botnari,Vasile Botnari,male,1975-07-22,Vasile,Vasile Botnari,Vasile Botnari,,Vasile Botnari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,瓦西里·波提阿里,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vasile Botnari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,
Q15071069,Maia Sandu,Maia Sandu,Maia Sandu,Maia Sandu,Maia Sandu,female,1972-05-24,,Maia Sandu,Maia Sandu,,Maia Sandu,"Санду, Майя",,"Санду, Майя",Category:Maia Sandu,Maia Sandu,Майя Санду,Maia Sandu,Майя Санду,,Maia Sandu,Maia Sandu,https://upload.wikimedia.org/wikipedia/commons/b/b3/Maia_Sandu_(2015).png,,,,,Maia Sandu,,,Maia Sandu,Maia Sandu,,,,,,,,,Maia Sandu,,,Маја Санду,,,,,,,,,,,Maia Sandu,,,,,,,,Маја Санду,Maia Sandu,,,,,,,,,,,,,,,,Мая Санду,,,,マイア・サンドゥ,,,,,,,Майя Санду,,,,,,,,,,,Мая Санду,Майя Санду,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maia Sandu,,,,,,,Մայա Սանդու,Մայա Սանդու,maia.sandu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,economist,,,,,,,,,,,,sandumaiamd,
