id,name,position,party,term,source,email,image,sort_name,party_id
31,Brega Gheorghe,"",Fracțiunea Partidului Liberal,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/31/language/en-US/Default.aspx,Gheorghe.Brega@parlament.md,,,
542,Chirinciuc Iurie,"",Fracțiunea Partidului Liberal,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/542/language/en-US/Default.aspx,,,,
306,Dimitriu Anatolie,"",Fracțiunea Partidului Liberal Democrat din Moldova,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/306/language/en-US/Default.aspx,Anatolie.Dimitriu@parlament.md,,,
21,Fusu Corina,"",Fracțiunea Partidului Liberal,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/21/language/en-US/Default.aspx,Corina.Fusu@parlament.md,,,
597,Molozea Nicolae,"",Fracțiunea Partidului Democrat din Moldova,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/597/language/en-US/Default.aspx,,,,
87,Munteanu Valeriu,"",Fracțiunea Partidului Liberal,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/87/language/en-US/Default.aspx,valeriu.munteanu@parlament.md,,,
317,Plahotniuc Vladimir,"",Fracțiunea Partidului Democrat din Moldova,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/317/language/en-US/Default.aspx,,,,
531,Şalaru Anatolie,"",Fracțiunea Partidului Liberal,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/531/language/en-US/Default.aspx,,,,
89,Streleţ Valeriu,"",Fracțiunea Partidului Liberal Democrat din Moldova,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/89/language/en-US/Default.aspx,Alina.Druta@parlament.md,,,
389,Ion Ceban,"",Fracțiunea Partidului Socialiștilor din Republica Moldova,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/389/language/en-US/Default.aspx,Ion.Ceban@parlament.md,http://www.parlament.md/LinkClick.aspx?fileticket=wUKi85EgEv0%3d&tabid=87&mid=476&language=en-US,Ceban Ion,12
33,Igor Corman,"",Fracțiunea Partidului Democrat din Moldova,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/33/language/en-US/Default.aspx,,http://www.parlament.md/LinkClick.aspx?fileticket=M0YlN2NpGTg%3d&tabid=87&mid=476&language=en-US,Corman Igor,9
599,Mihaela Iacob,"",Fracțiunea Partidului Liberal,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/599/language/en-US/Default.aspx,,http://www.parlament.md/LinkClick.aspx?fileticket=%2ffNcM6%2bhA78%3d&tabid=87&mid=476&language=en-US,Iacob Mihaela,10
294,Angel Agache,"",Fracțiunea Partidului Liberal Democrat din Moldova,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/294/language/en-US/Default.aspx,Angel.Agache@parlament.md,http://www.parlament.md/LinkClick.aspx?fileticket=W3fwGNmQZQY%3d&tabid=87&mid=476&language=en-US,Agache Angel,11
598,Vladimir Andronachi,"",Fracțiunea Partidului Democrat din Moldova,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/598/language/en-US/Default.aspx,,http://www.parlament.md/LinkClick.aspx?fileticket=aWu5jPgKe%2fc%3d&tabid=87&mid=476&language=en-US,Andronachi Vladimir,9
297,Raisa Apolschii,"",Fracțiunea Partidului Democrat din Moldova,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/297/language/en-US/Default.aspx,Cristina.Ciolac@parlament.md,http://www.parlament.md/LinkClick.aspx?fileticket=MbZBprSfdGE%3d&tabid=87&mid=476&language=en-US,Apolschii Raisa,9
37,Ion Apostol,"",Fracțiunea Partidului Liberal,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/37/language/en-US/Default.aspx,,http://www.parlament.md/LinkClick.aspx?fileticket=gux%2f74ngwgo%3d&tabid=87&mid=476&language=en-US,Apostol Ion,10
655,Elena Bacalu,"",Fracțiunea Partidului Democrat din Moldova,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/655/language/en-US/Default.aspx,,http://www.parlament.md/LinkClick.aspx?fileticket=u7uad9l37aM%3d&tabid=87&mid=476&language=en-US,Bacalu Elena,9
38,Ion Balan,"",Fracțiunea Partidului Liberal Democrat din Moldova,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/38/language/en-US/Default.aspx,Ion.Balan@parlament.md,http://www.parlament.md/LinkClick.aspx?fileticket=AyTcXDc%2bPR8%3d&tabid=87&mid=476&language=en-US,Balan Ion,11
27,Galina Balmoş,"",Free fraction deputies,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/27/language/en-US/Default.aspx,Galina.Balmos@parlament.md,http://www.parlament.md/LinkClick.aspx?fileticket=Pq8Gg3bgbhI%3d&tabid=87&mid=476&language=en-US,Balmoş Galina,-1
298,Alexandr Bannicov,"",Free fraction deputies,2014,http://www.parlament.md/StructuraParlamentului/Deputies/tabid/87/Id/298/language/en-US/Default.aspx,Alexandr.Bannicov@parlament.md,http://www.parlament.md/LinkClick.aspx?fileticket=u%2fg3wD9WwmI%3d&tabid=87&mid=476&language=en-US,Bannicov Alexandr,-1
