id,name,sort_name,family_name,given_name,birth_date,death_date,image,source
000a129f-5449-40ed-94d2-7e21a262b0b1,Nycole TURMEL,"TURMEL, Nycole",TURMEL,Nycole,1942-09-01,,http://www.lop.parl.gc.ca/parlinfo/images/Picture.aspx?Item=99b803b3-daca-4e4c-86f0-cfc6d446eaf0,http://www.lop.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=000a129f-5449-40ed-94d2-7e21a262b0b1&Language=E
013eb624-68a5-402e-ac65-6ff6062ad8b9,Laurin LIU,"LIU, Laurin",LIU,Laurin,,,http://www.lop.parl.gc.ca/parlinfo/images/Picture.aspx?Item=aef7075e-452a-470c-87ef-cdc4b66d193c,http://www.lop.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=013eb624-68a5-402e-ac65-6ff6062ad8b9&Language=E
018915c7-12e5-4431-a4fc-1006c49d169e,Manon PERREAULT,"PERREAULT, Manon",PERREAULT,Manon,1965-12-29,,http://www.lop.parl.gc.ca/parlinfo/images/Picture.aspx?Item=763bdf3d-e327-4e8b-8ada-a1d280434a3d,http://www.lop.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=018915c7-12e5-4431-a4fc-1006c49d169e&Language=E
018915c7-12e5-4431-a4fc-1006c49d169e,Manon PERREAULT,"PERREAULT, Manon",PERREAULT,Manon,1965-12-29,,http://www.lop.parl.gc.ca/parlinfo/images/Picture.aspx?Item=763bdf3d-e327-4e8b-8ada-a1d280434a3d,http://www.lop.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=018915c7-12e5-4431-a4fc-1006c49d169e&Language=E
0218bf67-ef3a-4a8d-8ab4-0229e4fcaa54,"The Right Hon. Stephen, P.C., B.A., M.A. HARPER","HARPER, The Right Hon. Stephen, P.C., B.A., M.A.",HARPER,"The Right Hon. Stephen, P.C., B.A., M.A.",1959-04-30,,http://www.lop.parl.gc.ca/parlinfo/images/Picture.aspx?Item=e78113f9-76b8-4c56-a393-aae0b4fdc610,http://www.lop.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=0218bf67-ef3a-4a8d-8ab4-0229e4fcaa54&Language=E
0253e859-f573-4a61-8c88-0466545df2fa,"Ève, LL.B. PÉCLET","PÉCLET, Ève, LL.B.",PÉCLET,"Ève, LL.B.",1988-12-03,,http://www.lop.parl.gc.ca/parlinfo/images/Picture.aspx?Item=8e6fcc17-baba-4ad8-9937-2e9ecda27d67,http://www.lop.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=0253e859-f573-4a61-8c88-0466545df2fa&Language=E
03af66a0-6884-454e-9b46-50683413d74c,"Dany, D.C. MORIN","MORIN, Dany, D.C.",MORIN,"Dany, D.C.",1985-12-19,,http://www.lop.parl.gc.ca/parlinfo/images/Picture.aspx?Item=85ef0af3-36a3-4c60-9dca-335d1cf51992,http://www.lop.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=03af66a0-6884-454e-9b46-50683413d74c&Language=E
06f7fc82-e362-4d7e-8333-ec9b77dafdfc,"The Hon. Rob, P.C., B.B.A., LL.B. MOORE","MOORE, The Hon. Rob, P.C., B.B.A., LL.B.",MOORE,"The Hon. Rob, P.C., B.B.A., LL.B.",1974-05-14,,http://www.lop.parl.gc.ca/parlinfo/images/Picture.aspx?Item=98fef409-a2b2-4add-98d1-cf9304baefa8,http://www.lop.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=06f7fc82-e362-4d7e-8333-ec9b77dafdfc&Language=E
07e5eac1-e115-483c-bb86-972736ca953d,LaVar PAYNE,"PAYNE, LaVar",PAYNE,LaVar,1945-02-23,,http://www.lop.parl.gc.ca/parlinfo/images/Picture.aspx?Item=bea9f3c4-4087-4a8e-8e07-bc49d65a4057,http://www.lop.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=07e5eac1-e115-483c-bb86-972736ca953d&Language=E
0b9b8066-e727-478e-b825-a12571e8f726,"The Hon. Gerry, P.C., B.Sc. BYRNE","BYRNE, The Hon. Gerry, P.C., B.Sc.",BYRNE,"The Hon. Gerry, P.C., B.Sc.",1966-09-27,,http://www.lop.parl.gc.ca/parlinfo/images/Picture.aspx?Item=505a9a05-158c-46b9-9904-cef8dd1ec145,http://www.lop.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=0b9b8066-e727-478e-b825-a12571e8f726&Language=E
