name,wikiname,party,state,district,area,term,source,party_id,start_date,end_date,id
Arnold Chan,Arnold Chan,Liberal,Ontario,Scarborough—Agincourt,Ontario (Scarborough—Agincourt),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,liberal,,,arnold-chan
Arnold Viersen,Arnold Viersen,Conservative,Alberta,Peace River—Westlock,Alberta (Peace River—Westlock),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,conservative,,,arnold-viersen
Bardish Chagger,Bardish Chagger,Liberal,Ontario,Waterloo,Ontario (Waterloo),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,liberal,,,bardish-chagger
Ben Lobb,Ben Lobb,Conservative,Ontario,Huron—Bruce,Ontario (Huron—Bruce),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,conservative,,,ben-lobb
Bernadette Jordan,Bernadette Jordan,Liberal,Nova Scotia,South Shore—St. Margaret's,Nova Scotia (South Shore—St. Margaret's),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,liberal,,,bernadette-jordan
Bernard Généreux,Bernard Généreux,Conservative,Quebec,Montmagny—L'Islet—Kamouraska—Rivière-du-Loup,Quebec (Montmagny—L'Islet—Kamouraska—Rivière-du-Loup),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,conservative,,,bernard-généreux
Bev Shipley,Bev Shipley,Conservative,Ontario,Lambton—Kent—Middlesex,Ontario (Lambton—Kent—Middlesex),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,conservative,,,bev-shipley
Bill Blair,Bill Blair (police chief),Liberal,Ontario,Scarborough Southwest,Ontario (Scarborough Southwest),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,liberal,,,bill-blair
Bill Casey,Bill Casey,Liberal,Nova Scotia,Cumberland—Colchester,Nova Scotia (Cumberland—Colchester),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,liberal,,,bill-casey
Bill Morneau,Bill Morneau,Liberal,Ontario,Toronto Centre,Ontario (Toronto Centre),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,liberal,,,bill-morneau
Blaine Calkins,Blaine Calkins,Conservative,Alberta,Red Deer—Lacombe,Alberta (Red Deer—Lacombe),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,conservative,,,blaine-calkins
Blake Richards,Blake Richards,Conservative,Alberta,Banff—Airdrie,Alberta (Banff—Airdrie),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,conservative,,,blake-richards
Bob Benzen,Bob Benzen,Conservative,Alberta,Calgary Heritage,Alberta (Calgary Heritage),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,conservative,,,bob-benzen
Bob Bratina,Bob Bratina,Liberal,Ontario,Hamilton East—Stoney Creek,Ontario (Hamilton East—Stoney Creek),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,liberal,,,bob-bratina
Bob Nault,Bob Nault,Liberal,Ontario,Kenora,Ontario (Kenora),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,liberal,,,bob-nault
Bob Saroya,Bob Saroya,Conservative,Ontario,Markham—Unionville,Ontario (Markham—Unionville),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,conservative,,,bob-saroya
Bob Zimmer,Bob Zimmer,Conservative,British Columbia,Prince George—Peace River—Northern Rockies,British Columbia (Prince George—Peace River—Northern Rockies),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,conservative,,,bob-zimmer
Bobby Morrissey,Bobby Morrissey,Liberal,Prince Edward Island,Egmont,Prince Edward Island (Egmont),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,liberal,,,bobby-morrissey
Borys Wrzesnewskyj,Borys Wrzesnewskyj,Liberal,Ontario,Etobicoke Centre,Ontario (Etobicoke Centre),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,liberal,,,borys-wrzesnewskyj
Brad Trost,Brad Trost,Conservative,Saskatchewan,Saskatoon—University,Saskatchewan (Saskatoon—University),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,conservative,,,brad-trost
Brenda Shanahan,Brenda Shanahan (politician),Liberal,Quebec,Châteauguay—Lacolle,Quebec (Châteauguay—Lacolle),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,liberal,,,brenda-shanahan
Brian Masse,Brian Masse,NDP,Ontario,Windsor West,Ontario (Windsor West),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,ndp,,,brian-masse
Brigitte Sansoucy,Brigitte Sansoucy,NDP,Quebec,Saint-Hyacinthe—Bagot,Quebec (Saint-Hyacinthe—Bagot),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,ndp,,,brigitte-sansoucy
Bruce Stanton,Bruce Stanton,Conservative,Ontario,Simcoe North,Ontario (Simcoe North),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,conservative,,,bruce-stanton
Bryan May,Bryan May,Liberal,Ontario,Cambridge,Ontario (Cambridge),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,liberal,,,bryan-may
Candice Bergen,Candice Bergen (politician),Conservative,Manitoba,Portage—Lisgar,Manitoba (Portage—Lisgar),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,conservative,,,candice-bergen
Carla Qualtrough,Carla Qualtrough,Liberal,British Columbia,Delta,British Columbia (Delta),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,liberal,,,carla-qualtrough
Carol Hughes,Carol Hughes (politician),NDP,Ontario,Algoma—Manitoulin—Kapuskasing,Ontario (Algoma—Manitoulin—Kapuskasing),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,ndp,,,carol-hughes
Carolyn Bennett,Carolyn Bennett,Liberal,Ontario,Toronto—St. Paul's,Ontario (Toronto—St. Paul's),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,liberal,,,carolyn-bennett
Cathay Wagantall,Cathay Wagantall,Conservative,Saskatchewan,Yorkton—Melville,Saskatchewan (Yorkton—Melville),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,conservative,,,cathay-wagantall
Catherine McKenna,Catherine McKenna,Liberal,Ontario,Ottawa Centre,Ontario (Ottawa Centre),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,liberal,,,catherine-mckenna
Cathy McLeod,Cathy McLeod,Conservative,British Columbia,Kamloops—Thompson—Cariboo,British Columbia (Kamloops—Thompson—Cariboo),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,conservative,,,cathy-mcleod
Celina Caesar-Chavannes,Celina Caesar-Chavannes,Liberal,Ontario,Whitby,Ontario (Whitby),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,liberal,,,celina-caesar-chavannes
Chandra Arya,Chandra Arya,Liberal,Ontario,Nepean,Ontario (Nepean),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,liberal,,,chandra-arya
Charlie Angus,Charlie Angus,NDP,Ontario,Timmins—James Bay,Ontario (Timmins—James Bay),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,ndp,,,charlie-angus
Cheryl Gallant,Cheryl Gallant,Conservative,Ontario,Renfrew—Nipissing—Pembroke,Ontario (Renfrew—Nipissing—Pembroke),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,conservative,,,cheryl-gallant
Cheryl Hardcastle,Cheryl Hardcastle,NDP,Ontario,Windsor—Tecumseh,Ontario (Windsor—Tecumseh),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,ndp,,,cheryl-hardcastle
Chris Bittle,Chris Bittle,Liberal,Ontario,St. Catharines,Ontario (St. Catharines),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,liberal,,,chris-bittle
Chris Warkentin,Chris Warkentin,Conservative,Alberta,Grande Prairie—Mackenzie,Alberta (Grande Prairie—Mackenzie),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,conservative,,,chris-warkentin
Christine Moore,Christine Moore (politician),NDP,Quebec,Abitibi—Témiscamingue,Quebec (Abitibi—Témiscamingue),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,ndp,,,christine-moore
Chrystia Freeland,Chrystia Freeland,Liberal,Ontario,University—Rosedale,Ontario (University—Rosedale),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,liberal,,,chrystia-freeland
Colin Carrie,Colin Carrie,Conservative,Ontario,Oshawa,Ontario (Oshawa),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,conservative,,,colin-carrie
Colin Fraser,Colin Fraser (Canadian politician),Liberal,Nova Scotia,West Nova,Nova Scotia (West Nova),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,liberal,,,colin-fraser
Dan Albas,Dan Albas,Conservative,British Columbia,Central Okanagan—Similkameen—Nicola,British Columbia (Central Okanagan—Similkameen—Nicola),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,conservative,,,dan-albas
Dan Ruimy,Dan Ruimy,Liberal,British Columbia,Pitt Meadows—Maple Ridge,British Columbia (Pitt Meadows—Maple Ridge),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,liberal,,,dan-ruimy
Dan Vandal,Dan Vandal,Liberal,Manitoba,Saint Boniface—Saint Vital,Manitoba (Saint Boniface—Saint Vital),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,liberal,,,dan-vandal
Daniel Blaikie,Daniel Blaikie,NDP,Manitoba,Elmwood—Transcona,Manitoba (Elmwood—Transcona),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,ndp,,,daniel-blaikie
Darrell Samson,Darrell Samson,Liberal,Nova Scotia,Sackville—Preston—Chezzetcook,Nova Scotia (Sackville—Preston—Chezzetcook),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,liberal,,,darrell-samson
Darren Fisher,Darren Fisher,Liberal,Nova Scotia,Dartmouth—Cole Harbour,Nova Scotia (Dartmouth—Cole Harbour),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,liberal,,,darren-fisher
Darshan Kang,Darshan Kang,Liberal,Alberta,Calgary Skyview,Alberta (Calgary Skyview),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,liberal,,,darshan-kang
Dave MacKenzie,Dave MacKenzie (politician),Conservative,Ontario,Oxford,Ontario (Oxford),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,conservative,,,dave-mackenzie
Dave Van Kesteren,Dave Van Kesteren,Conservative,Ontario,Chatham-Kent—Leamington,Ontario (Chatham-Kent—Leamington),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,conservative,,,dave-van-kesteren
David Christopherson,David Christopherson,NDP,Ontario,Hamilton Centre,Ontario (Hamilton Centre),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,ndp,,,david-christopherson
David Graham,David Graham (politician),Liberal,Quebec,Laurentides—Labelle,Quebec (Laurentides—Labelle),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,liberal,,,david-graham
David L. Anderson,David L. Anderson,Conservative,Saskatchewan,Cypress Hills—Grasslands,Saskatchewan (Cypress Hills—Grasslands),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,conservative,,,david-l.-anderson
David Lametti,David Lametti,Liberal,Quebec,LaSalle—Émard—Verdun,Quebec (LaSalle—Émard—Verdun),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,liberal,,,david-lametti
David McGuinty,David McGuinty,Liberal,Ontario,Ottawa South,Ontario (Ottawa South),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,liberal,,,david-mcguinty
David Sweet,David Sweet,Conservative,Ontario,Flamborough—Glanbrook,Ontario (Flamborough—Glanbrook),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,conservative,,,david-sweet
David Tilson,David Tilson,Conservative,Ontario,Dufferin—Caledon,Ontario (Dufferin—Caledon),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,conservative,,,david-tilson
David Yurdiga,David Yurdiga,Conservative,Alberta,Fort McMurray—Cold Lake,Alberta (Fort McMurray—Cold Lake),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,conservative,,,david-yurdiga
Dean Allison,Dean Allison,Conservative,Ontario,Niagara West,Ontario (Niagara West),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,conservative,,,dean-allison
Deb Schulte,Deb Schulte,Liberal,Ontario,King—Vaughan,Ontario (King—Vaughan),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,liberal,,,deb-schulte
Deepak Obhrai,Deepak Obhrai,Conservative,Alberta,Calgary Forest Lawn,Alberta (Calgary Forest Lawn),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,conservative,,,deepak-obhrai
Denis Lebel,Denis Lebel,Conservative,Quebec,Lac-Saint-Jean,Quebec (Lac-Saint-Jean),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,conservative,,,denis-lebel
Denis Lemieux,Denis Lemieux,Liberal,Quebec,Chicoutimi—Le Fjord,Quebec (Chicoutimi—Le Fjord),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,liberal,,,denis-lemieux
Denis Paradis,Denis Paradis,Liberal,Quebec,Brome—Missisquoi,Quebec (Brome—Missisquoi),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,liberal,,,denis-paradis
Diane Finley,Diane Finley,Conservative,Ontario,Haldimand—Norfolk,Ontario (Haldimand—Norfolk),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,conservative,,,diane-finley
Diane Lebouthillier,Diane Lebouthillier,Liberal,Quebec,Gaspésie—Les Îles-de-la-Madeleine,Quebec (Gaspésie—Les Îles-de-la-Madeleine),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,liberal,,,diane-lebouthillier
Dianne Watts,Dianne Watts,Conservative,British Columbia,South Surrey—White Rock,British Columbia (South Surrey—White Rock),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,conservative,,,dianne-watts
Dominic LeBlanc,Dominic LeBlanc,Liberal,New Brunswick,Beauséjour,New Brunswick (Beauséjour),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,liberal,,,dominic-leblanc
Don Davies,Don Davies,NDP,British Columbia,Vancouver Kingsway,British Columbia (Vancouver Kingsway),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,ndp,,,don-davies
Don Rusnak,Don Rusnak,Liberal,Ontario,Thunder Bay—Rainy River,Ontario (Thunder Bay—Rainy River),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,liberal,,,don-rusnak
Doug Eyolfson,Doug Eyolfson,Liberal,Manitoba,Charleswood—St. James—Assiniboia—Headingley,Manitoba (Charleswood—St. James—Assiniboia—Headingley),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,liberal,,,doug-eyolfson
Earl Dreeshen,Earl Dreeshen,Conservative,Alberta,Red Deer—Mountain View,Alberta (Red Deer—Mountain View),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,conservative,,,earl-dreeshen
Ed Fast,Ed Fast,Conservative,British Columbia,Abbotsford,British Columbia (Abbotsford),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,conservative,,,ed-fast
Elizabeth May,Elizabeth May,Green,British Columbia,Saanich—Gulf Islands,British Columbia (Saanich—Gulf Islands),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,green_party,,,elizabeth-may
Emmanuel Dubourg,Emmanuel Dubourg,Liberal,Quebec,Bourassa,Quebec (Bourassa),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,liberal,,,emmanuel-dubourg
Emmanuella Lambropoulos,Emmanuella Lambropoulos,Liberal,Quebec,Saint-Laurent,Quebec (Saint-Laurent),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,liberal,,,emmanuella-lambropoulos
Erin O'Toole,Erin O'Toole,Conservative,Ontario,Durham,Ontario (Durham),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,conservative,,,erin-o'toole
Erin Weir,Erin Weir,NDP,Saskatchewan,Regina—Lewvan,Saskatchewan (Regina—Lewvan),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,ndp,,,erin-weir
Eva Nassif,Eva Nassif,Liberal,Quebec,Vimy,Quebec (Vimy),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,liberal,,,eva-nassif
Fayçal El-Khoury,Fayçal El-Khoury,Liberal,Quebec,Laval—Les Îles,Quebec (Laval—Les Îles),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,liberal,,,fayçal-el-khoury
Filomena Tassi,Filomena Tassi,Liberal,Ontario,Hamilton West—Ancaster—Dundas,Ontario (Hamilton West—Ancaster—Dundas),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,liberal,,,filomena-tassi
Fin Donnelly,Fin Donnelly,NDP,British Columbia,Port Moody—Coquitlam,British Columbia (Port Moody—Coquitlam),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,ndp,,,fin-donnelly
Francesco Sorbara,Francesco Sorbara,Liberal,Ontario,Vaughan—Woodbridge,Ontario (Vaughan—Woodbridge),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,liberal,,,francesco-sorbara
Francis Drouin,Francis Drouin,Liberal,Ontario,Glengarry—Prescott—Russell,Ontario (Glengarry—Prescott—Russell),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,liberal,,,francis-drouin
Francis Scarpaleggia,Francis Scarpaleggia,Liberal,Quebec,Lac-Saint-Louis,Quebec (Lac-Saint-Louis),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,liberal,,,francis-scarpaleggia
Frank Baylis,Frank Baylis,Liberal,Quebec,Pierrefonds—Dollard,Quebec (Pierrefonds—Dollard),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,liberal,,,frank-baylis
François Choquette,François Choquette,NDP,Quebec,Drummond,Quebec (Drummond),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,ndp,,,françois-choquette
François-Philippe Champagne,François-Philippe Champagne,Liberal,Quebec,Saint-Maurice—Champlain,Quebec (Saint-Maurice—Champlain),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,liberal,,,françois-philippe-champagne
Gabriel Ste-Marie,Gabriel Ste-Marie,Bloc Québécois,Quebec,Joliette,Quebec (Joliette),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,bloc_québécois,,,gabriel-ste-marie
Gagan Sikand,Gagan Sikand,Liberal,Ontario,Mississauga—Streetsville,Ontario (Mississauga—Streetsville),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,liberal,,,gagan-sikand
Garnett Genuis,Garnett Genuis,Conservative,Alberta,Sherwood Park—Fort Saskatchewan,Alberta (Sherwood Park—Fort Saskatchewan),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,conservative,,,garnett-genuis
Gary Anandasangaree,Gary Anandasangaree,Liberal,Ontario,Scarborough—Rouge Park,Ontario (Scarborough—Rouge Park),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,liberal,,,gary-anandasangaree
Geng Tan,Geng Tan,Liberal,Ontario,Don Valley North,Ontario (Don Valley North),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,liberal,,,geng-tan
Geoff Regan,Geoff Regan,Liberal,Nova Scotia,Halifax West,Nova Scotia (Halifax West),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,liberal,,,geoff-regan
Georgina Jolibois,Georgina Jolibois,NDP,Saskatchewan,Desnethé—Missinippi—Churchill River,Saskatchewan (Desnethé—Missinippi—Churchill River),42,https://en.wikipedia.org/wiki/List_of_House_members_of_the_42nd_Parliament_of_Canada,ndp,,,georgina-jolibois
