id,name__de,name__fr,name__sh,name__en,name__nl,name__es,name__it,name__nb,name__da,name__nn,name__sv,name__hu,name__zh_hant,name__zh_cn,name__ja,name,wikipedia__de,wikipedia__en,wikipedia__fr,wikipedia__sh,gender,occupation,birth_date,death_date,identifier__freebase,given_name,original_wikiname,name__mg,name__pl,wikipedia__mg,wikipedia__pl,image,identifier__VIAF,identifier__LCAuth,identifier__OLID,identifier__FAST,name__ru,name__fa,name__ca,name__cy,name__pt,wikipedia__simple,name__zh,name__el,name__tr,name__bs,name__uk,wikipedia__bs,wikipedia__el,wikipedia__es,wikipedia__ru,wikipedia__sv,wikipedia__tr,wikipedia__uk,wikipedia__zh,wikipedia__pt,wikipedia__ja,identifier__UScongress,name__fi,wikipedia__fi,wikipedia__no,family_name,wikipedia__commons,wikipedia__it,identifier__NNDB,identifier__FEC,facebook,identifier__opensecrets,name__nds,name__en_ca,name__en_gb,website,name__lb,identifier__votesmart,identifier__snac,name__ar,wikipedia__ar,twitter,identifier__youtube,name__pt_br,name__cs,name__ro,name__rm,name__et,name__sk,name__sl
Q1567016,Carl T. C. Gutierrez,Carl T. C. Gutierrez,Carl T.C. Gutierrez,Carl T.C. Gutierrez,Carl T.C. Gutierrez,Carl T.C. Gutierrez,Carl T.C. Gutierrez,,,,,Carl T.C. Gutierrez,卡爾·古鐵雷斯,卡尔·古铁雷斯,カール・T・C・グティエレス,Carl T.C. Gutierrez,Carl T. C. Gutierrez,Carl Gutierrez,Carl Gutierrez,Carl T.C. Gutierrez,male,politician,1941-10-15,,/m/080whw,Carl,Carl Gutierrez,,,,,https://upload.wikimedia.org/wikipedia/commons/c/c5/Madeleine_Bordallo_and_Carl_T.C._Gutierrez.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,Carl T. C. Gutierrez,Carl T. C. Gutierrez,,,,,,,,,,,,,Carl T.C. Gutierrez,,,,,,,,,,,,,
Q15993363,Tony Palomo,Tony Palomo,,Tony Palomo,Tony Palomo,Tony Palomo,Tony Palomo,,,,,,,,,Tony Palomo,,Tony Palomo,,,male,journalist,1931-06-13,2013-02-01,,Tony,Tony Palomo,,,,,,55290623,,,,,,Tony Palomo,Tony Palomo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15993590,Jim Underwood,Jim Underwood,,Jim Underwood,Jim Underwood,Jim Underwood,,,,,,,,,,Jim Underwood,,Jim Underwood (Guam politician),,,male,politician,1946,2013-07-24,,Jim,Jim Underwood (Guam politician),,,,,,,,,,,جیم آندروود,Jim Underwood,Jim Underwood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16221559,Michael San Nicolas,Michael San Nicolas,,Michael San Nicolas,Michael San Nicolas,Michael San Nicolas,Michael San Nicolas,,,,,,,,,Michael San Nicolas,,Michael San Nicolas,,,male,politician,1981-01-30,,/m/0wy0mjt,Michael,Michael San Nicolas,,,,,https://upload.wikimedia.org/wikipedia/commons/c/ce/Michael_F.Q._San_Nicolas.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1711085,Judith T. Won Pat,Judith T. Won Pat,,Judith T. Won Pat,Judith T.P. Won Pat,Judith T. Won Pat,,,,,,,,,,Judith T. Won Pat,Judith T. Won Pat,Judith Won Pat,,,female,politician,"",,/m/011qdpzl,Judith,Judith Won Pat,,,,,,,,,,,,,,,,朱迪思·萬·帕特,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Judith T. Won Pat,,,,,,,,,,,,,
Q17328848,Ben Pangelinan,Ben Pangelinan,,Ben Pangelinan,Ben Pangelinan,Ben Pangelinan,,,,,,,,,,Ben Pangelinan,,Ben Pangelinan,,,male,politician,1956-06-09,2014-07-08,/m/0114mlks,Ben,Ben Pangelinan,,,,,,,,,,,,Ben Pangelinan,Ben Pangelinan,,Ben Pangelinan,,,,,,,,,,,,,,,,,Ben Pangelinan,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q18148836,Angel Santos,Angel Santos,,Angel Santos,Angel Santos,Angel Santos,Angel Santos,,,,,,,,,Angel Santos,,Angel Santos,,,male,politician,1959-04-14,2003-07-06,/m/011x3gx2,Angel,Angel Santos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Angel Santos,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q182504,Felix Perez Camacho,Felix Perez Camacho,Felix Perez Camacho,Felix Perez Camacho,Felix Perez Camacho,Félix Pérez Camacho,Felix Perez Camacho,Felix Perez Camacho,Felix Perez Camacho,Felix Perez Camacho,Felix Camacho,Félix Pérez Camacho,菲力克斯·佩雷斯·卡馬喬,菲力克斯·佩雷斯·卡马乔,フェリクス・ペレス・カマチョ,Felix Perez Camacho,Felix Perez Camacho,Felix Perez Camacho,Felix Perez Camacho,Felix Perez Camacho,male,politician,1957-10-30,,/m/041mk0,Felix,Felix Perez Camacho,,Felix Perez Camacho,,Felix Perez Camacho,https://upload.wikimedia.org/wikipedia/commons/2/2f/Guam_Governor_Felix_Camacho.jpg,170951295,,,,,,,,Felix Perez Camacho,,,Φελίξ Καμάτσο,,,,,Φελίξ Καμάτσο,Félix Pérez Camacho,,Felix Camacho,,,,Felix Perez Camacho,フェリクス・ペレス・カマチョ,,Felix Perez Camacho,Felix Perez Camacho,Felix Perez Camacho,,,,364/000044232,,,,,,,,Felix Perez Camacho,,,,,,,,,,,,,
Q19414290,Franklin Quitugua,Franklin Quitugua,,Franklin Quitugua,Franklin Quitugua,Franklin Quitugua,,,,,,,,,,Franklin Quitugua,,Franklin Quitugua,,,male,politician,1933-11-06,2015-02-26,,Franklin,Franklin Quitugua,,,,,https://upload.wikimedia.org/wikipedia/commons/8/82/Franklin_Quitugua1.jpg,,,,,,,Franklin Quitugua,Franklin Quitugua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q19865906,,,,Elizabeth Barrett-Anderson,Elizabeth Barrett-Anderson,,,,,,,,,,,Elizabeth Barrett-Anderson,,Elizabeth Barrett-Anderson,,,female,lawyer,1953-07-21,,,Elizabeth,Elizabeth Barrett-Anderson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anderson,,,,,,,,,,,,,,,,,,,,,,,,
