id,name__lb,name__en,name__de,name__fr,name__nds,name__nl,name,wikipedia__lb,gender,birth_date,given_name,original_wikiname,name__it,wikipedia__nl,name__nb,name__da,name__nn,name__sv,wikipedia__de,image,identifier__VIAF,identifier__BNF,name__es,name__hu,identifier__GND,family_name,wikipedia__en,wikipedia__fr,identifier__SUDOC,name__pl,name__ca,name__zh,wikipedia__ca,wikipedia__es,wikipedia__pl,wikipedia__zh,identifier__freebase,name__az,wikipedia__az,wikipedia__commons,wikipedia__it,name__cs,wikipedia__cs,name__ru,name__uk,wikipedia__ru,wikipedia__uk,name__af,name__an,name__ast,name__bar,name__br,name__co,name__cy,name__de_at,name__de_ch,name__en_ca,name__en_gb,name__eo,name__et,name__eu,name__fi,name__frp,name__fur,name__ga,name__gd,name__gl,name__gsw,name__hr,name__ia,name__id,name__ie,name__io,name__is,name__kg,name__li,name__lij,name__mg,name__min,name__ms,name__nap,name__nds_nl,name__nrm,name__oc,name__pcd,name__pms,name__pt,name__pt_br,name__rm,name__ro,name__sc,name__scn,name__sco,name__sk,name__sl,name__sr_el,name__sw,name__vec,name__vi,name__vls,name__vo,name__wa,name__wo,name__zu,identifier__PACE,wikipedia__no,website,name__zh_cn,name__he,name__el,name__la,name__tr,name__ko,name__ja,name__fa,name__ar,wikipedia__ar,wikipedia__ast,wikipedia__el,wikipedia__et,wikipedia__fa,wikipedia__fi,wikipedia__he,wikipedia__hu,wikipedia__id,wikipedia__io,wikipedia__ja,wikipedia__ko,wikipedia__la,wikipedia__plwikiquote,wikipedia__pt,wikipedia__ro,wikipedia__sv,wikipedia__tr,wikipedia__vi,identifier__parlement,twitter,identifier__LCAuth,identifier__EuroparlMEP,name__be,name__yo,name__sr,name__be_tarask,name__sah,name__mr,name__bg,name__ka,name__lt,name__lmo,name__pam,name__lv,name__ta,name__mk,wikipedia__af,wikipedia__be_x_old,wikipedia__be,wikipedia__bg,wikipedia__bgwikiquote,wikipedia__br,wikipedia__cswikiquote,wikipedia__da,wikipedia__dewikinews,wikipedia__dewikiquote,wikipedia__enwikiquote,wikipedia__eo,wikipedia__eu,wikipedia__frwikinews,wikipedia__frwikiquote,wikipedia__gl,wikipedia__ie,wikipedia__itwikiquote,wikipedia__ka,wikipedia__lmo,wikipedia__lt,wikipedia__lv,wikipedia__mr,wikipedia__ms,wikipedia__nds,wikipedia__nn,wikipedia__oc,wikipedia__pam,wikipedia__sah,wikipedia__sco,wikipedia__simple,wikipedia__sk,wikipedia__sl,wikipedia__sr,wikipedia__ta,wikipedia__ukwikiquote,wikipedia__vec,wikipedia__yo,identifier__ISNI,identifier__NTA,identifier__Munzinger,identifier__GNC,identifier__FAST,identifier__Britannica,identifier__GTAA,wikipedia__hsb,name__hsb,wikipedia__eswikiquote,wikipedia__fawikiquote,wikipedia__hr,occupation,wikipedia__rowikinews,identifier__IMDB,wikipedia__ga,wikipedia__fiwikiquote,identifier__quora,wikipedia__ruwikinews,identifier__ne_se,name__hy,wikipedia__hy,identifier__ioc_athlete,name__hi,identifier__whoswho_france,facebook,weblog,linkedin,pseudonym,wikipedia__tl,name__tl,wikipedia__nlwikinews,name__bm,name__frc,name__jam,name__kab,name__pap,name__prg,name__rgn,name__vmf,instagram,wikipedia__is,identifier__NLI,identifier__youtube,wikipedia__uz,death_date,name__uz,wikipedia__enwikisource
Q12155944,Martine Hansen,Martine Hansen,Martine Hansen,Martine Hansen,,Martine Hansen,Martine Hansen,Martine Hansen,female,1965-12-10,Martine,Martine Hansen,Martine Hansen,,,,,,,,,,,,,Hansen,,Martine Hansen,,Martine Hansen,,,,,Martine Hansen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13101525,André Bauler,André Bauler,André Bauler,André Bauler,,André Bauler,André Bauler,André Bauler,male,1964-02-05,André,André Bauler,André Bauler,,,,,André Bauler,,,305287015,,André Bauler,,,Bauler,,André Bauler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,andre_bauler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13102261,Dan Kersch,Dan Kersch,Dan Kersch,Dan Kersch,,Daniel Kersch,Dan Kersch,Dan Kersch,male,1961-12-27,Dan,Dan Kersch,,,,,,,Dan Kersch,https://upload.wikimedia.org/wikipedia/commons/c/c3/DanKersch_2015.jpg,,,,,,Kersch,,Dan Kersch,,Dan Kersch,,,,,Dan Kersch,,,,,Category:Dan Kersch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dan_kersch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,dan.kersch,,,,,,,,,,,,,,,,,,,,,,
Q13102284,David Wagner,David Wagner,David Wagner,David Wagner,,David Wagner,David Wagner,David Wagner (Politiker),male,1979-03-03,David,David Wagner (Politiker),,,,,,,,,,,David Wagner,,,Wagner,,David Wagner (homme politique),,,,,,,,,,,,,,,,Дэвид Вагнер,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.david-wagner.lu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,darugani2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,david.wagner.5439,,,,,,,,,,,,,,,,,,,,,,
Q13102331,Diane Adehm,Diane Adehm,Diane Adehm,Diane Adehm,,Diane Adehm,Diane Adehm,Diane Adehm,female,1970-09-13,Diane,Diane Adehm,Diane Adehm,,,,,,,,,,Diane Adehm,,,,,Diane Adehm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DianeAdehm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,diane.adehm,,,,,,,,,,,,,,,,,,,,,,
Q13102779,Georges Engel,Georges Engel,Georges Engel,Georges Engel,,Georges Engel,Georges Engel,Georges Engel,male,1968-09-07,Georges,Georges Engel,Georges Engel,,,,,Georges Engel,,"https://upload.wikimedia.org/wikipedia/commons/8/8d/Georges_Engel,_Pos_Stolperstee_Siegmund_Koppel.jpg",,,Georges Engel,Georges Engel,,Engel,,Georges Engel,,,,,,,,,,,,Category:Georges Engel,,,,Жорж Энгель,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,georges_engel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,georges.engel.9,,,,,,,,,,,,,,,georges.engel,,,,,,,
Q13102837,Gilles Roth,Gilles Roth,Gilles Roth,Gilles Roth,,Gilles Roth,Gilles Roth,Gilles Roth,male,1967-03-01,Gilles,Gilles Roth,Gilles Roth,,,,,,,,,,,,,Roth,,Gilles Roth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RothGilles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,gilles.roth.5,,,,,,,,,,,,,,,,,,,,,,
Q13102905,Guy Arendt,Guy Arendt,Guy Arendt,Guy Arendt,,Guy Arendt,Guy Arendt,Guy Arendt,male,1954-04-13,Guy,Guy Arendt,Guy Arendt,,,,,Guy Arendt,,"https://upload.wikimedia.org/wikipedia/commons/c/ca/Guy_Arendt,_Concert_en_mémoire_des_victimes_de_la_Shoah-102.jpg",58648716,,Guy Arendt,,,Arendt,,Guy Arendt,,,,,,,,,,,,Category:Guy Arendt,,,,Гай Арендт,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Guy_Arendt,no93003325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,guy.arendt.1,,,,,,,,,,,,,,,,,002190311,,,,,
Q13103001,Henri Kox,Henri Kox,Henri Kox,Henri Kox,Henri Kox,Henri Kox,Henri Kox,Henri Kox,male,1961-05-07,Henri,Henri Kox,,,,,,,Henri Kox,https://upload.wikimedia.org/wikipedia/commons/7/78/HANDSHAKE_-_BRATISLAVA_INFORMAL_PARLIAMENTARY_SUMMIT_2016-10-07_(30082374961)_cropped_Kox.jpg,,,,,,,,Henri Kox,,,,,,,,,,,,Category:Henri Kox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,henri.kox,,,,,,,,,,,,,,,,,,,,,,
Q13103716,Laurent Zeimet,Laurent Zeimet,Laurent Zeimet,Laurent Zeimet,,Laurent Zeimet,Laurent Zeimet,Laurent Zeimet,male,1974-10-12,Laurent,Laurent Zeimet,Laurent Zeimet,,,,,,,,,,,,,Zeimet,,Laurent Zeimet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LaurentZeimet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,laurent.zeimet,,,,,,,,,,,,,,,,,,,,,,
Q13103872,Léon Gloden,Léon Gloden,Léon Gloden,Léon Gloden,,Léon Gloden,Léon Gloden,Léon Gloden,male,1972-12-09,Léon,Léon Gloden,,,,,,,,,,,,,,Gloden,,Léon Gloden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LeonGloden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,leon.gloden,,,,,,,,,,,,,,,,,,,,,,
Q13104062,Martine Mergen,Martine Mergen,,Martine Mergen,,Martine Mergen,Martine Mergen,Martine Mergen,female,1956-08-30,Martine,Martine Mergen,Martine Mergen,,,,,,,"https://upload.wikimedia.org/wikipedia/commons/4/4c/Journée_de_la_commémoration_nationale_2016,_Martine_Mergen-101.jpg",,,,,,Mergen,,Martine Mergen,,,,,,,,,,,,Category:Martine Mergen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
