id,name__en,name__de,name__fr,name,wikipedia__en,gender,birth_date,given_name,original_wikiname,name__sr,name__sh,name__hr,name__en_ca,name__en_gb,name__ru,name__nl,name__pt,name__nb,name__da,name__nn,name__sv,name__cy,name__gl,wikipedia__hr,wikipedia__pt,wikipedia__ru,wikipedia__sh,wikipedia__sr,death_date,identifier__Munzinger,name__sl,name__bg,name__el,name__sr_el,name__sr_ec,name__es,name__mk,wikipedia__bg,wikipedia__commons,wikipedia__de,wikipedia__el,wikipedia__es,wikipedia__fr,wikipedia__mk,wikipedia__sl,image,identifier__ISNI,identifier__VIAF,identifier__GND,identifier__LCAuth,identifier__BNF,identifier__SUDOC,identifier__freebase,identifier__FAST,family_name,name__it,name__hu,wikipedia__it,name__pl,name__bs,name__uk,wikipedia__bs,wikipedia__no,wikipedia__pl,wikipedia__sv,wikipedia__uk,name__cs,name__ie,wikipedia__cs,wikipedia__ie,name__sq,wikipedia__nl,wikipedia__sq,name__fa,wikipedia__fa,name__ka,wikipedia__bswikiquote,wikipedia__da,wikipedia__ka,wikipedia__srwikiquote,name__az,wikipedia__az,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__eu,name__ml,name__sk,name__tr,name__ro,name__ca,name__fi,name__lmo,name__lt,name__zh,name__id,name__ja,name__vi,name__sco,wikipedia__ca,wikipedia__elwikiquote,wikipedia__eu,wikipedia__fi,wikipedia__hu,wikipedia__id,wikipedia__ja,wikipedia__lmo,wikipedia__lt,wikipedia__ml,wikipedia__plwikiquote,wikipedia__ro,wikipedia__sco,wikipedia__sk,wikipedia__tr,wikipedia__vi,wikipedia__zh,identifier__NDL,identifier__SBN_it,identifier__NLA,identifier__OLID,identifier__NKC,identifier__SELIBR,identifier__NLI,identifier__BNE,identifier__PTBNP,identifier__NTA,identifier__BAV,identifier__NUKAT,identifier__CANTIC,identifier__NLAtrove,name__ko,name__he,name__yo,name__oc,name__ms,name__et,name__br,name__ar,name__eo,name__io,name__de_ch,name__pt_br,name__be,name__la,name__lv,wikipedia__ar,wikipedia__be,wikipedia__br,wikipedia__enwikisource,wikipedia__eo,wikipedia__et,wikipedia__gl,wikipedia__he,wikipedia__io,wikipedia__ko,wikipedia__la,wikipedia__lv,wikipedia__ms,wikipedia__nn,wikipedia__oc,wikipedia__simple,wikipedia__yo,identifier__GNC,identifier__GTAA,name__kk,name__lb,name__qu,wikipedia__kk,wikipedia__lb,wikipedia__qu,wikipedia__ruwikinews,wikipedia__ptwikiquote,identifier__PACE,wikipedia__hsb,name__hsb,identifier__bigenc_ru,wikipedia__hy,name__hy,occupation,wikipedia__itwikiquote,identifier__nlg
Q11790414,Nebojša Medojević,,,Nebojša Medojević,Nebojša Medojević,male,1966-06-13,Nebojša,Nebojša Medojević,,,,,,,Nebojša Medojević,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nebojša Medojević,,,,,Nebojša Medojević,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1254583,Dragan Kujović,Dragan Kujović,Dragan Kujović,Dragan Kujović,Dragan Kujović,male,1940,Dragan,Dragan Kujović,,,,,,"Куйович, Драган",Dragan Kujović,,,,,,Dragan Kujović,,,,"Куйович, Драган",,,2010-04-30,,,,,,,,,,,Dragan Kujović,,,,,,https://upload.wikimedia.org/wikipedia/commons/f/fe/PC085975a.jpg,,,,,,,/m/06zn7ch,,,,,,,,Драган Куйович,,,,,Драган Куйович,,,,,,,,,,,,,,,,,,德拉甘·庫約維奇,,德拉甘·库约维奇,,,,,,,,,,,,,,ドラガン・クヨヴィッチ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,
Q12638601,Novak Kilibarda,,,Novak Kilibarda,Novak Kilibarda,male,,Novak,Novak Kilibarda,,,Novak Kilibarda,,,,,,,,,,,,Novak Kilibarda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Novak Kilibarda,,,,,,,,,,,,,,,,,Novak Kilibarda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12644807,Vladimir Barović,,,Vladimir Barović,Vladimir Barović,male,1939-11-07,Vladimir,Vladimir Barović,,Vladimir Barović,Vladimir Barović,,,,,,,,,,,,Vladimir Barović,,,Vladimir Barović,,1991-09-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12750037,Vuko Vukadinović,,Vuko Vukadinović,Vuko Vukadinović,Vuko Vukadinović,male,1937-08-11,,Vuko Vukadinović,Вуко Вукадиновић,,,,,,,,,,,,,,,,,,Вуко Вукадиновић,1993-11-03,,,,,,,,,,,,,,,,,,,,,,,,,,Vukadinović,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,political commissar,,
Q153909,Milovan Đilas,Milovan Đilas,Milovan Djilas,Milovan Đilas,Milovan Djilas,male,1911-06-12,Milovan,Milovan Djilas,Милован Ђилас,Milovan Đilas,Milovan Đilas,,,"Джилас, Милован",Milovan Đilas,Milovan Đilas,Milovan Đilas,,,Milovan Đilas,,,Milovan Đilas,Milovan Đilas,"Джилас, Милован",Milovan Đilas,Милован Ђилас,1995-04-20,,Milovan Đilas,Милован Джилас,Μίλοβαν Τζίλας,Milovan Đilas,Милован Ђилас,Milovan Đilas,Милован Ѓилас,Милован Джилас,Category:Milovan Đilas,Milovan Đilas,Μίλοβαν Τζίλας,Milovan Đilas,Milovan Djilas,Милован Ѓилас,Milovan Đilas,"https://upload.wikimedia.org/wikipedia/commons/c/cf/Stevan_Kragujevic,_Milovan_Djilas,1950.JPG",0000 0000 8163 0215,89623727,118526111,n80070707,119001991,026832259,/m/038s73,56042,Đilas,Milovan Gilas,Milovan Đilas,Milovan Gilas,Milovan Đilas,,Мілован Джилас,,Milovan Đilas,Milovan Đilas,Milovan Đilas,Мілован Джилас,Milovan Djilas,,Milovan Djilas,,Milovan Djilas,Milovan Đilas,Milovan Djilas,,میلوان جیلاس,მილოვან ჯილასი,,,მილოვან ჯილასი,Милован Ђилас,,,密洛凡·德热拉斯,密洛凡·德熱拉斯,密洛凡·德熱拉斯,密洛凡·德热拉斯,密洛凡·德热拉斯,密洛凡·德熱拉斯,Milovan Djilas,മിലോവൻ ജിലാസ്,Milovan Đilas,Milovan Đilas,Milovan Đilas,Milovan Djilas,Milovan Ðilas,Milovan Ðilas,Milovanas Džilasas,密洛凡·德热拉斯,Milovan Djilas,ミロヴァン・ジラス,Milovan Djilas,Milovan Đilas,Milovan Đilas,Μίλοβαν Τζίλας,Milovan Djilas,Milovan Ðilas,Milovan Đilas,Milovan Djilas,ミロヴァン・ジラス,Milovan Ðilas,Milovanas Džilasas,മിലോവൻ ജിലാസ്,Milovan Đilas,Milovan Đilas,Milovan Đilas,Milovan Đilas,Milovan Đilas,Milovan Djilas,米洛凡·吉拉斯,00437923,IT\ICCU\CFIV\075684,35038307,OL253736A,jn20000601348,104327,000039882,XX1068730,189300,068444028,ADV10226838,n96021206,a11184437,808609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Milovan Đilas,,,,1952493,,,politician,,
Q15634453,Ammar Borančić,Ammar Borančić,,Ammar Borančić,Ammar Borančić,male,1993-11-22,,Ammar Borančić,Амар Боранчић,,Ammar Borančić,,,,Ammar Borančić,,,,,,,,,,,,Амар Боранчић,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/b/b8/Ammarborancic.jpg,,,,,,,,,,,,,,Ammar Borančić,,Ammar Borančić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,spokesperson,,
Q16081086,Miroslav Vicković,,,Miroslav Vicković,Miroslav Vicković,male,,,Miroslav Vicković,Miroslav Vicković,,,,,,,,,,,,,,,,,,Miroslav Vicković,2004-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1748394,Vlado Dapčević,,,Vlado Dapčević,Vlado Dapčević,male,1917-06-14,Vlado,Vlado Dapčević,Владо Дапчевић,Vlado Dapčević,Vlado Dapčević,,,,Vlado Dapčević,,,,,,Vlado Dapčević,,Vlado Dapčević,,,Vlado Dapčević,Владо Дапчевић,2001-07-12,,,,,Vlado Dapčević,Владо Дапчевић,Vlado Dapčević,,,,,,,,,,,,50948218,,n96014757,,,/m/07sn01,369431,,Vlado Dapčević,Vlado Dapčević,Vlado Dapčević,,,,,,,,,,,,,Vlado Dapçeviq,,Vlado Dapçeviq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,
Q200305,Milo Đukanović,Milo Đukanović,Milo Đukanović,Milo Đukanović,Milo Đukanović,male,1962-02-15,Milo,Milo Đukanović,Мило Ђукановић,Milo Đukanović,Milo Đukanović,Milo Đukanović,Milo Đukanović,"Джуканович, Мило",Milo Đukanović,Milo Đukanović,Milo Đukanović,Milo Đukanović,Milo Đukanović,Milo Đukanović,,Milo Đukanović,Milo Đukanović,Milo Đukanović,"Джуканович, Мило",Milo Đukanović,Мило Ђукановић,,,,Мило Джуканович,Μίλο Τζουκάνοβιτς,Milo Đukanović,Мило Ђукановић,Milo Đukanović,Мило Ѓукановиќ,Мило Джуканович,Milo Đukanović,Milo Đukanović,Μίλο Τζουκάνοβιτς,Milo Đukanović,Milo Đukanović,Мило Ѓукановиќ,,https://upload.wikimedia.org/wikipedia/commons/b/b7/Milo_Đukanović.jpg,0000 0001 1494 7340,85595328,121239926,no98123697,,,/m/02hnkl,425683,Đukanović,Milo Đukanović,Milo Đukanović,Milo Đukanović,Milo Đukanović,Milo Đukanović,Міло Джуканович,Milo Đukanović,Milo Đukanović,Milo Đukanović,Milo Đukanović,Міло Джуканович,Milo Đukanović,Milo Đukanović,Milo Đukanović,Milo Đukanović,Milo Gjukanoviq,Milo Đukanović,Milo Gjukanoviç,میلو جوکانوویچ,میلو جوکانوویچ,მილო ჯუკანოვიჩი,Milo Đukanović,,მილო ჯუკანოვიჩი,Мило Ђукановић,,,米洛·久卡诺维奇,米洛·久卡諾維奇,米洛·久卡諾維奇,米洛·久卡诺维奇,米洛·久卡诺维奇,米洛·久卡諾維奇,,,,Milo Cukanoviç,,Milo Đukanović,Milo Đukanović,Milo Đukanović,Milas Džiukanovičius,米洛·久卡諾維奇,Milo Đukanović,ミロ・ジュカノヴィチ,Milo Đukanović,,Milo Đukanović,,,Milo Đukanović,,Milo Đukanović,ミロ・ジュカノヴィチ,Milo Đukanović,Milas Džiukanovičius,,Milo Đukanović,,,,Milo Đukanović,Milo Đukanović,米洛·久卡諾維奇,,,,,xx0046776,,,,,,,,,,밀로 주카노비치,מילו ג'וקאנוביץ',Milo Đukanović,Milo Đukanović,Milo Đukanović,Milo Đukanović,Milo Đukanović,ميلو دوكانوفيتش,Milo Đukanović,Milo Ðukanović,Milo Đukanović,Milo Đukanović,Міла Джуканавіч,Milo Đukanović,Milo Džukanovičs,ميلو دوكانوفيتش,Міла Джуканавіч,Milo Đukanović,Author:Milo Đukanović,Milo Đukanović,Milo Đukanović,Milo Đukanović,מילו ג'וקאנוביץ',Milo Ðukanović,밀로 주카노비치,Milo Đukanović,Milo Džukanovičs,Milo Đukanović,Milo Đukanović,Milo Đukanović,Milo Đukanović,Milo Đukanović,0243127,93979,,,,,,,,,,Milo Đukanović,Milo Đukanović,1953371,,,politician,Milo Đukanović,
