id,name,party,area,circ,email,image,gender,term,source
785,Abel Atahualpa Martínez Durán,PLD,Santiago,1,"",http://www.camaradediputados.gob.do/serve/renderimage.aspx?x=80&y=90&cz=5&m=0&i=785&f=lists_images,male,2010,http://www.camaradediputados.gob.do/app/app_2011/cd_diputados_new.aspx?gen=Masculino
2042,Adalberto Esteban Rosa Hernández,PLD,Santiago,3,mailto:a.rosa@camaradediputados.gob.do,http://www.camaradediputados.gob.do/serve/renderimage.aspx?x=80&y=90&cz=5&m=0&i=2042&f=lists_images,male,2010,http://www.camaradediputados.gob.do/app/app_2011/cd_diputados_new.aspx?gen=Masculino
678,Albert Elías Atallah Lajan,PRD,Distrito Nacional,1,mailto:A.ATALLAH@CAMARADEDIPUTADOS.GOB.DO,http://www.camaradediputados.gob.do/serve/renderimage.aspx?x=80&y=90&cz=5&m=0&i=678&f=lists_images,male,2010,http://www.camaradediputados.gob.do/app/app_2011/cd_diputados_new.aspx?gen=Masculino
819,Alfredo Martínez,PLD,Santo Domingo,3,mailto:a.martinez@camaradediputados.gob.do ,http://www.camaradediputados.gob.do/serve/renderimage.aspx?x=80&y=90&cz=5&m=0&i=819&f=lists_images,male,2010,http://www.camaradediputados.gob.do/app/app_2011/cd_diputados_new.aspx?gen=Masculino
2040,Angel Esteban Ramírez Taveras,PLD,Nacional,"",mailto:a.ramirez@camaradediputados.gob.do,http://www.camaradediputados.gob.do/serve/renderimage.aspx?x=80&y=90&cz=5&m=0&i=2040&f=lists_images,male,2010,http://www.camaradediputados.gob.do/app/app_2011/cd_diputados_new.aspx?gen=Masculino
823,Aníbal Rosario Ramírez,PRD,Santo Domingo,3,mailto:a.rosario@camaradediputados.gob.do ,http://www.camaradediputados.gob.do/serve/renderimage.aspx?x=80&y=90&cz=5&m=0&i=823&f=lists_images,male,2010,http://www.camaradediputados.gob.do/app/app_2011/cd_diputados_new.aspx?gen=Masculino
697,Aquiles Leonel Ledesma Alcántara,PRD,Barahona,"",mailto:A.LEDESMA@CAMARADEDIPUTADOS.GOV.DO,http://www.camaradediputados.gob.do/serve/renderimage.aspx?x=80&y=90&cz=5&m=0&i=697&f=lists_images,male,2010,http://www.camaradediputados.gob.do/app/app_2011/cd_diputados_new.aspx?gen=Masculino
3220,Aurelio Agustín Mercedes Moscat,PRD,De dominicanos en el exterior,3,mailto:a.mercedes@camaradediputados.gob.do,http://www.camaradediputados.gob.do/serve/renderimage.aspx?x=80&y=90&cz=5&m=0&i=3220&f=lists_images,male,2010,http://www.camaradediputados.gob.do/app/app_2011/cd_diputados_new.aspx?gen=Masculino
2075,Carlos Borromeo Terrero Reyes,PRD,Santiago,1,mailto:c.terrero@camaradediputados.gob.do,http://www.camaradediputados.gob.do/serve/renderimage.aspx?x=80&y=90&cz=5&m=0&i=2075&f=lists_images,male,2010,http://www.camaradediputados.gob.do/app/app_2011/cd_diputados_new.aspx?gen=Masculino
2069,Carlos Gabriel García Candelario,PRD,Nacional,"",mailto:cg.garcia@camaradediputados.gob.do,http://www.camaradediputados.gob.do/serve/renderimage.aspx?x=80&y=90&cz=5&m=0&i=2069&f=lists_images,male,2010,http://www.camaradediputados.gob.do/app/app_2011/cd_diputados_new.aspx?gen=Masculino
2065,Cristian Encarnación,PRD,Santo Domingo,5,mailto:c.encarnacion@camaradediputados.gob.do ,http://www.camaradediputados.gob.do/serve/renderimage.aspx?x=80&y=90&cz=5&m=0&i=2065&f=lists_images,male,2010,http://www.camaradediputados.gob.do/app/app_2011/cd_diputados_new.aspx?gen=Masculino
669,Cristian Paredes Aponte,PRD,Sánchez Ramírez,"",mailto:c.paredes@camaradediputados.gob.do,http://www.camaradediputados.gob.do/serve/renderimage.aspx?x=80&y=90&cz=5&m=0&i=669&f=lists_images,male,2010,http://www.camaradediputados.gob.do/app/app_2011/cd_diputados_new.aspx?gen=Masculino
2076,Elpidio Infante Galán,PRD,La Vega,1,mailto:e.infante@camaradediputados.gob.do ,http://www.camaradediputados.gob.do/serve/renderimage.aspx?x=80&y=90&cz=5&m=0&i=2076&f=lists_images,male,2010,http://www.camaradediputados.gob.do/app/app_2011/cd_diputados_new.aspx?gen=Masculino
726,Eugenio Cedeño Areché,PRD,La Romana,"",mailto:e.cedeno@camaradediputados.gob.do,http://www.camaradediputados.gob.do/serve/renderimage.aspx?x=80&y=90&cz=5&m=0&i=726&f=lists_images,male,2010,http://www.camaradediputados.gob.do/app/app_2011/cd_diputados_new.aspx?gen=Masculino
2079,Eugenio María Méndez Ramírez,PRD,Bahoruco,"",mailto:e.mendez@camaradediputados.gob.do ,http://www.camaradediputados.gob.do/serve/renderimage.aspx?x=80&y=90&cz=5&m=0&i=2079&f=lists_images,male,2010,http://www.camaradediputados.gob.do/app/app_2011/cd_diputados_new.aspx?gen=Masculino
2081,Fabio Ernesto Vargas Matos,PRD,Barahona,"",mailto:F.VARGAS@camaradediputados.gob.do,http://www.camaradediputados.gob.do/serve/renderimage.aspx?x=80&y=90&cz=5&m=0&i=2081&f=lists_images,male,2010,http://www.camaradediputados.gob.do/app/app_2011/cd_diputados_new.aspx?gen=Masculino
2008,Francisco Javier Clark Vásquez,PLD,Puerto Plata,1,mailto:f.clark@camaradediputados.gob.do ,http://www.camaradediputados.gob.do/serve/renderimage.aspx?x=80&y=90&cz=5&m=0&i=2008&f=lists_images,male,2010,http://www.camaradediputados.gob.do/app/app_2011/cd_diputados_new.aspx?gen=Masculino
2134,Frank Alberto Soto Roa,PLD,Santo Domingo,4,mailto:f.soto@camaradediputados.gob.do,http://www.camaradediputados.gob.do/serve/renderimage.aspx?x=80&y=90&cz=5&m=0&i=2134&f=lists_images,male,2010,http://www.camaradediputados.gob.do/app/app_2011/cd_diputados_new.aspx?gen=Masculino
727,Guillermo Radhamés Ramos García,PRD,La Vega,1,mailto:r.garcia@camaradediputados.gob.do ,http://www.camaradediputados.gob.do/serve/renderimage.aspx?x=80&y=90&cz=5&m=0&i=727&f=lists_images,male,2010,http://www.camaradediputados.gob.do/app/app_2011/cd_diputados_new.aspx?gen=Masculino
729,Hugo Rafael Núñez Almonte,PRD,La Vega,1,mailto:h.nunez@camaradediputados.gob.do,http://www.camaradediputados.gob.do/serve/renderimage.aspx?x=80&y=90&cz=5&m=0&i=729&f=lists_images,male,2010,http://www.camaradediputados.gob.do/app/app_2011/cd_diputados_new.aspx?gen=Masculino
2083,Hugo Tolentino Dipp,PRD,Nacional,"",mailto:h.tolentino@camaradediputados.gob.do,http://www.camaradediputados.gob.do/serve/renderimage.aspx?x=80&y=90&cz=5&m=0&i=2083&f=lists_images,male,2010,http://www.camaradediputados.gob.do/app/app_2011/cd_diputados_new.aspx?gen=Masculino
818,Jorge Frías,PRD,Santo Domingo,2,mailto:j.frias@camaradediputados.gob.do,http://www.camaradediputados.gob.do/serve/renderimage.aspx?x=80&y=90&cz=5&m=0&i=818&f=lists_images,male,2010,http://www.camaradediputados.gob.do/app/app_2011/cd_diputados_new.aspx?gen=Masculino
