id,name__es,name__en,name__de,name__fr,name__cy,name__nl,name,wikipedia__en,wikipedia__es,gender,birth_date,death_date,given_name,original_wikiname,name__hu,image,identifier__VIAF,name__pt,name__ja,wikipedia__nl,wikipedia__pt,identifier__freebase,name__nb,name__da,name__nn,name__sv,name__ar,wikipedia__ar,wikipedia__de,identifier__britishmuseum,identifier__FAST,name__eu,name__hr,name__it,name__pl,name__ru,name__sl,name__war,name__bn,name__qu,name__ga,name__zh,name__ca,name__uk,wikipedia__bn,wikipedia__ca,wikipedia__commons,wikipedia__eswikiquote,wikipedia__eu,wikipedia__fr,wikipedia__ga,wikipedia__hr,wikipedia__it,wikipedia__pl,wikipedia__qu,wikipedia__ru,wikipedia__sl,wikipedia__uk,wikipedia__war,wikipedia__zh,identifier__ISNI,identifier__GND,identifier__LCAuth,identifier__BNF,identifier__SUDOC,identifier__OLID,family_name,identifier__BNE,identifier__GNC,second_surname,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__ko,name__gl,name__id,name__io,name__mr,name__an,name__hy,wikipedia__an,wikipedia__cy,wikipedia__da,wikipedia__gl,wikipedia__hy,wikipedia__id,wikipedia__io,wikipedia__ja,wikipedia__ko,wikipedia__mr,wikipedia__no,wikipedia__plwikiquote,wikipedia__simple,wikipedia__sv,identifier__NTA,identifier__CANTIC,identifier__Britannica,name__fi,wikipedia__fi,facebook,name__et,name__ast,name__mg,name__eo,name__oc,name__tr,wikipedia__ast,wikipedia__eo,wikipedia__et,wikipedia__mg,wikipedia__oc,wikipedia__tr,twitter,website,identifier__catholic_hierarchy,identifier__MusicBrainz,name__nds,name__en_ca,name__en_gb,name__la,wikipedia__la,name__yo,wikipedia__yo,name__lb,name__he,name__el,name__pap,name__sr_el,name__sr_ec,name__bg,name__ka,name__ksh,name__pt_br,name__sr,name__be,name__fa,wikipedia__be,wikipedia__bg,wikipedia__el,wikipedia__fa,wikipedia__he,wikipedia__ka,wikipedia__ksh,wikipedia__lb,wikipedia__pap,wikipedia__sr,identifier__NNDB,identifier__CSPAN,identifier__NLI,name__ms,name__cs,wikipedia__cs,wikipedia__ms,name__mk,wikipedia__mk,identifier__Munzinger,identifier__N6I,identifier__BVMC,identifier__bigenc_ru,name__az,wikipedia__az,name__bs,name__br,name__vi,name__sk,name__ro,name__fy,name__lt,name__de_ch,name__ml,name__sh,wikipedia__br,wikipedia__bs,wikipedia__cswikiquote,wikipedia__fy,wikipedia__hu,wikipedia__lt,wikipedia__ml,wikipedia__ro,wikipedia__sh,wikipedia__sk,wikipedia__vi,identifier__NDL,identifier__IMDB,name__af,name__bar,name__bm,name__co,name__de_at,name__frc,name__frp,name__fur,name__gd,name__gsw,name__ia,name__ie,name__jam,name__kab,name__kg,name__li,name__lij,name__lv,name__min,name__nap,name__nds_nl,name__nrm,name__pcd,name__pms,name__prg,name__rgn,name__rm,name__sc,name__scn,name__sco,name__sw,name__vec,name__vls,name__vmf,name__vo,name__wa,name__wo,name__zu,wikipedia__eswikisource,occupation,identifier__google_knowledge,identifier__snac,wikipedia__eswikinews,identifier__quora,identifier__GTAA,wikipedia__sco,identifier__wikitree,wikipedia__mwl,name__mwl,identifier__ne_se,identifier__songkick,identifier__bna,linkedin,identifier__google_plus,identifier__ORCID,identifier__google_scholar,identifier__youtube,name__ceb,name__ty,identifier__BIBSYS,identifier__BAV,identifier__discogs,identifier__SELIBR,identifier__PTBNP,instagram,wikipedia__uz,name__uz
Q1152434,Raúl Mondesí,Raul Mondesi,Raul Mondesi,Raúl Mondesí,,Raúl Mondesí,Raul Mondesi,Raúl Mondesí,Raúl Mondesí,male,1971-03-12,,Raúl,Raúl Mondesí,,https://upload.wikimedia.org/wikipedia/commons/9/99/Raul_Mondesi_1998.jpg,,,ラウル・モンデシー,,,/m/043gpt,Raúl Mondesí,Raúl Mondesí,Raúl Mondesí,Raúl Mondesí,,,,,,,,Raúl Mondesí,,,Raúl Mondesí,,,,,勞爾摩帝,,,,,,,,Raúl Mondesí,,,Raúl Mondesí,,,,,,,,,,,,,,,,,,,,,,,,라울 몬데시,,,,,,,,,,,,,,ラウル・モンデシー,라울 몬데시,,,,Raul Mondesi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,baseball player,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q116200,Pedro Antonio Pimentel,Pedro Antonio Pimentel,Antonio Pimentel,Pedro Antonio Pimentel,,Pedro Antonio Pimentel,Pedro Antonio Pimentel,Pedro Antonio Pimentel,Pedro Antonio Pimentel,male,1830,1874,Pedro Antonio,Pedro Antonio Pimentel,Pedro Antonio Pimentel,https://upload.wikimedia.org/wikipedia/commons/b/bb/Pedro_antonio_pimentel.gif,,,ペドロ・アントニオ・ピメンテル,Pedro Antonio Pimentel,,/m/0b773wk,Pedro Antonio Pimentel,Pedro Antonio Pimentel,Pedro Antonio Pimentel,Pedro Antonio Pimentel,بيدرو أنطونيو بيمنتل,بيدرو أنطونيو بيمنتل,Antonio Pimentel,,,,,,Pedro Antonio Pimentel,"Пиментель, Педро Антонио",Pedro Antonio Pimentel,,,,,,,Педро Антоніо Піментель,,,,,,,,,,Pedro Antonio Pimentel,,"Пиментель, Педро Антонио",,Педро Антоніо Піментель,,,,,,,,,Pimentel,,,Chamorro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11690584,Manuel Cáceres,Manuel Altagracia Cáceres,Manuel Altagracia Cáceres,Manuel Cáceres,,Manuel Altagracia Cáceres,Manuel Altagracia Cáceres,Manuel Altagracia Cáceres,Manuel Cáceres,male,1838,1879,Manuel,Manuel Cáceres,Manuel Cáceres,https://upload.wikimedia.org/wikipedia/commons/d/d8/Manuel_Altagracia_Cáceres.jpg,,,マヌエル・アルタグラシア・カセレス,Manuel Altagracia Cáceres,,,,,,,,,,,,,,,,,Manuel Cáceres,,,,,,,Мануель Альтаграсія Касерес,,,,,,Manuel Cáceres,,,,,,,,Мануель Альтаграсія Касерес,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11976472,Héctor Manuel Valdez Albizu,Héctor Valdez Albizu,Héctor Valdez Albizu,Héctor Valdez Albizu,,,Héctor Valdez Albizu,Héctor Valdez Albizu,Héctor Valdez Albizu,male,1947-11-10,,Héctor,Héctor Valdez Albizu,,https://upload.wikimedia.org/wikipedia/commons/2/22/HMBA-BCRD-G.jpg,,,,,,,Héctor Valdez Albizu,,,,,,,,,,,,,,Héctor Valdez Albizu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Héctor Valdez Albizu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,economist,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1349488,Porfirio Rubirosa,Porfirio Rubirosa,Porfirio Rubirosa,Porfirio Rubirosa,,Porfirio Rubirosa,Porfirio Rubirosa,Porfirio Rubirosa,Porfirio Rubirosa,male,1909-01-22,1965-07-05,Porfirio,Porfirio Rubirosa,,https://upload.wikimedia.org/wikipedia/commons/1/11/Porfirio_Rubirosa.jpg,5732686,Porfirio Rubirosa,ポルフィリオ・ルビロサ,Porfirio Rubirosa,Porfirio Rubirosa,/m/034rs7,Porfirio Rubirosa,Porfirio Rubirosa,Porfirio Rubirosa,Porfirio Rubirosa,,,Porfirio Rubirosa,,79893,,,Porfirio Rubirosa,Porfirio Rubirosa,"Рубироса, Порфирио",Porfirio Rubirosa,,,,,,Porfirio Rubirosa,,,Porfirio Rubirosa,Category:Porfirio Rubirosa,Porfirio Rubirosa,,Porfirio Rubirosa,,,Porfirio Rubirosa,Porfirio Rubirosa,,"Рубироса, Порфирио",,,,,0000 0000 2402 9749,119059045,n81111486,,,,,,,,,,,,,,,,,,,,,,,,,,,,ポルフィリオ・ルビロサ,,,,Porfirio Rubirosa,,Porfirio Rubirosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Πορφίριο Ρουμπιρόσα,,,,,,,,,,,,,Πορφύριο Ρουμπιρόζα,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nm2238390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,diplomat,,w62z2555,,Porfirio-Rubirosa-1,148539,,Rubirosa-1,,,,,,,,,,,,,,,,,,,,
Q147989,Joaquín Balaguer,Joaquín Balaguer,Joaquín Balaguer,Joaquín Balaguer Ricardo,Joaquín Antonio Balaguer Ricardo,Joaquín Balaguer,Joaquín Balaguer,Joaquín Balaguer,Joaquín Balaguer,male,1906-09-01,2002-07-14,Joaquín Antonio,Joaquín Balaguer,,https://upload.wikimedia.org/wikipedia/commons/0/0b/Joaquin_Balaguer_1977.jpg,29556203,Joaquín Balaguer,ホアキン・バラゲール,Joaquín Balaguer,Joaquín Balaguer,/m/0gtr0,Joaquín Balaguer,Joaquín Balaguer,Joaquín Balaguer,Joaquín Balaguer,خواكين بالاغوار,خواكين بالاغوار,Joaquín Balaguer,,103428,Joaquín Balaguer,Joaquín Balaguer,Joaquín Balaguer,Joaquín Balaguer,Хоакин Балагер,Joaquín Balaguer,,,Joaquín Balaguer,,华金·巴拉格尔,,Хоакін Балагер,,,Category:Joaquín Balaguer,Joaquín Balaguer,Joaquín Balaguer,Joaquín Balaguer Ricardo,,Joaquín Balaguer,Joaquín Balaguer,Joaquín Balaguer,Joaquín Balaguer,"Балагер, Хоакин",,Хоакін Балагер,,华金·巴拉格尔,0000 0000 6631 0862,133715167,n82165628,120644509,028905768,OL4618605A,Balaguer,XX839856,0006888,Ricardo,华金·巴拉格尔,華金·巴拉格爾,華金·巴拉格爾,华金·巴拉格尔,华金·巴拉格尔,華金·巴拉格爾,호아킨 발라게르,Joaquín Balaguer,Joaquín Balaguer,Joaquín Balaguer,होआकिन बॅलाग्वेर,Joaquín Balaguer,Խոակին Բալագեր,Joaquín Balaguer,Joaquín Antonio Balaguer Ricardo,Joaquín Balaguer,Joaquín Balaguer,Խոակին Բալագեր,Joaquín Balaguer,Joaquín Balaguer,ホアキン・バラゲール,호아킨 발라게르,होआकिन बॅलाग्वेर,Joaquín Balaguer,Joaquín Balaguer,Joaquín Balaguer,Joaquín Balaguer,072643005,a11531228,biography/Joaquin-Balaguer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1846872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,poet,,w62s2jb7,,,79377,,,,,,,,,,,,,,,14036520,ADV10294069,,,955684,,,
Q1496510,Jacinto Bienvenido Peynado,Jacinto Peynado,Jacinto Bienvenido Peynado,Jacinto Bienvenido Peynado,,Jacinto Bienvenido Peynado,Jacinto Peynado,Jacinto Peynado,Jacinto Peynado,male,1878-02-15,1940-03-07,Jacinto,Jacinto Peynado,Jacinto Bienvenido Peynado,https://upload.wikimedia.org/wikipedia/commons/3/30/Jacinto_Bienvenido_peynado.gif,,,ハシント・ビエンベニード・ペイナード,,,/m/05z_psb,Jacinto Bienvenido Peynado,Jacinto Bienvenido Peynado,Jacinto Bienvenido Peynado,Jacinto Bienvenido Peynado,,,Jacinto Bienvenido Peynado,,,,,,Jacinto Bienvenido Peynado,"Пейнадо, Хасинто",Jacinto Bienvenido Peynado,,,,,,,Хасінто Пейнадо,,,,,,,,,,Jacinto Bienvenido Peynado,,"Пейнадо, Хасинто",,Хасінто Пейнадо,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q151944,Leonel Fernández,Leonel Fernández,Leonel Fernández,Leonel Fernández,,Leonel Fernández,Leonel Fernández,Leonel Fernández,Leonel Fernández,male,1940-12-26,,Leonel,Leonel Fernández,Leonel Fernández,https://upload.wikimedia.org/wikipedia/commons/1/11/Leonelfernandez20062007.jpg,76338835,Leonel Fernández,レオネル・フェルナンデス,Leonel Fernández,Leonel Fernández,/m/02_vvc,Leonel Fernández,Leonel Fernández,Leonel Fernández,Leonel Fernández,ليونيل فرناندز,ليونيل فرناندز,Leonel Fernández,,149995,Leonel Fernández,Leonel Fernández,Leonel Fernández,Leonel Fernández,Леонель Фернандес,Leonel Fernández,,,Leonel Fernández,Leonel Fernández,莱昂内尔·费尔南德斯,Leonel Fernández Reyna,Леонель Фернандес Рейна,,Leonel Fernández Reyna,Category:Leonel Fernández,,Leonel Fernández,Leonel Fernández,Leonel Fernández,Leonel Fernández,Leonel Fernández,Leonel Fernández,Leonel Fernández,"Фернандес, Леонель",,Леонель Фернандес Рейна,,莱昂内尔·费尔南德斯,0000 0000 2778 9794,1056513497,n85018620,120657611,117409197,,Fernández,,,,莱昂内尔·费尔南德斯,萊昂內爾·費爾南德斯,萊昂內爾·費爾南德斯,莱昂内尔·费尔南德斯,莱昂内尔·费尔南德斯,萊昂內爾·費爾南德斯,레오넬 페르난데스,Leonel Fernández,Leonel Fernández,,,,,,,Leonel Fernández,Leonel Fernández,,Leonel Fernández,,レオネル・フェルナンデス,레오넬 페르난데스,,Leonel Fernández,,,Leonel Fernández,297167855,a11687666,biography/Leonel-Fernandez-Reyna,Leonel Fernández,Leonel Fernández,,Leonel Fernández Reyna,,,Leonel Fernández,,Leonel Fernández,,Leonel Fernández,Leonel Fernández Reyna,,,Leonel Fernández,LeonelFernandez,http://www.leonelfernandez.com,,,,Leonel Fernández,Leonel Fernández,,,Leonel Fernández,Leonel Fernández,Leonel Fernández,לאונל פרננדס,Λεονέλ Φερνάντες,Leonel Fernández,Leonel Fernandez,Леонел Фернандез,Леонел Фернандес,ლეონელ ფერნანდესი,Leonel Fernández,Leonel Fernández,Леонел Фернандез,Леанель Фернандэс,لئونل فرناندز,Леанель Фернандэс,Леонел Фернандес,Λεονέλ Φερνάντες,لئونل فرناندز,לאונל פרננדס,ლეონელ ფერნანდესი,Leonel Fernández,Leonel Fernández,Leonel Fernández,Леонел Фернандез,857/000162371,leonelreyna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,Categoría:Leonel Fernández,,,,,,,,,,,,,,,,,,,,,,,,
Q152474,Rafael Leónidas Trujillo,Rafael Leonidas Trujillo,Rafael Leónidas Trujillo Molina,Rafael Leónidas Trujillo Molina,,Rafael Trujillo,Rafael Leonidas Trujillo,Rafael Trujillo,Rafael Leónidas Trujillo,male,1891-10-24,1961-05-30,Rafael,Rafael Leónidas Trujillo,Rafael Trujillo Molina,https://upload.wikimedia.org/wikipedia/commons/2/2c/Trujillo_1952.jpg,71420894,Rafael Leónidas Trujillo,ラファエル・トルヒーヨ,Rafael Trujillo,Rafael Trujillo,/m/015pyn,Rafael Leonidas Trujillo,Rafael Leónidas Trujillo,,Rafael Trujillo,رافائيل تروخيو,رافائيل تروخيو,Rafael Leónidas Trujillo Molina,,17561,Rafael Leónidas Trujillo,Rafael Leónidas Trujillo,Rafael Leónidas Trujillo,Rafael Leonidas Trujillo,Рафаэль Трухильо,Rafael Trujillo,,,Rafael Trujillo,Rafael Trujillo,拉斐尔·特鲁希略,Rafael Leónidas Trujillo Molina,Рафаель Трухільйо,,Rafael Leónidas Trujillo Molina,,Rafael Leónidas Trujillo,Rafael Leónidas Trujillo,Rafael Leónidas Trujillo Molina,Rafael Trujillo,Rafael Leónidas Trujillo,Rafael Leónidas Trujillo,Rafael Leónidas Trujillo,Rafael Trujillo,"Трухильо, Рафаэль",Rafael Trujillo,Рафаель Трухільйо,,拉斐尔·特鲁希略,0000 0001 2321 013X,118761021,n50051801,12105463t,029424437,OL2176399A,Trujillo,XX1141557,0067782,Molina,拉斐尔·特鲁希略,拉斐爾·特魯希略,拉斐爾·特魯希略,拉斐尔·特鲁希略,拉斐尔·特鲁希略,拉斐爾·特魯希略,라파엘 트루히요,Rafael Leónidas Trujillo,Rafael Trujillo,,रफायेल मोलिना-त्रुहियो,,,,,Rafael Leónidas Trujillo,Rafael Leónidas Trujillo,,Rafael Trujillo,,ラファエル・トルヒーヨ,라파엘 트루히요,रफायेल त्रुहियो,Rafael Leonidas Trujillo,Rafael Leónidas Trujillo,,Rafael Trujillo,071376763,a10361716,biography/Rafael-Trujillo,Rafael Leónidas Trujillo,Rafael Leónidas Trujillo,,,,,Rafael Trujillo,,Rafael Trujillo,,Rafael Trujillo,,,,Rafael Trujillo,,,,,,Rafael Trujillo,Rafael Trujillo,Raphael Trujillo,Raphael Trujillo,,,,רפאל טרוחיו,Ραφαέλ Τρουχίγιο,,Rafael Leonidas Truhiljo,Рафаел Леонидас Трухиљо,Рафаел Леонидас Трухильо,რაფაელ ლეონიდას ტრუხილიო,,Rafael Leónidas Trujillo,Рафаел Леонидас Трухиљо,,رافائل لئونیداس تروخیو,,Рафаел Леонидас Трухильо,,رافائل لئونیداس تروخیو,רפאל טרוחיו,რაფაელ ლეონიდას ტრუხილიო,,,,Рафаел Леонидас Трухиљо,439/000111106,,000604573,,Rafael Trujillo,Rafael Trujillo,,,,,vtls000408551,,4218254,,,Rafael Leónidas Trujillo,Rafael Leónidas Trujillo,Rafael Trujillo,Rafael Trujillo,Rafael Trujillo,Rafael Leónidas Trujillo,Rafael Trujillo,Rafael Leónidas Trujillo Molina,റാഫേൽ ത്രൂഹീയോ,Rafael Leónidas Trujillo,Rafael Leónidas Trujillo,Rafael Leónidas Trujillo,Rafael Trujillo,Rafael Leónidas Trujillo,Rafael Trujillo Molina,Rafael Trujillo,റാഫേൽ ത്രൂഹീയോ,Rafael Leónidas Trujillo,Rafael Leónidas Trujillo,Rafael Trujillo,Rafael Trujillo,00621576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rafael Trujillo,,,,,,,,,,politician,,w64f1nrn,,,,Rafael Trujillo,,,,rafael-trujillo,,,,,,,,,,,,,387355,,,,
Q16297386,Carlos Amarante Baret,Carlos Amarante Baret,,Carlos Amarante Baret,,,Carlos Amarante Baret,,Carlos Amarante Baret,male,1960,,Carlos,Carlos Amarante Baret,Carlos Amarante Baret,,,,,,,,,,,,,,,,,,,Carlos Amarante Baret,,,Carlos Amarante Baret,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,
