id,name__de,name__hr,name__it,name__pt,name__fr,name__sv,name__en,name__es,name__nl,name,wikipedia__en,gender,original_wikiname,given_name,name__uk,name__ru,name__ja,name__zh,wikipedia__ru,wikipedia__sv,wikipedia__uk,wikipedia__zh,birth_date,death_date,name__cy,wikipedia__pt,occupation,identifier__freebase,name__dz,wikipedia__ja,identifier__VIAF,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__pl,name__ko,name__ms,name__et,name__id,name__nb,name__hu,name__sq,wikipedia__de,wikipedia__et,wikipedia__fr,wikipedia__id,wikipedia__it,wikipedia__ko,wikipedia__ms,wikipedia__no,wikipedia__pl,wikipedia__sq,image,name__el,wikipedia__el,wikipedia__es,name__fa,wikipedia__fa,name__en_ca,name__en_gb,name__bn,name__tl,name__tr,name__nov,name__pih,name__sco,name__hi,name__ml,name__fi,name__sr,name__mr,name__ne,name__th,name__vi,name__da,name__nn,name__la,name__pt_br,wikipedia__bn,wikipedia__fi,wikipedia__hi,wikipedia__la,wikipedia__ml,wikipedia__mr,wikipedia__ne,wikipedia__simple,wikipedia__sr,wikipedia__th,wikipedia__tl,wikipedia__tr,wikipedia__vi,identifier__IMDB,twitter,facebook,name__yo,name__ar,name__wuu,name__ka,name__ca,name__oc,wikipedia__ar,wikipedia__commons,wikipedia__da,wikipedia__dz,wikipedia__ka,wikipedia__nl,wikipedia__nn,wikipedia__yo,name__qu,wikipedia__qu,wikipedia__ca,name__mk,name__he,wikipedia__he,website,name__ur,wikipedia__ur,family_name
Q15952612,Pema Gyamtsho,,,,,,Pema Gyamtsho,,Pema Gyamtsho,Pema Gyamtsho,Pema Gyamtsho,male,Pema Gyamtsho,,,,ペマ・ギャムツォ,,,,,,1961,,,,politician,,,ペマ・ギャムツォ,72132189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,پیما گیامتشو,پیما گیامتشو,
Q16196076,Choida Jamtsho,,,,Choida Jamtsho,,Choida Jamtsho,,Choida Jamtsho,Choida Jamtsho,Choida Jamtsho,male,Choida Jamtsho,,,Чойда Джамцо,,,Чойда Джамцо,,,,1965-03-17,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20676499,,,,,,,Zangley Dukpa,,Zangley Dukpa,Zangley Dukpa,Zangley Dukpa,male,Zangley Dukpa,Zangley,,,,,,,,,1950-02-02,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/c/c3/Dr_Zangley_Dukpa_2012.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Zangley Dukpa (born 1950),,,,,,,,,,,,,,,,Dukpa
Q20676510,,,,,,,Dupthob,,Dupthob,Dupthob,Dupthob,male,Dupthob,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20677125,,,,,,,Rinzin Jamtsho,,Rinzin Jamtsho,Rinzin Jamtsho,Rinzin Jamtsho,male,Rinzin Jamtsho,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20983456,,,,,,,Wangdi Norbu,,Wangdi Norbu,Wangdi Norbu,Wangdi Norbu,male,Wangdi Norbu,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q21063382,,,,,,,Karma Rangdol,,Karma Rangdol,Karma Rangdol,Karma Rangdol,male,Karma Rangdol,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q21063383,,,,,,,Ugyen Wangdi,,Ugyen Wangdi,Ugyen Wangdi,Ugyen Wangdi,male,Ugyen Wangdi,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q21063384,,,,,,,Dechen Zangmo,,Dechen Zangmo,Dechen Zangmo,Dechen Zangmo,female,Dechen Zangmo,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q21063385,,,,,,,Kinga Tshering,,Kinga Tshering,Kinga Tshering,Kinga Tshering,male,Kinga Tshering,Kinga,,,,,,,,,1966-12-20,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q21063386,,,,,,,Nidup Zangpo,,Nidup Zangpo,Nidup Zangpo,Nidup Zangpo,male,Nidup Zangpo,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q21063387,,,,,,,Dorji Wangdi,,Dorji Wangdi,Dorji Wangdi,Dorji Wangdi,male,Dorji Wangdi,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q21934258,Jigme Wangchuk,Jigme Wangchuk,Jigme Wangchuk,Jigme Wangchuk,Jigme Wangchuk,Jigme Wangchuk,Jigme Wangchuk,Jigme Wangchuk,Jigme Wangchuk,Jigme Wangchuk,Jigme Wangchuk,male,Jigme Wangchuk,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q374296,Sangay Ngedup,,Sangay Ngedup,Sangay Ngedup,Sangay Ngedup,Sangay Ngedup,Sangay Ngedup,Sangay Ngedup,Sangay Ngedup,Sangay Ngedup,Sangay Ngedup,male,Sangay Ngedup,,Сангай Нгедуп,"Нгедуп, Сангай",サンゲ・ゲドゥプ,桑格·乃杜,"Нгедуп, Сангай",Sangay Ngedup,Сангай Нгедуп,桑格·乃杜,1953-07-01,,,Sangay Ngedup,politician,/m/07j__h,སངས་རྒྱས་དངོས་གྲུབ།,サンゲ・ゲドゥプ,,桑格·乃杜,桑格·乃杜,桑格·乃杜,桑格·乃杜,桑格·乃杜,桑格·乃杜,Sangay Ngedup,상가이 응게두프,Sangay Ngedup,Sangay Ngedup,Sangay Ngedup,Sangay Ngedup,Sangay Ngedup,Lyonpo Sangay Ngedup,Sangay Ngedup,Sangay Ngedup,Sangay Ngedup,Sangay Ngedup,Sangay Ngedup,상가이 응게두프,Sangay Ngedup,Sangay Ngedup,Sangay Ngedup,Lyonpo Sangay Ngedup,https://upload.wikimedia.org/wikipedia/commons/a/a3/Sangay_Ngedup_2005.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Sangay Ngedup,,,,,,,,,,,,,,,,
Q441881,Khandu Wangchuk,,Khandu Wangchuk,Khandu Wangchuk,Khandu Wangchuk,Khandu Wangchuk,Khandu Wangchuk,Lyonpo Khandu Wangchuk,Khandu Wangchuk,Khandu Wangchuk,Khandu Wangchuk,male,Khandu Wangchuk,,Ханду Вангчук,Ханду Вангчук,カンドゥ・ワンチュク,,"Вангчук, Ханду",Khandu Wangchuk,Ханду Вангчук,,1950-11-24,,,Khandu Wangchuk,politician,/m/03qcv_,,,,,,,,,,Lyonpo Khandu Wangchuk,칸두 왕축,Lyonpo Khandu Wangchuk,Khandu Wangchuk,Khandu Wangchuk,Khandu Wangchuk,Lyonpo Khandu Wangchuk,,Khandu Wangchuk,Khandu Wangchuk,Khandu Wangchuk,Khandu Wangchuk,Khandu Wangchuk,칸두 왕축,Lyonpo Khandu Wangchuk,Khandu Wangchuk,Lyonpo Khandu Wangchuk,,,Λιόνπο Χαντού Βαντσούκ,Λιόνπο Χαντού Βαντσούκ,Khandu Wangchuk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Khandu Wangchuk,,,,,,,,,,,,,,,,
