id,name,executive,constituency,start_date,party_name,party_id,email,img,source,term,honorific_prefix
104,H.E. Wangchuk Namgay,Speaker,Nyishog Saephu,2018-10-31,Druk Nyamrup Tshogpa,DNT,wnamgyel@nab.gov.bt,http://www.nab.gov.bt/assets/uploads/images/member/thumb/2018/HA7A59.JPG,http://www.nab.gov.bt/member/member_detail/104,2,
105,H.E. Dr. Lotay Tshering,Prime Minister,South Thimphu,2018-10-31,Druk Nyamrup Tshogpa,DNT,lotaytshering@cabinet.gov.bt,http://www.nab.gov.bt/assets/uploads/images/member/thumb/2018/PM1.jpg,http://www.nab.gov.bt/member/member_detail/105,2,
106,H.E. Dasho Sherub Gyeltshen,"Minister, MoHCA",Monggar,2018-10-31,Druk Nyamrup Tshogpa,DNT,sgyeltshen@mohca.gov.bt,http://www.nab.gov.bt/assets/uploads/images/member/thumb/2018/SherabGyeltshenMoHCA.jpg,http://www.nab.gov.bt/member/member_detail/106,2,
107,H.E. Dr. Tandi Dorji,"Minister, MoFA",Lingmukha Toedwang,2018-10-31,Druk Nyamrup Tshogpa,DNT,tandidorji@mfa.gov.bt,http://www.nab.gov.bt/assets/uploads/images/member/thumb/2018/TandinDorjiMFA.jpg,http://www.nab.gov.bt/member/member_detail/107,2,
108,H.E. Karma Donnen Wangdi,"Minister, MoIC",Gelegphu,2018-10-31,Druk Nyamrup Tshogpa,DNT,karmadwangdi@moic.gov.bt,http://www.nab.gov.bt/assets/uploads/images/member/thumb/2018/KarmadonnenMoIC.jpg,http://www.nab.gov.bt/member/member_detail/108,2,
109,H.E. Jai Bir Rai,"Minister, MoE",Phuentshogling,2018-10-31,Druk Nyamrup Tshogpa,DNT,minister@moe.gov.bt,http://www.nab.gov.bt/assets/uploads/images/member/thumb/2018/JaiBirRaiMOE.JPG,http://www.nab.gov.bt/member/member_detail/109,2,
110,H.E. Dechen Wangmo,"Minister, Ministry of Health",North Thimphu,2018-10-31,Druk Nyamrup Tshogpa,DNT,dwangmo@health.gov.bt,http://www.nab.gov.bt/assets/uploads/images/member/thumb/2018/DechenWangmoMoH.jpg,http://www.nab.gov.bt/member/member_detail/110,2,
111,H.E. Yeshey Penjor,"Minister, Ministry of Agriculture and Forest",Nubi Tangsibji,2018-10-31,Druk Nyamrup Tshogpa,DNT,ypenjor@moaf.gov.bt,http://www.nab.gov.bt/assets/uploads/images/member/thumb/2018/YesheyPenjorMoAF.jpg,http://www.nab.gov.bt/member/member_detail/111,2,
112,H.E. Dorji Tshering,"Minister, Ministry of Works and Human Settlement",Radhi Sakteng,2018-10-31,Druk Nyamrup Tshogpa,DNT,dorjit@mowhs.gov.bt,http://www.nab.gov.bt/assets/uploads/images/member/thumb/2018/DorjiTsheringMOWHS.JPG,http://www.nab.gov.bt/member/member_detail/112,2,
113,H.E. Loknath Sharma,"Minister, Ministry of Economic Affairs",Dophuchen Tading,2018-10-31,Druk Nyamrup Tshogpa,DNT,lsharma@moea.gov.bt,http://www.nab.gov.bt/assets/uploads/images/member/thumb/2018/LoknathSharmaMoEA.jpg,http://www.nab.gov.bt/member/member_detail/113,2,
114,H.E. Namgay Tshering,"Minister, Ministry of Finance",Dokar Sharpa,2018-10-31,Druk Nyamrup Tshogpa,DNT,namgayt@mof.gov.bt,http://www.nab.gov.bt/assets/uploads/images/member/thumb/2018/NamgayTsheringMoF.jpg,http://www.nab.gov.bt/member/member_detail/114,2,
115,H.E. Ugyen Dorji,"Minister, Ministry of Labour Human Resources",Thrimshing,2018-10-31,Druk Nyamrup Tshogpa,DNT,ugyendorji@molhr.gov.bt,http://www.nab.gov.bt/assets/uploads/images/member/thumb/2018/ugyenDorjiMoLHR.jpg,http://www.nab.gov.bt/member/member_detail/115,2,
116,H.E. Dr. Pema Gyamtsho(Ph.D),Opposition Leader,Chhoekhor Tang,2018-10-31,Druk Phuensum Tshogpa,DPT,pgyamtsho@nab.gov.bt,http://www.nab.gov.bt/assets/uploads/images/member/thumb/2018/PemaGyamtshoOL.jpg,http://www.nab.gov.bt/member/member_detail/116,2,
117,Hon. Tshencho Wangdi,Dy. Speaker,Kabisa Talog,2018-10-31,Druk Nyamrup Tshogpa,DNT,tshenchowangdi@nab.gov.bt,http://www.nab.gov.bt/assets/uploads/images/member/thumb/2018/Tshencho.jpg,http://www.nab.gov.bt/member/member_detail/117,2,
118,Hon. Drungtsho Karma Wangchuk,"",Chhumig Ura,2018-10-31,Druk Phuensum Tshogpa,DPT,karmawangchuk@nab.gov.bt,http://www.nab.gov.bt/assets/uploads/images/member/thumb/2018/HA7A6141.JPG,http://www.nab.gov.bt/member/member_detail/118,2,
119,Hon. Tshewang Lhamo,"",Bongo Chapchha,2018-10-31,Druk Nyamrup Tshogpa,DNT,tlhamo@nab.gov.bt,http://www.nab.gov.bt/assets/uploads/images/member/thumb/2018/HA7A6040.JPG,http://www.nab.gov.bt/member/member_detail/119,2,
120,Hon. Jurmi Wangchuk,"",Drukjeygang Tseza,2018-10-31,Druk Nyamrup Tshogpa,DNT,jwangchuk@nab.gov.bt,http://www.nab.gov.bt/assets/uploads/images/member/thumb/2018/Jurmiw.JPG,http://www.nab.gov.bt/member/member_detail/120,2,
121,Hon. Hemant Gurung,"",Lhamoi Dzingkha Tashiding,2018-10-31,Druk Nyamrup Tshogpa,DNT,hgurung@nab.gov.bt,http://www.nab.gov.bt/assets/uploads/images/member/thumb/2018/HA7A6002.JPG,http://www.nab.gov.bt/member/member_detail/121,2,
122,Hon. Yeshey Dem,"",Khamaed Lunana,2018-10-31,Druk Nyamrup Tshogpa,DNT,ydem@nab.gov.bt,http://www.nab.gov.bt/assets/uploads/images/member/thumb/2018/HA7A6071.JPG,http://www.nab.gov.bt/member/member_detail/122,2,
123,Hon. Tenzin,"",Khatoed Laya,2018-10-31,Druk Nyamrup Tshogpa,DNT,tenzin@nab.gov.bt,http://www.nab.gov.bt/assets/uploads/images/member/thumb/2018/HA7A6025.JPG,http://www.nab.gov.bt/member/member_detail/123,2,
124,Hon. Ugen Tenzin,"",Bji Kar Tshog Uesu,2018-10-31,Druk Nyamrup Tshogpa,DNT,utenzin@nab.gov.bt,http://www.nab.gov.bt/assets/uploads/images/member/thumb/2018/HA7A5992.JPG,http://www.nab.gov.bt/member/member_detail/124,2,
