id,name,executive,constituency,start_date,party_name,party_id,email,img,source,term
1,Lyonchhen Tshering Tobgay,Prime Minister of Bhutan,Sombaykha,2013-07-13,People's Democratic Party,PDP,pm@nab.gov.bt,http://www.nab.gov.bt/assets/uploads/images/member/thumb/2014/lyonchen-tshering-tobgay.jpg,http://www.nab.gov.bt/member/member_detail/1,2
2,Lyonpo Jigme Zangpo,Speaker of National Assembly,Monggar,2013-07-13,People's Democratic Party,PDP,speaker@nab.gov.bt,http://www.nab.gov.bt/assets/uploads/images/member/thumb/2014/lyonpo-jigme-zangpo.jpg,http://www.nab.gov.bt/member/member_detail/2,2
3,Lyonpo Damcho Dorji,Ministry of Home and Cultural Affairs,Khatoed Laya,2013-07-13,People's Democratic Party,PDP,mohca@nab.gov.bt,http://www.nab.gov.bt/assets/uploads/images/member/thumb/2014/Lyonpo-Damcho-Dorji.jpg,http://www.nab.gov.bt/member/member_detail/3,2
4,Lyonpo Dorji Choden,Ministry of Works and Human Settlement,Thrimshing,2013-07-13,People's Democratic Party,PDP,mowhs@nab.gov.bt,http://www.nab.gov.bt/assets/uploads/images/member/thumb/2014/lyonpo-dorji-choden.jpg,http://www.nab.gov.bt/member/member_detail/4,2
6,Lyonpo Rinzin Dorji,Ministry of Foreign Affairs,Shompangkha,2013-07-13,People's Democratic Party,PDP,mofa@nab.gov.bt,http://www.nab.gov.bt/assets/uploads/images/member/thumb/2014/lyonpo-rinzin-dorji.jpg,http://www.nab.gov.bt/member/member_detail/6,2
5,Lyonpo Mingbo Dukpa,Ministry of Education,Dewathang Gomdar,2013-07-13,People's Democratic Party,PDP,moe@nab.gov.bt,http://www.nab.gov.bt/assets/uploads/images/member/thumb/2014/lyonpo-mingbo-dukpa.jpg,http://www.nab.gov.bt/member/member_detail/5,2
8,Lyonpo Tandin Wangchuk,Ministry of Health,Athang Thedtsho,2013-07-13,People's Democratic Party,PDP,moh@nab.gov.bt,http://www.nab.gov.bt/assets/uploads/images/member/thumb/2014/lyonpo-tandin-wangchuk.jpg,http://www.nab.gov.bt/member/member_detail/8,2
7,Lyonpo Ngeema Sangay Tshempo,Ministry of Labour Human Resources,Lhamoi Dzingkha Tashiding,2013-07-13,People's Democratic Party,PDP,molhr@nab.gov.bt,http://www.nab.gov.bt/assets/uploads/images/member/thumb/2014/lyonpo-ngeema-sangay-tshemp.jpg,http://www.nab.gov.bt/member/member_detail/7,2
10,Lyonpo Dina Nath Dhungyel,Ministry of Information and Communications,Phuentshogpelri Samtse,2013-07-13,People's Democratic Party,PDP,moic@nab.gov.bt,http://www.nab.gov.bt/assets/uploads/images/member/thumb/2014/lyonpo-dn-dungyel.jpg,http://www.nab.gov.bt/member/member_detail/10,2
9,Lyonpo Namgay Dorji,Ministry of Finance,Draagteng Langthil,2013-07-13,People's Democratic Party,PDP,moh@nab.gov.bt,http://www.nab.gov.bt/assets/uploads/images/member/thumb/2014/lyonpo-namgay-dorji1.jpg,http://www.nab.gov.bt/member/member_detail/9,2
11,Lyonpo Norbu Wangchuk,Ministry of Economic Affairs,Kanglung Samkhar Udzorong,2013-07-13,People's Democratic Party,PDP,moea@nab.gov.bt,http://www.nab.gov.bt/assets/uploads/images/member/thumb/2014/lyonpo-norbu-wangchuk.jpg,http://www.nab.gov.bt/member/member_detail/11,2
12,Lyonpo Yeshey Dorji,Ministry of Agriculture and Forest,Maenbi Tsaenkhar,2013-07-13,People's Democratic Party,PDP,moaf@nab.gov.bt,http://www.nab.gov.bt/assets/uploads/images/member/thumb/2014/lyonpo-yeshey-dorji.jpg,http://www.nab.gov.bt/member/member_detail/12,2
13,Dr. Pema Gyamtsho,Opposition Leader,Chhoekhor Tang,2013-07-13,Druk Phuensum Tshogpa,DPT,ol@nab.gov.bt,http://www.nab.gov.bt/assets/uploads/images/member/thumb/2014/pema-gyamtsho.jpg,http://www.nab.gov.bt/member/member_detail/13,2
48,Dy. Speaker Chimi Dorji,Deputy Speaker,Lingmukha Toedwang,2013-07-13,People's Democratic Party,PDP,cdorji@nab.gov.bt,http://www.nab.gov.bt/assets/uploads/images/member/thumb/2014/chimi-dorji.jpg,http://www.nab.gov.bt/member/member_detail/48,2
15,Tshewang Jurmi,"",Chhumig Ura,2013-07-13,People's Democratic Party,PDP,tjurmi@nab.gov.bt,http://www.nab.gov.bt/assets/uploads/images/member/thumb/2014/tshewang-jurmey.jpg,http://www.nab.gov.bt/member/member_detail/15,2
16,Dawa Gyaltshen,"",Bongo Chapchha,2013-07-13,People's Democratic Party,PDP,dgyaltshen@nab.gov.bt,http://www.nab.gov.bt/assets/uploads/images/member/thumb/2014/dawa-gyeltshen.jpg,http://www.nab.gov.bt/member/member_detail/16,2
17,Rinzin Dorji,"",Phuentshogling,2013-07-13,People's Democratic Party,PDP,rdorji@nab.gov.bt,http://www.nab.gov.bt/assets/uploads/images/member/thumb/2014/rinzin-dorji.jpg,http://www.nab.gov.bt/member/member_detail/17,2
18,Karma Dorji,"",Drukjeygang Tseza,2013-07-13,People's Democratic Party,PDP,kdorji@nab.gov.bt,http://www.nab.gov.bt/assets/uploads/images/member/thumb/2014/karma-dorji.jpg,http://www.nab.gov.bt/member/member_detail/18,2
19,Pema Drukpa,"",Khamaed Lunana,2013-07-13,People's Democratic Party,PDP,pdrukpa@nab.gov.bt,http://www.nab.gov.bt/assets/uploads/images/member/thumb/2014/pema-drukpa.jpg,http://www.nab.gov.bt/member/member_detail/19,2
20,Kinley Om,"",Bji Kar Tshog Uesu,2013-07-13,People's Democratic Party,PDP,kom@nab.gov.bt,http://www.nab.gov.bt/assets/uploads/images/member/thumb/2014/kinley-om.jpg,http://www.nab.gov.bt/member/member_detail/20,2
21,Karma Rangdol,"",Gangzur Minjey,2013-07-13,Druk Phuensum Tshogpa,DPT,krangdol@nab.gov.bt,http://www.nab.gov.bt/assets/uploads/images/member/thumb/2014/karma-rangdol.jpg,http://www.nab.gov.bt/member/member_detail/21,2
