id,name__en,name__de,name__pl,name,wikipedia__en,wikipedia__pl,gender,given_name,original_wikiname,name__pt,name__ru,name__fr,name__es,name__tr,name__yo,name__oc,name__ms,name__fi,name__uk,name__it,name__et,name__id,name__el,name__io,name__lt,name__da,name__sv,name__ko,name__ca,name__nl,name__nb,name__zh,name__hr,name__qu,name__he,name__mr,name__nn,wikipedia__ca,wikipedia__da,wikipedia__de,wikipedia__el,wikipedia__es,wikipedia__et,wikipedia__fi,wikipedia__fr,wikipedia__he,wikipedia__hr,wikipedia__id,wikipedia__io,wikipedia__it,wikipedia__ko,wikipedia__lt,wikipedia__mr,wikipedia__ms,wikipedia__nl,wikipedia__no,wikipedia__oc,wikipedia__pt,wikipedia__qu,wikipedia__ru,wikipedia__ruwikinews,wikipedia__simple,wikipedia__sv,wikipedia__tr,wikipedia__uk,wikipedia__yo,wikipedia__zh,image,identifier__VIAF,identifier__GND,birth_date,identifier__freebase,identifier__Munzinger,name__hi,name__gl,name__ja,name__ar,name__fa,wikipedia__ar,wikipedia__fa,wikipedia__gl,wikipedia__hi,wikipedia__ja,identifier__LCAuth,wikipedia__commons,name__la,wikipedia__la,name__hu,last_seen,name__zh_hant,name__zh_cn,identifier__NNDB,occupation,wikipedia__az,name__az,identifier__Britannica,name__sl,identifier__NTA,identifier__FIFA,identifier__ISNI,family_name,name__cs
Q16729784,Manuel Heredia,Manuel Heredia,Jose Manuel Heredia Jr.,Manuel Heredia,Manuel Heredia (politician),Jose Manuel Heredia Jr.,male,Manuel,,,,Jose Manuel Heredia Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1951,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,
Q20640457,Ivan Ramos,,Ivan Ramos,Ivan Ramos,Ivan Ramos,Ivan Ramos,male,Ivan,,,Иван Мака Рамос,,,,,,,,,,,,,,,,,,,Ivan Ramos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,Ivan Ramos,,,,,
Q24953636,Hugo Patt,,Hugo Patt,Hugo Patt,,Hugo Patt,male,Hugo,,,,,,,,,,,,,,,,,,,,,,Hugo Patt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,
Q24953644,Santiago Castillo,,Santiago Castillo,Santiago Castillo,,Santiago Castillo,male,,,,,,,,,,,,,,,,,,,,,,,Santiago Castillo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,
Q24953655,Herman Longsworth,,Herman Longsworth,Herman Longsworth,,Herman Longsworth,male,Herman,,,,,,,,,,,,,,,,,,,,,,Herman Longsworth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q24953658,Julius Espat,,Julius Espat,Julius Espat,Julius Espat,Julius Espat,male,,,,,,,,,,,,,,,,,,,,,,,Julius Espat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,
Q24953659,Florencio Marin Jr.,,Florencio Marin Jr.,Florencio Marin Jr.,,Florencio Marin Jr.,male,,,,,,,,,,,,,,,,,,,,,,,Florencio Marin Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q24953660,Ramiro Ramirez,,Ramiro Ramirez,Ramiro Ramirez,,Ramiro Ramirez,male,,,,,,,,,,,,,,,,,,,,,,,Ramiro Ramirez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q24953661,Oscar Requena,,Oscar Requena,Oscar Requena,,Oscar Requena,male,Oscar,,,,,,,,,,,,,,,,,,,,,,Oscar Requena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q24953677,Marco Tulio Mendez,,Marco Tulio Mendez,Marco Tulio Mendez,,Marco Tulio Mendez,male,Marco,,,,,,,,,,,,,,,,,,,,,,Marco Tulio Mendez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,
