id,name,name__en,name__fr,name__nl,wikipedia__en,wikipedia__fr,gender,given_name,occupation,original_wikiname,name__es,death_date,birth_date,family_name,name__zh,name__tr,wikipedia__tr,name__de,name__pl,name__sv,name__la,name__ja,wikipedia__commons,wikipedia__de,wikipedia__la,wikipedia__pl,wikipedia__simple,wikipedia__sv,image
Q20035588,Rien Morris,Rien Morris,Rien Morris,Rien Morris,Rien Morris,Rien Morris,male,Rien,politician,Rien Morris,,,,Morris,,,,,,,,,,,,,,,
Q20090885,Thomas Heine,Thomas Heine,Thomas Heine,Thomas Heine,Thomas Heine,Thomas Heine,male,Thomas,politician,Thomas Heine,,,"",,,,,,,,,,,,,,,,
Q20090886,Wilbur Heine,Wilbur Heine,,Wilbur Heine,Wilbur Heine,,male,Wilbur,politician,Wilbur Heine,,,,,,,,,,,,,,,,,,,
Q20090996,Alvin Jacklick,Alvin Jacklick,,Alvin Jacklick,Alvin Jacklick,,male,Alvin,politician,Alvin Jacklick,,,,,解克禮,,,,,,,,,,,,,,
Q20658229,David Kabua,David Kabua,David Kabua,David Kabua,David Kabua,,male,David,politician,David Kabua,,,,,,,,,,,,,,,,,,,
Q21063146,Dennis Momotaro,Dennis Momotaro,,Dennis Momotaro,Dennis Momotaro,,male,Dennis,politician,Dennis Momotaro,Dennis Momotaro,,1954-10-26,,,,,,,,,,,,,,,,
Q21063163,Michael Konelios,Michael Konelios,Michael Konelios,Michael Konelios,Michael Konelios,,male,Michael,politician,Michael Konelios,Michael Konelios,,,,,,,,,,,,,,,,,,
Q21063164,Hiroshi V. Yamamura,Hiroshi V. Yamamura,Hiroshi Yamamura,Hiroshi V. Yamamura,Hiroshi V. Yamamura,Hiroshi Yamamura,male,Hiroshi,politician,Hiroshi V. Yamamura,,,,,,,,,,,,,,,,,,,
Q27922202,Atlan Anien,Atlan Anien,Atlan Anien,Atlan Anien,Atlan Anien,,male,,politician,Atlan Anien,,1992,1920-01-17,,,,,,,,,,,,,,,,
Q30323314,Mattlan Zackhras,Mattlan Zackhras,Mattlan Zackhras,Mattlan Zackhras,Mattlan Zackhras,,male,,politician,Mattlan Zackhras,,2017-08-07,1970-01-13,,,Mattlan Zackhras,Mattlan Zackhras,,,,,,,,,,,,
Q3531936,Tony deBrum,Tony deBrum,Tony deBrum,Tony deBrum,Tony deBrum,Tony deBrum,male,Tony,politician,Tony deBrum,,2017-08-22,1945-02-25,Debrum,,Tony deBrum,Tony deBrum,Tony deBrum,Tony de Brum,Tony deBrum,Antonius DeBrum,トニー・デブラム,Category:Tony deBrum,Tony de Brum,Antonius deBrum,Tony de Brum,Tony deBrum,Tony deBrum,https://upload.wikimedia.org/wikipedia/commons/b/bd/Tony_deBrum.jpg
