id,name,name__de,name__en,name__fr,name__nl,name__sl,wikipedia__de,gender,identifier__LCAuth,identifier__VIAF,identifier__ISNI,birth_date,given_name,identifier__NTA,original_wikiname,name__es,name__hu,name__zh,wikipedia__commons,wikipedia__en,wikipedia__fr,occupation,image,name__it,name__pl,name__pt,name__nb,name__da,name__nn,name__sv,name__cy,name__he,name__eo,name__ru,name__ja,wikipedia__es,wikipedia__it,wikipedia__pl,wikipedia__pt,wikipedia__ru,wikipedia__sv,wikipedia__zh,identifier__GND,death_date,identifier__freebase,identifier__CANTIC,identifier__FAST,identifier__snac,identifier__SELIBR,identifier__BNE,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__yo,name__fi,name__uk,name__gl,name__id,name__el,name__ar,wikipedia__ar,wikipedia__el,wikipedia__fi,wikipedia__gl,wikipedia__id,wikipedia__nl,wikipedia__no,wikipedia__uk,wikipedia__yo,identifier__senatDOTfr,family_name,name__ca,wikipedia__ca,name__af,name__an,name__ast,name__bar,name__bm,name__br,name__co,name__cs,name__de_at,name__de_ch,name__en_ca,name__en_gb,name__et,name__eu,name__frc,name__frp,name__fur,name__ga,name__gd,name__gsw,name__hr,name__ia,name__ie,name__io,name__jam,name__kab,name__kg,name__lb,name__li,name__lij,name__lt,name__lv,name__mg,name__min,name__ms,name__nap,name__nds,name__nds_nl,name__nrm,name__oc,name__pap,name__pcd,name__pms,name__prg,name__pt_br,name__rgn,name__rm,name__ro,name__sc,name__scn,name__sco,name__sk,name__sr_el,name__sw,name__tr,name__vec,name__vi,name__vls,name__vmf,name__vo,name__wa,name__wo,name__zu,name__la,wikipedia__la,wikipedia__simple,identifier__NUKAT,wikipedia__frwikiquote
Q1103939,Clément Sawadogo,Clément Sawadogo,Clément Sawadogo,Clément Sawadogo,Clément Sawadogo,Clément Sawadogo,Clément Sawadogo,male,,218480232,,1960-12,Clément,,,Clément Sawadogo,Clément Sawadogo,,,Clément Sawadogo,Clément Sawadogo,politician,,,,,Clément Sawadogo,Clément Sawadogo,Clément Sawadogo,Clément Sawadogo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clément Sawadogo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1524043,Gilbert Noël Ouédraogo,Gilbert Ouédraogo,Gilbert Noël Ouédraogo,Gilbert Noël Ouédraogo,Gilbert Noël Ouédraogo,Gilbert Noël Ouédraogo,Gilbert Ouédraogo,male,,,,1968-12-25,Gilbert,,,Gilbert Noël Ouédraogo,Gilbert Noël Ouédraogo,魏濤閣,,Gilbert Noël Ouédraogo,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gilbert Noël Ouédraogo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16116649,Thomas Sanon,Thomas Sanon,Thomas Sanon,Thomas Sanon,Thomas Sanon,Thomas Sanon,,male,,,,1947-09-08,Thomas,,,Thomas Sanon,,,,Thomas Sanon,,politician,,Thomas Sanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thomas Sanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1723580,Alain Bédouma Yoda,Alain Yoda,Alain Bédouma Yoda,Alain Bedouma Yoda,Alain Bédouma Yoda,Alain Bédouma Yoda,Alain Yoda,male,,,,1951-12-31,Alain,,,Alain Bédouma Yoda,Alain Bédouma Yoda,,,Alain Bédouma Yoda,Alain Bedouma Yoda,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,游達,遊達,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1997031,Norbert Michel Tiendrébéogo,Norbert Michel Tiendrébéogo,Norbert Michel Tiendrébéogo,,Norbert Michel Tiendrébéogo,,Norbert Michel Tiendrébéogo,male,,,,1955-09-28,Norbert,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Norbert Michel Tiendrébéogo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20027648,Célestine Ouezzin-Coulibaly,Célestine Ouezzin Coulibaly,Célestine Ouezzin-Coulibaly,Célestine Ouezzin-Coulibaly,Célestine Ouezzin-Coulibaly,Célestine Ouezzin-Coulibaly,Célestine Ouezzin Coulibaly,female,,,,1914,Célestine,,,,,,,Célestine Ouezzin Coulibaly,Célestine Ouezzin Coulibaly,politician,,,,,,,,,,,,Селестин Уэззен Кулибали,,,,,,,,,,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,senateur-communaute/ouezzin_coulibaly_celestine0011sc,,Célestine Ouezzin-Coulibaly,,,,Célestine Ouezzin-Coulibaly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2005411,Nurukyor Claude Somda,Nurukyor Claude Somda,Nurukyor Claude Somda,Nurukyor Claude Somda,Nurukyor Claude Somda,Nurukyor Claude Somda,Nurukyor Claude Somda,male,n2004025043,7626139,0000 0000 3988 8407,1949-12-31,,265764092,,Nurukyor Claude Somda,,,,,,historian,,,,,,,,,Nurukyor Claude Somda,,,,,,,,,,,,,2009-05-05,,,,,,,,,,,,,,,,,,,,,,,,,Nurukyor Claude Somda,,,,,,,,,,Nurukyor Claude Somda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2287427,Simon Compaoré,Simon Compaoré,Simon Compaoré,Simon Compaoré,Simon Compaoré,Simon Compaoré,Simon Compaoré,male,no2018096913,,,1952-09-19,Simon,,,Simon Compaoré,Simon Compaoré,西門·龔褒磊,Category:Simon Compaoré,Simon Compaoré,Simon Compaoré,politician,https://upload.wikimedia.org/wikipedia/commons/e/e6/Simon_Compaoré_(cropped).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Simon Compaoré,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3219014,Laurent Bado,Laurent Bado,Laurent Bado,Laurent Bado,Laurent Bado,Laurent Bado,,male,n90666729,7449081,0000 0000 2806 0292,1945-08-28,Laurent,16848515X,,Laurent Bado,Laurent Bado,,,Laurent Bado,Laurent Bado,politician,,,,,,,,,,,,,,Laurent Bado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laurent Bado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3333014,Mélégué Maurice Traoré,Mélégué Maurice Traoré,Mélégué Maurice Traoré,Mélégué Traoré,Mélégué Maurice Traoré,Mélégué Maurice Traoré,,male,,,,1951-12-31,,,,,,陶赫,,Mélégué Maurice Traoré,Mélégué Traoré,diplomat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Traoré,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
