id,name__fr,name__it,name__en,name,wikipedia__fr,image,gender,birth_date,given_name,original_wikiname,name__nl,name__de,name__ar,wikipedia__ar,wikipedia__en,identifier__freebase,wikipedia__commons,name__pl,wikipedia__pl,name__es,name__hu,name__sv,wikipedia__sv,name__zh_hans,name__zh_hant,name__zh_hk,name__nb,name__ru,name__uk,name__et,name__zh,name__id,name__tr,name__ca,name__kab,wikipedia__ca,wikipedia__de,wikipedia__es,wikipedia__et,wikipedia__hu,wikipedia__id,wikipedia__it,wikipedia__kab,wikipedia__nl,wikipedia__no,wikipedia__ru,wikipedia__tr,wikipedia__uk,wikipedia__zh,name__cs,wikipedia__cswikiquote,website,twitter,identifier__IMDB,identifier__VIAF,identifier__BNF,name__ja,name__eu,identifier__allmovie,identifier__kinopoisk,wikipedia__fawikiquote,identifier__google_knowledge,occupation,name__fa,facebook,wikipedia__arwikinews,name__mg,wikipedia__mg,family_name,identifier__GND,identifier__LCAuth,name__bn,identifier__ISNI,weblog,name__sl,wikipedia__fa,death_date,identifier__Munzinger
Q10514449,Mehdi Ben Gharbia,,Mehdi Ben Gharbia,Mehdi Ben Gharbia,Mehdi Ben Gharbia,https://upload.wikimedia.org/wikipedia/commons/c/cf/PortraitMehdiBenGharbia_Jan2014_01.jpg,male,1973-06-19,Mehdi,المهدي بن غربية,Mehdi Ben Gharbia,Mehdi Ben Gharbia,المهدي بن غربية,المهدي بن غربية,,,Category:Mehdi Ben Gharbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,Mehdi Ben Gharbia,,,
Q10591389,Iyed Dahmani,,Iyed Dahmani,Iyed Dahmani,Iyed Dahmani,https://upload.wikimedia.org/wikipedia/commons/5/55/IyedDahmani.JPG,male,1977-09-13,Ayad,إياد الدهماني,Iyed Dahmani,Iyed Dahmani,إياد الدهماني,إياد الدهماني,,,Category:Iyed Dahmani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,iyeddahmani,,,,,,,,,,politician,,,,,,,,,,,,Iyed Dahmani,,,
Q11775942,Salem Labiadh,,Salem Labiadh,Salem Labiadh,Salem Labiadh,https://upload.wikimedia.org/wikipedia/commons/5/52/Salem_Labiedh.jpg,male,1964-03-14,,سالم الأبيض,Salem Labiadh,Salem Labiadh,سالم الأبيض,سالم الأبيض,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7646760,14648673c,,,,,,,sociologist,سالم الابیض,,,,,,141237120,n2006204735,,0000 0001 2119 667X,,Salem Labiadh,سالم الابیض,,
Q12185882,,,Jilani Hammami,الجيلاني الهمامي,,,male,,,الجيلاني الهمامي,,,الجيلاني الهمامي,الجيلاني الهمامي,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12251558,Yassine Ayari,,Yassine Ayari,Yassine Ayari,Yassine Ayari,,male,1981-08-26,Yassine,Yassine Ayari,,Yassine Ayari,ياسين العياري,ياسين العياري,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yassayari,,,,,,,,,,blogger,,yassine.ayari.page.officielle,,,,Ayari,,,,,http://mel7it3.blogspot.com/,Yassine Ayari,,,
Q12352837,Nadhir Ben Ammou,,Nadhir Ben Ammou,Nadhir Ben Ammou,Nadhir Ben Ammou,https://upload.wikimedia.org/wikipedia/commons/e/eb/Nadhir_Ben_ammou.jpg,male,1959,,نذير بن عمو,Nadhir Ben Ammou,Nadhir Ben Ammou,نذير بن عمو,نذير بن عمو,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,Nadhir Ben Ammou,,,
Q12886365,Imed Daïmi,,Imed Daïmi,Imed Daïmi,Imed Daïmi,https://upload.wikimedia.org/wikipedia/commons/f/f0/Imed_Daimi.jpg,male,"",Imad,عماد الدايمي,Imed Daïmi,Imed Daimi,عماد الدايمي,عماد الدايمي,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,エマード・ダーイミ,,,,,,politician,,,,,,,,,,,,Imed Daïmi,,,
Q14182276,Touhami Abdouli,,Touhami Abdouli,Touhami Abdouli,Touhami Abdouli,https://upload.wikimedia.org/wikipedia/commons/9/9a/PortraitTouhamiAbdouliJan2012_01.jpg,male,1969-03-01,,Touhami Abdouli,Touhami Abdouli,,,,,,Category:Touhami Abdouli,At-Tuhami Abduli,At-Tuhami Abduli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,トゥアミ・アブドル,,,,,,politician,,,,,,,,,,,,Touhami Abdouli,,,
Q16027791,Farida Labidi,Farida Labidi,Farida Labidi,Farida Labidi,Farida Labidi,https://upload.wikimedia.org/wikipedia/commons/5/56/PortraitFaridaLabidi2013_01.jpg,female,1968-03-24,Farida,فريدة العبيدي,Farida Labidi,Farida Labidi,فريدة العبيدي,فريدة العبيدي,,,Category:Farida Labidi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,ফরিদা লাবিদি,,,Farida Labidi,,,
Q16128314,Samia Abbou,,Samia Abbou,Samia Abbou,Samia Abbou,"https://upload.wikimedia.org/wikipedia/commons/4/48/Samia_Abbou,_Nawaat_capture_19_novembre_2015.jpg",female,1965-11-03,Samia,سامية عبو,Samia Abbou,Samia Abbou,سامية عبو,سامية عبو,Samia Abbou,,Category:Samia Abbou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,Samia Abbou,,,
Q16185697,Mongi Rahoui,Mongi Rahoui,Mongi Rahoui,Mongi Rahoui,Mongi Rahoui,https://upload.wikimedia.org/wikipedia/commons/6/6d/MongiRahoui.JPG,male,1964-06-13,,المنجي الرحوي,Mongi Rahoui,Mongi Rahoui,المنجي الرحوي,المنجي الرحوي,,,Category:Mongi Rahoui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,Mongi Rahoui,,,
Q16642407,Houcine Jaziri,,Houcine Jaziri,Houcine Jaziri,Houcine Jaziri,https://upload.wikimedia.org/wikipedia/commons/8/88/Houcine_Jaziri.jpg,male,1968-07-02,,Houcine Jaziri,Houcine Jaziri,Houcine Jaziri,حسين الجزيري,حسين الجزيري (سياسي),,,Category:Houcine Jaziri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,Houcine Jaziri,,,
Q16666126,Naoufel Jammali,,Naoufel Jammali,Naoufel Jammali,Naoufel Jammali,https://upload.wikimedia.org/wikipedia/commons/5/56/PortraitNaoufelJammali_Sep2014.JPG,male,1976,,نوفل الجمالي,Naoufel Jammali,Naoufel Jammali,نوفل الجمالي,نوفل الجمالي,,,Category:Naoufel Jammali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,Naoufel Jammali,,,
Q19285470,Mbarka Aouania,Mbarka Aouania,Mbarka Aouania,Mbarka Aouania,Mbarka Aouania,"https://upload.wikimedia.org/wikipedia/commons/4/44/Mbarka_Aouania_(02),_FSM,_Tunis_25_mars_2015_(cropped).jpg",female,1967,,Mbarka Aouania,Mbarka Aouania,Mbarka Aouania,مباركة عوائنية,,,,Category:Mbarka Aouania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,Mbarka Aouania,,,
Q19345818,Selma Elloumi Rekik,,Selma Elloumi Rekik,Selma Elloumi Rekik,Selma Elloumi Rekik,https://upload.wikimedia.org/wikipedia/commons/1/17/PortraitSelmaElloumiRekikDec2015ARP.jpg,female,1956-06-05,Selma,سلمى اللومي الرقيق,Selma Elloumi Rekik,Selma Elloumi Rekik,سلمى اللومي الرقيق,سلمى اللومي الرقيق,Selma Elloumi Rekik,,Category:Selma Elloumi Rekik,,,,,,,,,,,,,,,,,,,,Selma Elloumi Rekik,,,,,,,,,,,,,,,,,,,,,,,,,,businessperson,,,,,,,,,,,,Selma Elloumi Rekik,,,
Q19346113,Khaoula Ben Aïcha,,Khaoula Ben Aicha,Khaoula Ben Aïcha,Khaoula Ben Aïcha,https://upload.wikimedia.org/wikipedia/commons/9/95/Khawla_Ben_Aicha.jpg,female,1988-05-19,Khawla,Khaoula Ben Aïcha,Khaoula Ben Aicha,Khaoula Ben Aicha,درة اليعقوبي,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Khaw_laa,,,,,,,,,,politician,,,,,,,,,,,,Khaoula Ben Aicha,,,
Q19346156,Ons Hattab,Ons Hattab,Ons Hattab,Ons Hattab,Ons Hattab,,female,,,Ons Hattab,Ons Hattab,Ons Hattab,أنس الحطاب,,,,,,,Ons Hattab,,,,,,,,,,,,,,,,,,Ons Hattab,,,,,,,,,,,,,,,,,,,,,,,,,politician,,ons.hattab,,,,,,,,,,Ons Hattab,,,
Q19346167,Ibtihej Ben Helal,,Ibtihej Ben Helal,Ibtihej Ben Helal,Ibtihej Ben Helal,,female,,,Ibtihej Ben Helal,Ibtihej Ben Helal,Ibtihej Ben Helal,ابتهاج بن هلال,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,Ibtihej Ben Helal,,,
Q19346186,Hela Omrane,Hela Omrane,Hela Omrane,Hela Omrane,Hela Omrane,https://upload.wikimedia.org/wikipedia/commons/b/b2/HelaOmrane-Sayada-Mai-2017-1.png,female,"",,Hela Omrane,Hela Omrane,Hela Omrane,هالة عمران,,,,Category:Hela Omrane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,Hela Omrane,,,
Q19543800,Souhail Alouini,,Souhail Alouini,Souhail Alouini,Souhail Alouini,https://upload.wikimedia.org/wikipedia/commons/8/86/SouhailAlouini-Février2015.png,male,1956-11-27,,Souhail Alouini,Souhail Alouini,Souhail Alouini,سهيل العلويني,,,,Category:Souhail Alouini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,physician,,,,,,,,,,,,Souhail Alouini,,,
Q19544687,Sabrine Goubantini,Sabrine Goubantini,Sabrine Goubantini,Sabrine Goubantini,Sabrine Goubantini,,female,1987-11-10,Sabrine,Sabrine Goubantini,Sabrine Goubantini,Sabrine Goubantini,صبرين قوبنطيني,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sabrine_G,,,,,,,,,,politician,,,,,,,,,,,,Sabrine Goubantini,,,
Q19544932,Zied Ladhari,Zied Ladhari,Zied Ladhari,Zied Ladhari,Zied Ladhari,https://upload.wikimedia.org/wikipedia/commons/2/24/Zied_Adhari.jpg,male,1975-03-30,,زياد العذاري,Zied Ladhari,,زياد العذاري,زياد العذاري,,,Category:Zied Ladhari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,Zied Ladhari,,,
Q19631455,Bochra Belhaj Hmida,,Bochra Belhaj Hmida,Bochra Belhaj Hmida,Bochra Belhaj Hmida,"https://upload.wikimedia.org/wikipedia/commons/9/9d/Bochra_Belhaj_Hmida,_Nawaat,_2_décembre_2014.jpg",female,"",,بشرى بلحاج حميدة,Bochra Belhaj Hmida,Bochra Belhaj Hmida,بشرى بلحاج حميدة,بشرى بلحاج حميدة,,,Category:Bochra Belhaj Hmida,,,Bochra Belhaj Hmida,,,,,,,,,,,,,,,,,,Bochra Belhaj Hmida,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,Bochra Belhaj Hmida,,,
Q19951842,Faouzia Ben Fodha,,Faouzia Ben Fodha,Faouzia Ben Fodha,Faouzia Ben Fodha,"https://upload.wikimedia.org/wikipedia/commons/1/19/Faouzia_Ben_Fodha_-_Présidents_de_l'ARP,_Tunisie,_capture_de_Nawaat_(cropped).jpg",female,1963-07-19,Faouzi,فوزية بن فضة الشعار,Faouzia Ben Fodha,Faouzia Ben Fodha,فوزية بن فضة الشعار,فوزية بن فضة الشعار,,,Category:Faouzia Ben Fodha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,Faouzia Ben Fodha,,,
Q19955807,Noomane Fehri,,Noomane Fehri,Noomane Fehri,Noomane Fehri,https://upload.wikimedia.org/wikipedia/commons/a/af/Noomane_Fehri_2_(cropped).JPG,male,1965,,Noomane Fehri,Noomane Fehri,Noomane Fehri,,,,,Category:Noomane Fehri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,noomanefehri.deputeanc,,,,,,,,,,Noomane Fehri,,,
Q20851199,Jihen Aouichi,,Jihen Aouichi,Jihen Aouichi,Jihen Aouichi,,female,,,Jihen Aouichi,Jihen Aouichi,Jihen Aouichi,جيهان العويشي,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,Jihen Aouichi,,,
Q20961773,Ridha Charfeddine,,Ridha Charfeddine,Ridha Charfeddine,Ridha Charfeddine,"https://upload.wikimedia.org/wikipedia/commons/7/75/Ridha_Charfedddine,_Nawaat,_2_décembre_2014_(01)_(cropped).jpg",male,1952-07-02,Ridha,رضا شرف الدين,Ridha Charfeddine,Ridha Charfeddine,رضا شرف الدين,رضا شرف الدين,Ridha Charfeddine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,businessperson,,,,,,,,,,,,Ridha Charfeddine,,,
Q21084499,Boutheina Ben Yaghlane,,Boutheina Ben Yaghlane,Boutheina Ben Yaghlane,Boutheina Ben Yaghlane,https://upload.wikimedia.org/wikipedia/commons/0/01/PortraitBoutheinaBenYaghlaneSep2014.jpg,female,1966-04-12,,بثينة بن يغلان,Boutheina Ben Yaghlane,Boutheina Ben Yaghlane,بثينة بن يغلان,بثينة بن يغلان,,,Category:Boutheina Ben Yaghlane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,Boutheina Ben Yaghlane,,,
Q21091626,Nawel Tayech,,Nawel Tayech,Nawel Tayech,Nawel Tayech,,female,,,Nawel Tayech,Nawel Tayech,Nawel Tayech,نوال طياش,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,Nawel Tayech,,,
Q21511555,Ghazi Chaouachi,,Ghazi Chaouachi,Ghazi Chaouachi,Ghazi Chaouachi,https://upload.wikimedia.org/wikipedia/commons/8/80/Ghazi_chaouachi.png,male,1963-02-05,,Ghazi Chaouachi,Ghazi Chaouachi,Ghazi Chaouachi,غازي الشواشي,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lawyer,,,,,,,,,,,,Ghazi Chaouachi,,,
Q21606879,Noomane El Euch,,Noomane El Euch,Noomane El Euch,Noomane El Euch,,male,1967-06-09,,Noomane El Euch,Noomane El Euch,Noomane El Euch,نعمان العش,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,Noomane El Euch,,,
Q22930198,Fathi Ayadi,,Fathi Ayadi,Fathi Ayadi,,https://upload.wikimedia.org/wikipedia/commons/b/b3/Fathi_Ayadi.jpg,male,1964-04-17,,فتحي العيادي,Fathi Ayadi,Fathi Ayadi,فتحي العيادي,فتحي العيادي,,,Category:Fathi Ayadi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,
Q22934436,Hamdi Guezguez,,Hamdi Guezguez,Hamdi Guezguez,,,male,,Hamdi,حمدي قزقز,Hamdi Guezguez,Hamdi Guezguez,حمدي قزقز,حمدي قزقز,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,Hamdi Guezguez,,,
Q23073234,Rim Mahjoub,,Rim Mahjoub,Rim Mahjoub,Rim Mahjoub,https://upload.wikimedia.org/wikipedia/commons/8/80/Rym_mahjoub.jpg,female,1966-03-16,Rim,ريم محجوب,Rim Mahjoub,Rim Mahjoub,ريم محجوب,ريم محجوب,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,Rim Mahjoub,,,
Q23109390,Oussama Sghaier,,Oussama Essghaier,Oussama Sghaier,Oussama Sghaier,https://upload.wikimedia.org/wikipedia/commons/8/8b/Oussama_Essghaier.jpg,male,1983-07-20,,Oussama Sghaier,Oussama Essghaier,Oussama Sghaier,أسامة الصغير,أسامة الصغير,,,Category:Oussama Essghaier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,Oussama Essghaier,,,
Q25451738,Hayet Omri,,Hayet Omri,Hayet Omri,,,female,1981-12-13,,حياة عمري,Hayet Omri,Hayet Omri,حياة عمري,حياة عمري,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,Hayet Omri,,,
Q25452581,Lajmi Lourimi,,Lajmi Lourimi,Lajmi Lourimi,,https://upload.wikimedia.org/wikipedia/commons/6/6e/Ajmi_Lourimi_ANC.jpg,male,1962-01-08,,العجمي الوريمي,Ajmi Lourimi,Lajmi Lourimi,العجمي الوريمي,العجمي الوريمي,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,Ajmi Lourimi,,,
